project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
aiohttp,e5f4f88741c9d6e5ba9fc13a688fcb6657a495de,2013-10-25,2013-10,767.0,3.6350710900473935,211,2440,19
aiohttp,58ac361049109cb32ec2081beb8ae8a8704cb6d5,2013-11-25,2013-11,839.0,3.663755458515284,229,2658,19
aiohttp,51f58dd174a59285e5111276c9da8073b6e6a5f0,2013-12-29,2013-12,840.0,3.668122270742358,229,2666,19
aiohttp,e36f443d72bc46abbe0b99644cc20e5afd5723fe,2014-01-30,2014-01,840.0,3.668122270742358,229,2667,19
aiohttp,0be0fef673212e9145800783e2cacc5df950b30b,2014-02-28,2014-02,874.0,3.7191489361702126,235,2745,19
aiohttp,aeec3b53b0ff5a582762f895f03669568e81ca33,2014-03-31,2014-03,898.0,3.7261410788381744,241,2807,19
aiohttp,7e6e3c0f0f057d29a0ab04f5d23d5d20a09565d2,2014-04-30,2014-04,933.0,3.6877470355731226,253,2888,19
aiohttp,4bc0a8311c4ba51a7ed9ae55577b6363335d6157,2014-05-29,2014-05,985.0,3.517857142857143,280,3027,20
aiohttp,0d8c04d83438081810eee5f49f90af666a193bf9,2014-06-30,2014-06,1017.0,3.412751677852349,298,3148,20
aiohttp,a37425afc8d9d6df23fa7d67e912b38802b98a8e,2014-07-25,2014-07,1163.0,3.4716417910447763,335,3546,21
aiohttp,8a44398aca58baeab809da9cbaeca8e616b3556d,2014-08-30,2014-08,1165.0,3.456973293768546,337,3580,22
aiohttp,0289ce8fa2e29eedf9f36b70ffdd2ae2a2a4b266,2014-09-29,2014-09,1173.0,3.4807121661721068,337,3598,22
aiohttp,d48cd1aa41f1bc4841d20cd54c88490117054922,2014-10-31,2014-10,1354.0,3.223809523809524,420,4152,25
aiohttp,ac7c6b4adf3bf94ca778f021710601bc75299db6,2014-11-30,2014-11,1387.0,3.082222222222222,450,4232,25
aiohttp,26163e70903072f4560d4e1bb0460b3da1f0c9df,2014-12-31,2014-12,1396.0,3.088495575221239,452,4280,25
aiohttp,e6b0161270209648788a5219f834966b46cff779,2015-01-31,2015-01,1556.0,2.946969696969697,528,4875,28
aiohttp,85006722b76591b83edc5f8443b25864e8a8248d,2015-02-15,2015-02,1776.0,2.925864909390445,607,5452,30
aiohttp,8bf7f187e15734645ddc529778534497bcfd4d8c,2015-03-31,2015-03,1846.0,2.972624798711755,621,5667,35
aiohttp,04ed1761b6cccbc59e263942efbbce49fae35a9e,2015-04-30,2015-04,1945.0,2.9604261796042617,657,5976,35
aiohttp,46d1a5461b9b080ec98bd88e3d18318a74e351ee,2015-05-31,2015-05,2017.0,2.9749262536873156,678,6194,36
aiohttp,c054f579dd04bfa5d3f0ee78d4cca4107f96d4c4,2015-06-30,2015-06,2075.0,2.9685264663805437,699,6330,36
aiohttp,6f6e85f44386f829a57086927163f0c5eada7d20,2015-07-30,2015-07,2080.0,2.9714285714285715,700,6345,37
aiohttp,3b44e77ea8ae588683a14e7911d9ab1963ea6191,2015-08-31,2015-08,2088.0,2.965909090909091,704,6391,38
aiohttp,931734e72a217b5d0c5917ed41760b1507aac965,2015-09-30,2015-09,2127.0,2.945983379501385,722,6498,38
aiohttp,d571c42caf012a5af62ad368e366c9c3cd83fc6c,2015-10-31,2015-10,2235.0,2.818411097099622,793,6747,39
aiohttp,b19b036cce1fc5a2e5b69a8323bb927fadc9d6b1,2015-11-02,2015-11,2279.0,2.8066502463054186,812,6864,39
aiohttp,6d58abf7a62edd89cfb21975a6fb4d62494ce003,2015-12-22,2015-12,2444.0,2.6768893756845564,913,7477,47
aiohttp,6edd825639ba1a6edbe341dd40fe2dcb518e2f7e,2016-01-31,2016-01,2424.0,2.696329254727475,899,7428,47
aiohttp,00169997ff69ae3d31a894bcb9ea0549713cafa6,2016-02-22,2016-02,2510.0,2.7401746724890828,916,7752,51
aiohttp,7dac70ff2fa57b94cc2b0122aa8cac8985265ca6,2016-03-29,2016-03,2437.0,2.6721491228070176,912,7460,47
aiohttp,63cf1255b250506d1cf58f8a8300d7f5b856b026,2016-04-26,2016-04,2437.0,2.6721491228070176,912,7461,47
aiohttp,8311097b2b60a9b4d2df3cba4086a13dcc7151e5,2016-05-12,2016-05,2411.0,2.7120359955005626,889,7478,51
aiohttp,f2c12f79ff92ef337a1b2f776fd2f118bbf19d02,2016-06-19,2016-06,2518.0,2.725108225108225,924,7769,51
aiohttp,1bfc02a691a8c97dd52390acff4fac32d7822866,2016-07-31,2016-07,2576.0,2.6694300518134715,965,7949,55
aiohttp,ebede79f7babf762d1682584d937ec3f1b0fccd6,2016-08-13,2016-08,2488.0,2.562306900102987,971,7699,55
aiohttp,0e75f50824eadc0ecb9dd852bc89c8e8148a22be,2016-09-30,2016-09,2474.0,2.545267489711934,972,7690,56
aiohttp,bcd9b95fa4ccb90f0621e604d680b56af95232f7,2016-10-31,2016-10,2554.0,2.503921568627451,1020,7977,57
aiohttp,7193a3c7639107584eb49281488231f9e1947023,2016-11-29,2016-11,2630.0,2.5,1052,8163,58
aiohttp,0e7ea65f0db1b9d69e4f64c19906da6857e2b53a,2016-12-31,2016-12,2650.0,2.5142314990512333,1054,8217,58
aiohttp,9879a8856bf60b61c58938fb43e0e794155a0157,2017-01-31,2017-01,2713.0,2.5190343546889506,1077,8411,58
aiohttp,1847e6bb2b1968e61358e037aa8cc4f0211ff9ec,2017-02-28,2017-02,2804.0,2.613233923578751,1073,8468,65
aiohttp,ad93378e49d55924ee57603659c4aca1dc2c9bb2,2017-03-30,2017-03,2836.0,2.6579194001874415,1067,8467,63
aiohttp,7a1b556f47c78b8c550711a7432f09ec928180ee,2017-04-28,2017-04,2889.0,2.655330882352941,1088,8579,63
aiohttp,347cbf359c02d8039c6fd73df206bb6b982e333e,2017-05-31,2017-05,2908.0,2.665444546287809,1091,8618,63
aiohttp,60574a6ecc2abad8d704026b6977297941ac0944,2017-06-22,2017-06,2929.0,2.6627272727272726,1100,8689,64
aiohttp,e2836d1bc32df3e08b4b814e492f5f70a73ae5df,2017-07-28,2017-07,2966.0,2.660089686098655,1115,8812,66
aiohttp,729eaff8d7e553658c1b7d8ce2cea99b29bc69b8,2017-08-12,2017-08,3093.0,2.6458511548331907,1169,9198,68
aiohttp,17cd3e98fcc00c2a501c2dde82655321f4217211,2017-09-29,2017-09,3105.0,2.6538461538461537,1170,9225,68
aiohttp,4f7c91bfdc71d0de7e22b146d20c1adc718b8004,2017-10-31,2017-10,3059.0,2.650779896013865,1154,9114,67
aiohttp,d166230d08adac5dd6de8b254773d5c2eedf9748,2017-11-30,2017-11,3049.0,2.628448275862069,1160,9276,68
aiohttp,42139b94f8c022b2e3ea0d3b590ea509c5a60097,2017-12-30,2017-12,3071.0,2.6136170212765957,1175,9320,70
