project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
attrs,82892487fb04c71caab8cd0704cd704f2f8a5d7b,2015-01-31,2015-01,106.0,2.25531914893617,47,328,5
attrs,46cbd75411b2051a570c09fa449bbfb4ac677bda,2015-02-21,2015-02,145.0,2.543859649122807,57,405,8
attrs,a7adfed9bf46e94332028c48bb75bbac0801b22d,2015-03-23,2015-03,145.0,2.543859649122807,57,405,8
attrs,3952cd6f38e4cc78bc03039705736df8ef0be1f8,2015-04-30,2015-04,146.0,2.56140350877193,57,402,8
attrs,abb9c95232e613297ceb26558b3d691132fca08c,2015-06-05,2015-06,147.0,2.5789473684210527,57,404,8
attrs,e183eaa12277dfc948de32f11c4aef6ceb34d3c9,2015-07-26,2015-07,147.0,2.5789473684210527,57,404,8
attrs,104487f803d2f3bf285f1ed8f0863e39c2beb49c,2015-08-20,2015-08,149.0,2.6140350877192984,57,404,8
attrs,c74c9b1f1e1545fc72984c197a66706418063aef,2015-09-16,2015-09,155.0,2.6724137931034484,58,420,8
attrs,253491908baf78ceda24e611e7fd3a44c10977ae,2015-10-20,2015-10,149.0,2.6140350877192984,57,404,8
attrs,fb724af0f9630f6461666d860cbac9414d4a8ad9,2015-11-19,2015-11,155.0,2.6724137931034484,58,420,8
attrs,d590a0ee802fb99a514cce7b1b8a7518f765ff4e,2015-12-20,2015-12,159.0,2.7413793103448274,58,434,8
attrs,2a30ed2c6fc3595398f6c20d5ea2cbbec4b10522,2016-01-22,2016-01,159.0,2.7413793103448274,58,434,8
attrs,38bd2a7d0d5c76f70ca96145a2309ec0311e970b,2016-02-20,2016-02,160.0,2.7586206896551726,58,434,8
attrs,871bb64cc093f48de166c135429e51ea027c5029,2016-03-31,2016-03,169.0,2.816666666666667,60,457,8
attrs,4b94e0314cd9a0d53dd2ad1cf664d83c5cba8e7f,2016-04-28,2016-04,171.0,2.7580645161290325,62,461,8
attrs,e83f0e51ac4d678ca909fe072006e5f42166acbe,2016-05-23,2016-05,172.0,2.7301587301587302,63,463,8
attrs,8ad22d5e8ce07d15e2af39a4c1c69efcfc93d1b6,2016-06-02,2016-06,172.0,2.7301587301587302,63,467,8
attrs,e833e0c1cddb5f1945183cac34981068cab45cfa,2016-07-31,2016-07,172.0,2.7301587301587302,63,467,8
attrs,f09cc7f74b78c5844b7e02916a9097939fe951b4,2016-08-30,2016-08,175.0,2.6515151515151514,66,498,8
attrs,4849dc12ded9e05dd7df8012c183e7b3e38daccc,2016-09-30,2016-09,205.0,2.8472222222222223,72,623,8
attrs,6771640853f1202d20858c42a7da2a6c4ea55c5e,2016-11-24,2016-11,223.0,2.7195121951219514,82,675,8
attrs,cfb7a319a95a9e0bbdb0865a0bf5f507dbfbd4b1,2016-12-10,2016-12,224.0,2.6987951807228914,83,678,8
attrs,0d3cf3f62471cfc005c20aff71bb634e774dfc16,2017-01-21,2017-01,230.0,2.738095238095238,84,699,8
attrs,d86e28bdde5ff93e3315fe7eea291d8ce8676cc8,2017-02-21,2017-02,257.0,2.8876404494382024,89,741,8
attrs,a48124b9049ab4102b18f2216d690a0d3319e704,2017-03-27,2017-03,257.0,2.8876404494382024,89,741,8
attrs,beca34403413ded4879362e08fa96f69902df283,2017-04-27,2017-04,257.0,2.8876404494382024,89,741,8
attrs,4db1f4ef174beecd320c00451ef5f26dcc9f8aed,2017-05-31,2017-05,268.0,2.7916666666666665,96,776,9
attrs,50107f60a2cd9add7470929273a79e16846bbb25,2017-06-11,2017-06,268.0,2.7916666666666665,96,776,9
attrs,74c39b6b46d1cf019841a766c4b2646ac60bf270,2017-07-29,2017-07,268.0,2.7916666666666665,96,776,9
attrs,0d04d5e7fc6de9eb6d70839dfda994d2a4bfa80f,2017-08-21,2017-08,275.0,2.8350515463917527,97,790,9
attrs,ba9e8bcd24eea6b89349c5bc126fc60ff97dc1f7,2017-09-18,2017-09,277.0,2.8556701030927836,97,802,9
attrs,3d3d49b4dde48208af666c75550167adc707d16b,2017-10-26,2017-10,291.0,2.669724770642202,109,889,9
attrs,defa6b6f40b88d878aa480d540ab60c46dec3fea,2017-11-30,2017-11,313.0,2.745614035087719,114,986,9
attrs,caf286edd01a33d646c86486758d598ae581ee3c,2017-12-30,2017-12,323.0,2.7844827586206895,116,1073,9
attrs,eca48ca7f3834db990118884dd61fc79ae7cde1d,2018-01-29,2018-01,335.0,2.7916666666666665,120,1130,9
attrs,538d75f60cb3164983a76c32acf5ecdb1e4b12bb,2018-02-17,2018-02,337.0,2.7851239669421486,121,1134,9
attrs,c2fef8c6973ad4ce57b0a2f41a46b97b26dde2de,2018-03-19,2018-03,348.0,2.8524590163934427,122,1168,9
attrs,29cc2abac82bd7b1b5300ba517a8f86f4e31ab11,2018-04-28,2018-04,351.0,2.877049180327869,122,1173,9
attrs,a3dbdfc6870684580a17b11f6b04126303962633,2018-05-25,2018-05,352.0,2.8852459016393444,122,1177,9
attrs,64d917f7f82737ac9eec4730a274131871482579,2018-06-23,2018-06,361.0,2.911290322580645,124,1324,9
attrs,d45b4c3514a326a515b1b854e254606a35a09ff0,2018-07-28,2018-07,373.0,2.937007874015748,127,1350,9
attrs,5b866d34cb97e75323bb54f87ca45334847596b7,2018-08-29,2018-08,405.0,3.2142857142857144,126,1477,9
attrs,c17ae9da7a03b4b97194da914534b580ef6818eb,2018-09-17,2018-09,405.0,3.2142857142857144,126,1477,9
attrs,9f4302a15463fbce1de90ee5a9a19d8456c20ef2,2018-10-28,2018-10,405.0,3.2142857142857144,126,1477,9
attrs,6a3458f2c22dcdbe6d6eac51b60b8a006447e85d,2018-11-26,2018-11,421.0,3.1185185185185187,135,1515,9
attrs,deb90f9b6f7cf9d2ba894323e7e35ecbdb74d2bf,2018-12-23,2018-12,421.0,3.1185185185185187,135,1515,9
attrs,1a90857109794f27e4cf5914bb9ae4617993e880,2019-01-31,2019-01,421.0,3.1185185185185187,135,1515,9
attrs,d74434fefaf55fb5515ec81f29457f1d1b0f340e,2019-02-27,2019-02,430.0,3.185185185185185,135,1535,9
attrs,d0806d9d2fa85dc97db5493d7ddcee7455fe0655,2019-03-21,2019-03,425.0,3.171641791044776,134,1498,9
attrs,6fa28b3b074a935038dd701382eb67f0e953d097,2019-04-13,2019-04,425.0,3.171641791044776,134,1498,9
attrs,655c6c01e48ff71c336732442f8f789cabedfc31,2019-05-31,2019-05,435.0,3.152173913043478,138,1547,9
attrs,154b4e5f44739df1de40cc025d75aa0ee0c527f5,2019-06-23,2019-06,436.0,3.1594202898550723,138,1549,9
attrs,ad33d87ca5bf3be54e65ca742997187ec3b8c1ed,2019-07-25,2019-07,438.0,3.1285714285714286,140,1564,10
attrs,daf2bc8182a681ed0c85271bafbd24c2ca5ea70b,2019-08-21,2019-08,433.0,3.0709219858156027,141,1560,10
attrs,346024aa3fb8005a12fea765d8fae777c25a6dbf,2019-09-26,2019-09,467.0,3.0927152317880795,151,1649,11
attrs,5e028e985849d70924e75fe4461911a2b41a03a9,2019-10-23,2019-10,467.0,3.0927152317880795,151,1649,11
