project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
chroma,290d8f3a3239198f277c4e746c27cdf668396cc8,2022-10-31,2022-10,117.0,1.5810810810810811,74,388,15
chroma,792e0728122e30e1fbf65e9b52c09217409d66b6,2022-11-30,2022-11,299.0,1.6519337016574585,181,1128,25
chroma,9d8436159f01175a73af831750db3ae80ba6569a,2022-12-13,2022-12,324.0,1.7513513513513514,185,1211,24
chroma,00ec7666bb05f6eb919aaa4413b538b7480df9ae,2023-01-30,2023-01,284.0,1.7974683544303798,158,1024,24
chroma,8184f7cb8e6dde5bcea2a672e578337fe11a5629,2023-02-28,2023-02,861.0,2.0898058252427183,412,3684,27
chroma,54dc2b8fb6292dd5cc946558d3e2b12f7abfb017,2023-03-31,2023-03,903.0,2.0616438356164384,438,3955,28
chroma,67a83127d8a26233e587e3bcdf111af5ac57dde2,2023-04-05,2023-04,1379.0,2.3532423208191124,586,6144,46
chroma,bdc1841e22683b291294172bdf5c678d64a5bae9,2023-05-31,2023-05,1538.0,2.302395209580838,668,7151,56
chroma,666bfc40f3e380d91df2fb0d99d6124c9e53d36e,2023-06-28,2023-06,2038.0,2.3185437997724687,879,9914,73
chroma,ac784234c9e5ddb50c47fc099e92db23375cbd75,2023-07-31,2023-07,2177.0,2.4242761692650334,898,10304,80
chroma,81ab0b112492b26d302df446a850779196c5af98,2023-08-31,2023-08,2471.0,2.3623326959847035,1046,11775,95
chroma,c41bfa4ffca5a4341c640b595ea85512617fb0d5,2023-09-25,2023-09,2774.0,2.3913793103448278,1160,13078,106
chroma,f5ee5816647a4bb30d508929bbae174a46d9ae8b,2023-10-27,2023-10,5153.0,2.243360905528951,2297,24470,185
chroma,aa4702b6a7b8c9b10dc36e45a64d60c3e8e27957,2023-11-29,2023-11,5513.0,2.278099173553719,2420,25964,200
chroma,73bfda21ed62a32e53792c038ed3b5d066783bf1,2023-12-30,2023-12,6014.0,2.308637236084453,2605,28584,223
chroma,e5751fd68d02040e57227f2a8c89be09fcbe8bbf,2024-01-31,2024-01,6547.0,2.302039381153305,2844,31857,260
chroma,e1ad5f942f6d89e8faba3dc3c0c4f7abd0e4b45c,2024-02-29,2024-02,7171.0,2.2736207989854154,3154,34650,288
chroma,b6e86a60a3484314c71c7612768830ffd58423e1,2024-03-29,2024-03,8906.0,2.212121212121212,4026,42700,348
chroma,c3db12e13ab243b5c8136e61a334e3d892ed29f0,2024-04-30,2024-04,9861.0,2.189387211367673,4504,49272,375
chroma,94806272c3a68fefa7595d69322305867327844c,2024-05-31,2024-05,11136.0,2.291358024691358,4860,58934,392
chroma,9f79843f0bebd4c6c3908387303b4d98e4f66a3e,2024-06-28,2024-06,11899.0,2.3176860148032725,5134,65183,420
chroma,35d76862c6e5655fe5e3a4956706d097b2a4660b,2024-07-31,2024-07,12309.0,2.3154627539503387,5316,69430,430
chroma,50459a09908628840dffd765b23150996af8e940,2024-08-30,2024-08,12603.0,2.31715388858246,5439,71505,447
chroma,e2628e819165442bc68dea1f168c6b8d676c8744,2024-09-30,2024-09,12716.0,2.2895210658984517,5554,72118,460
chroma,13cc21329a7157618c70657ac4002f7fb5186c75,2024-10-31,2024-10,12028.0,2.3364413364413363,5148,70865,432
chroma,337fe73f762e16e37b200a6eb48281f02fe7fa4a,2024-11-30,2024-11,12635.0,2.3102943865423295,5469,75380,467
chroma,2dce857e2ea7f9ae12e86e7f49d4d473267139a7,2024-12-31,2024-12,11338.0,2.4046659597030753,4715,73480,476
chroma,cf754c906d7dcfe6172853fa205ec2126ff30efc,2025-01-31,2025-01,12806.0,2.3820684523809526,5376,82121,540
chroma,978d0a7238c2ab71ffe8371a1c2028ab55c70929,2025-02-28,2025-02,14619.0,2.399704530531845,6092,92479,579
chroma,6586c1c28920210731c51801178482aa6c72a7d8,2025-03-31,2025-03,15994.0,2.4336579427875837,6572,102787,616
chroma,d6d8129350e66daa84f71318fae69d63fcfe1ca0,2025-04-30,2025-04,17758.0,2.550337498204797,6963,112115,641
chroma,d4d4fe4d8d718b2d8de7ca2e28929ac80074956d,2025-05-31,2025-05,20149.0,2.5262036108324977,7976,130095,754
chroma,a2e4c71d72533daf209e4d867acc5f38716afdbe,2025-06-30,2025-06,21301.0,2.5166587901701325,8464,143418,789
chroma,6c378b3eb2574408b30cac0334603c1663c16af8,2025-07-30,2025-07,21688.0,2.5136764024107556,8628,146685,793
chroma,0e0994a80f4ffa6db5d916d7d1f2c56217b26e44,2025-08-29,2025-08,22301.0,2.515907039711191,8864,151223,804
chroma,d0cb6dff1eadeaf5caca608fc6be7247bac57203,2025-09-30,2025-09,23404.0,2.5266112490553816,9263,158234,808
chroma,e25f526d1c6179e3436778e73a618d57edb83459,2025-10-31,2025-10,26747.0,2.5190242983612734,10618,181650,867
chroma,fe63aadfee9cc5d2ebc853cebb921167e882fa3f,2025-11-26,2025-11,27529.0,2.5097091804175404,10969,189007,886
chroma,c97ad2470a90ef59022584da714bc5aa21c336fc,2025-12-30,2025-12,28762.0,2.5067108244727208,11474,199406,921
chroma,4ae370624a8d8b457eff252f36ece328b773d52e,2026-01-30,2026-01,31079.0,2.5075843149911248,12394,224470,962
chroma,77a87333f257064a925887dc3e2debf3816b59d8,2026-02-27,2026-02,32383.0,2.5224334008412526,12838,237737,976
chroma,20b6b60f2077b012bcd6ebaac93423cbb8ddbddd,2026-03-31,2026-03,33404.0,2.5136579125592595,13289,248191,994
chroma,aedf9a668d9d14dc9b3211ba156f1f4fcb2e2a4c,2026-04-30,2026-04,35347.0,2.489575996619242,14198,266717,1026
chroma,040a2ae7bd39fcbe3f7158a901a1548344a136e1,2026-05-30,2026-05,36712.0,2.4859154929577465,14768,277764,1068
chroma,ccf5968d82947a629262b19a10fb74adc2a63148,2026-06-30,2026-06,38083.0,2.4738859295829543,15394,288029,1114
chroma,19e1bf8a8610ab2b660a75e90a2f9e487ffe638c,2026-07-31,2026-07,40565.0,2.461020445307286,16483,306849,1158
