project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
core,065174db7ad37e5759255df7f4483caa7c8a317f,2013-09-30,2013-09,173.0,2.6615384615384614,65,499,5
core,47d2c04c904dcef6259b9719dc56787be896d312,2013-10-31,2013-10,285.0,2.7941176470588234,102,987,8
core,44e1d6df6480358cc32cba4a07b581bf396b24c6,2013-11-22,2013-11,354.0,2.6417910447761193,134,1412,8
core,328b9a84c0169c8067f2aa8d07392519de8a5e35,2013-12-17,2013-12,420.0,2.6751592356687897,157,1569,15
core,eccf0ff806309054cf9ef06f7d4dcc495f8d0998,2014-01-30,2014-01,517.0,2.840659340659341,182,1920,16
core,0e97e64397fd1302ebbec8270f5b3770b2819888,2014-02-14,2014-02,525.0,2.807486631016043,187,1955,16
core,90769fc0ebbf6b7e310d38112b2d8d6d972271f5,2014-03-26,2014-03,641.0,2.953917050691244,217,2291,17
core,50b492c64a75e1523de058f7fd5d829b1b51f5c7,2014-04-29,2014-04,761.0,2.9269230769230767,260,2492,18
core,e9d1dfac847897fe755b8c2e360c48fe91ae8fe9,2014-05-01,2014-05,776.0,2.9283018867924526,265,2530,18
core,cb33b3bf244353102af94cfa84b7da32bc5ba911,2014-06-13,2014-06,788.0,2.929368029739777,269,2581,19
core,f24e9597fe8daab53c96182319c805d2520f4eeb,2014-08-14,2014-08,807.0,2.977859778597786,271,2634,19
core,8db1b74a3c7c36ed6ae8d4680d424ee16f0d6fdb,2014-09-27,2014-09,822.0,2.9782608695652173,276,2682,20
core,86dc0a973c10cd3d3a83064b5a36aed1d3b436a8,2014-10-31,2014-10,1215.0,3.347107438016529,363,2593,20
core,ed150b8ea5c4b0be853cebaade4a9cf96693d314,2014-11-30,2014-11,1822.0,2.465493910690122,739,4212,44
core,cd896627ead34726bde09100bc81a292b8d4c033,2014-12-16,2014-12,1831.0,2.6232091690544412,698,3529,39
core,e2f51ef557d7131cac82607101dee4679d0aa365,2015-01-31,2015-01,17660.0,2.8355812459858702,6228,60974,230
core,63bf1373b78e7e77cc3bd53c9a6d3a1022d11619,2015-02-28,2015-02,2242.0,2.4369565217391305,920,4934,63
core,57b3e8018b1d8e1829df62b5688bd1ebb4b741ee,2015-03-31,2015-03,2508.0,2.442064264849075,1027,5724,80
core,2196f77081d29ea51c0e4ab486f8c1edae8df382,2015-04-30,2015-04,2789.0,2.4486391571553994,1139,6552,94
core,a3cdb667ba75e4a5ec8aa4f2574ec6d48ac78c51,2015-05-31,2015-05,2676.0,2.531693472090823,1057,7169,102
core,4845c1290c4306afdfd95108639a26ba1d09ac5f,2015-06-23,2015-06,3052.0,2.4396482813749,1251,8222,120
core,1b3a45aba9aba980c7d31a9003e9885e271c7a33,2015-07-29,2015-07,3090.0,2.4311565696302124,1271,8327,120
core,d4d798d71f51705f262a59f53070fe2307a2635d,2015-08-19,2015-08,3654.0,2.36046511627907,1548,10117,148
core,047cff6596f50b29b3885eb88a44c91627645775,2015-09-29,2015-09,4108.0,2.4107981220657275,1704,11417,162
core,218a05356a44c0d24ed32351f6d921ac908db6cf,2015-10-30,2015-10,4499.0,2.4097482592394215,1867,12650,177
core,5e2641e2881cc5f112a0d5ec4c346028d686edac,2015-11-30,2015-11,4978.0,2.3648456057007126,2105,14052,204
core,4dad40fffb52c1fe93b8cf1cf5a8a7c6a37d24ff,2015-12-26,2015-12,6671.0,2.2698196665532495,2939,19650,289
core,3f7ff2b1d48889b2f4ecd78f3b4be619a71d162b,2016-01-27,2016-01,6375.0,2.275972866833274,2801,18761,278
core,27aba5c834d349a8245eb484d9d2ed70fd77e13f,2016-02-24,2016-02,7021.0,2.271433193141378,3091,20672,308
core,7df8e010f33265f24904b031d6a5e67a34805f17,2016-03-31,2016-03,7217.0,2.2482866043613705,3210,21535,319
core,069a4b1706b5d4cb7be94e25c38ceb233d2a4ad5,2016-04-30,2016-04,7497.0,2.219360568383659,3378,22493,335
core,8887c2a8afa20ed2626854e1125cd0c2f46cffb0,2016-05-28,2016-05,10572.0,2.0819220165419456,5078,26400,363
core,d326d187d1fb394940d891ec49ae203eeeabd3d5,2016-06-30,2016-06,11186.0,2.14743712804761,5209,29349,404
core,e7b206da0c8d391019e39662d666b99c05b86b81,2016-07-14,2016-07,12818.0,2.1467090939541116,5971,34348,472
core,5f664acb4fe1f6f7c1870df97155cb4cba08f6b4,2016-08-31,2016-08,13006.0,2.1454965357967666,6062,34998,476
core,b8504f8fc8ff7767de62ed1b6db56694b3e2c56e,2016-09-30,2016-09,13721.0,2.120710973724884,6470,37384,508
core,e7ffec87acefe387a5056feeed541526902638de,2016-10-30,2016-10,14615.0,2.1882018266207517,6679,40935,535
core,bde7176b3c9e4059be3cbe8be7a91377b902eb82,2016-11-30,2016-11,15234.0,2.180647008302319,6986,43210,561
core,e89aa6b2d684045b379e77a517c07b9f15b844fe,2016-12-31,2016-12,16001.0,2.180566911965113,7338,45917,585
core,27a91b357e4bf91462fe6457a5c03fe8fdc0a646,2017-01-31,2017-01,17315.0,2.1973350253807107,7880,50250,637
core,84f30d9ef879450521684a8962449982644ec3e8,2017-02-28,2017-02,16956.0,2.214444299333943,7657,53803,704
core,ae21fa9ce1f29aa6fc958cd7afc2399af68a7055,2017-03-31,2017-03,17523.0,2.227972027972028,7865,55704,720
core,1c5eb8836801173e7f5dc7807edcd7a171e7e6d0,2017-04-29,2017-04,18893.0,2.2104832104832104,8547,60508,782
core,66d6f5174d5be486d0cb703a83f549459acff8c7,2017-05-31,2017-05,19486.0,2.2045480257947734,8839,62728,808
core,d3bc8519c0eeb017c374561b9f011ed685692cf2,2017-06-30,2017-06,20416.0,2.2,9280,65995,846
core,2b59b917c4a7393f907a71ac7bb39bcb912d0fdc,2017-07-31,2017-07,21488.0,2.206613267611419,9738,69620,884
core,836b528bd3ca6f6ad5a8b13000b03a5f8f6a756f,2017-08-31,2017-08,22569.0,2.1960688916999125,10277,73624,935
core,29c40622d34643f58fac1df3648cf54de4ab4a7d,2017-09-30,2017-09,23974.0,2.2036951925728467,10879,77165,971
core,9eaa0577393b554d11a6dc785132e8076bb3d8f6,2017-10-31,2017-10,24058.0,2.1750293825151434,11061,80535,1023
core,d8003c4d8752b29beeaf503b5af66e596c1b3544,2017-11-30,2017-11,24639.0,2.1752449898472674,11327,82563,1048
core,e0a1b872967476b6836ac88052e3a6a5e258a733,2017-12-29,2017-12,25168.0,2.172089410546302,11587,84349,1068
core,764343dbf88df2ae9c8212da72e6475c5657cf49,2018-01-31,2018-01,26465.0,2.1685512946574894,12204,88273,1110
core,7511286a25c152851c6d10b1eb5038c7239cf3dd,2018-02-28,2018-02,27252.0,2.1706093189964157,12555,90901,1148
