project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
dask,e7dc37bc734b971b6e4a90d1d3726e63f4e16441,2014-12-31,2014-12,234.0,2.689655172413793,87,651,11
dask,d687d4a6eff0a9bf773f8a1fb6800c53221b1045,2015-01-31,2015-01,498.0,2.4292682926829268,205,1595,20
dask,32561e9b4d287abd348ae77e815d6d789759881d,2015-02-28,2015-02,1124.0,2.376321353065539,473,3490,40
dask,99021ea09209731b1d27f0e11c6d1b89f56b24bc,2015-03-29,2015-03,2119.0,2.391647855530474,886,6975,66
dask,26e59b86f1e9c86a43040b1cdfe926ae2676955d,2015-04-30,2015-04,2436.0,2.3765853658536584,1025,8364,75
dask,002e65076dcedabfab413492df09fc501ddcdcf4,2015-05-26,2015-05,2628.0,2.3869209809264307,1101,9164,76
dask,3c47a30dc8c6064fcd4f0c1991f7395021150864,2015-06-17,2015-06,2942.0,2.364951768488746,1244,10330,75
dask,38fea06a27f08c116f5d2510186759db9fc50275,2015-07-26,2015-07,3942.0,2.4065934065934065,1638,14853,95
dask,c524ecf9acc05114009d449d36238e40191b113d,2015-08-23,2015-08,4012.0,2.406718656268746,1667,15126,95
dask,0b35929bfc9cff3574693a22404fc347b913cdce,2015-09-25,2015-09,4039.0,2.414225941422594,1673,15144,87
dask,062bfd8e2cdefbada2be75610d28a8b93597c635,2015-10-04,2015-10,4220.0,2.428078250863061,1738,15800,87
dask,2bcc704a3dbcc8d6e380ea8bce5d233c07ea256b,2015-11-28,2015-11,4178.0,2.4375729288214703,1714,15619,87
dask,25a072692567f2ed1455905fdf88a01c32a625ce,2015-12-18,2015-12,4345.0,2.4098724348308376,1803,16224,87
dask,017a89496da4975a5648a225b8e8d67ba23ef14e,2016-01-27,2016-01,4426.0,2.415938864628821,1832,16649,88
dask,09bda79a79acc261f31a446425efc5dd2fb42b9a,2016-02-29,2016-02,4517.0,2.388683236382866,1891,17284,94
dask,1c2ae306caefc02437ccd77d7e4b2e8f5adbe5f7,2016-03-29,2016-03,4658.0,2.391170431211499,1948,17971,94
dask,ff55b48c7ca26363a61e29297321083868abb399,2016-04-30,2016-04,4966.0,2.411850412821758,2059,18920,111
dask,2f6ed3dac972cd96f9ce9227bf5b98578b442b02,2016-05-31,2016-05,5073.0,2.413415794481446,2102,19301,111
dask,eeb502d9ecae8eb496e68112c93dd84ebebc21dd,2016-06-30,2016-06,5463.0,2.4377510040160644,2241,20943,114
dask,92596d7d359406a9cca9cd49fc9f3010b4ea5777,2016-07-30,2016-07,5578.0,2.4432763907139727,2283,21498,114
dask,84546e36f845702810c1615027b63b7b88a095b1,2016-08-31,2016-08,5832.0,2.476433121019108,2355,22528,116
dask,fc140f3ad2185759216be7ed784eb4e14f1fbf12,2016-09-14,2016-09,6148.0,2.5331685208075814,2427,23755,120
dask,8e76f6a67a5d5b432fb3cd795c18072080f1bf44,2016-10-31,2016-10,6419.0,2.5241840346047977,2543,25186,122
dask,483da5fc6e6555f7abcd38c2fa2540b33d294241,2016-11-30,2016-11,6711.0,2.507847533632287,2676,26639,131
dask,112caf784c13a814c73e4fb1133968cb89029d91,2016-12-29,2016-12,6882.0,2.505278485620677,2747,27425,131
