project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
django-money,edf98a19a0d50085be56b23f051655186754ad4c,2011-05-15,2011-05,56.0,1.9310344827586208,29,148,4
django-money,dc2fd9ebb9f0444e6f3efc60077406ec7126e8e1,2011-11-08,2011-11,55.0,1.896551724137931,29,146,4
django-money,d0af2f5ede7f98d72dccf6cb601d8a83976bac7b,2011-12-06,2011-12,56.0,1.9310344827586208,29,149,4
django-money,74158ab0decf443dcb8222e1220deba664bb26c9,2012-04-21,2012-04,56.0,1.9310344827586208,29,148,4
django-money,ecc092b1c0e219ba39dd239bfcb1a4ee7e9ba2ee,2012-08-02,2012-08,56.0,1.9310344827586208,29,150,4
django-money,c634bd687c4d4523d26c9a936a8bee077f8e87bf,2012-09-30,2012-09,74.0,2.3870967741935485,31,197,5
django-money,9ebe7f68d5557ebca12872465ea4b69540ffeadb,2012-10-24,2012-10,65.0,2.096774193548387,31,181,5
django-money,eedb2419c920111f90e0961ede6167952ac6e95b,2012-11-30,2012-11,78.0,2.4375,32,207,5
django-money,90262d25090b50ab07807b6cd528fe649651cbc9,2012-12-19,2012-12,78.0,2.4375,32,209,5
django-money,270c9a4c6eec8b424e0f55f376596cd3ae082dda,2013-01-18,2013-01,80.0,2.4242424242424243,33,222,5
django-money,822b417aa1ce7358ad904168d750c1cce19da5c4,2013-02-17,2013-02,81.0,2.4545454545454546,33,226,5
django-money,ac9003e92dada8be9d5e21344d3480a10596f1dc,2013-03-25,2013-03,58.0,1.9333333333333333,30,156,4
django-money,c3fa6422745294b060f52806003b37295703c169,2013-06-25,2013-06,58.0,1.9333333333333333,30,156,4
django-money,54ec246e436c3f8d98449c74596a2d60289a1084,2013-07-31,2013-07,96.0,1.9591836734693877,49,366,9
django-money,0f34a412b89c456dea299b63b6d7df961ad74d05,2013-08-31,2013-08,148.0,2.0,74,533,12
django-money,56fe6946453b411ca65c6fc76da2ca516121ad52,2013-09-30,2013-09,102.0,2.04,50,372,9
django-money,98b77c8fe3446329dd02a0d438e09b2442e4b11b,2013-10-31,2013-10,106.0,2.0784313725490198,51,389,9
django-money,4d251d38fdb36cd10866260d3bf77fa5267ec807,2013-11-27,2013-11,168.0,1.9764705882352942,85,614,13
django-money,8aeca9ea10a27ec1784d5faaba3e4c93a0c597c1,2013-12-11,2013-12,157.0,1.8470588235294119,85,585,13
django-money,b41b46f4e1cba2bdc7b8033ab6d72cab87af59a5,2014-03-25,2014-03,169.0,1.9425287356321839,87,647,13
django-money,33313afa015513e1dcd36a48a5d7c7349c969b3c,2014-04-13,2014-04,164.0,1.9294117647058824,85,630,13
django-money,b52dcba8a77a2757fbfb399bdf0eb05a9955e7c7,2014-05-26,2014-05,169.0,1.9425287356321839,87,647,13
django-money,1e09181cc03c53a353df23f0ca131a13008fc405,2014-06-17,2014-06,181.0,1.946236559139785,93,676,13
django-money,9191577f43700d4a20ba9fa97666fffe4f6820bf,2014-07-29,2014-07,172.0,1.9545454545454546,88,655,13
django-money,0d7d45b74d1b16e4a7ff9a876924b750c96c52c3,2014-09-19,2014-09,176.0,1.9775280898876404,89,664,13
django-money,24212b769ca6957d631e5dce5551f3d6c89846eb,2014-10-25,2014-10,190.0,2.0,95,691,13
django-money,c9ceb7865de864164ea027b9bbacd8ca55dc38fb,2014-11-06,2014-11,196.0,2.020618556701031,97,707,13
django-money,97545e3b859e6225ffcd20ad81a59ceac6b7b828,2014-12-15,2014-12,190.0,2.0,95,691,13
django-money,c982ccb8f89d4eb69687eb2f02a2235a4cbfba95,2015-01-29,2015-01,198.0,2.0,99,717,13
django-money,f953a7398877c51e75a280b3438be32178cebff4,2015-02-11,2015-02,202.0,1.9803921568627452,102,740,13
django-money,e47f6b2049f1d3666486aa9f5de5b0fa2a03dacc,2015-03-24,2015-03,198.0,2.0,99,717,13
django-money,8d5501c306eaf89fe16f254e92a63be0e0dbe121,2015-04-22,2015-04,198.0,2.0,99,717,13
django-money,9358cadf7f38a88b095a5f938dd3821a755620eb,2015-05-22,2015-05,238.0,2.3106796116504853,103,862,15
django-money,bda2ba7294c25dd8830456837cc32d4a657e04cf,2015-06-13,2015-06,238.0,2.3106796116504853,103,862,15
django-money,6cbd4236ca77df6a7a83b4144ea8feaeb899776e,2015-08-31,2015-08,239.0,2.320388349514563,103,863,15
