project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
django-simple-history,dddc3e460b77575ed62d04181fdf5c277ab8b2eb,2010-02-21,2010-02,42.0,2.4705882352941178,17,141,2
django-simple-history,71ce9976264d7f193278e009b9bb1ae06ea4feeb,2010-10-25,2010-10,42.0,2.4705882352941178,17,141,2
django-simple-history,97cab174d34a4aa9a362aaa6adb6da0c9bdca8d7,2010-12-02,2010-12,42.0,2.4705882352941178,17,141,2
django-simple-history,897332b6dc72dacea0a8e63fd1f5be5ecc9491e5,2011-03-11,2011-03,58.0,2.5217391304347827,23,259,4
django-simple-history,cb316834081be09232ee8de85a6e0c895c7f1ca2,2011-07-02,2011-07,58.0,2.5217391304347827,23,259,4
django-simple-history,8a177e09c3b83a5f232fc0e48022fbe7ae121bd5,2011-08-03,2011-08,59.0,2.4583333333333335,24,264,4
django-simple-history,ea47977d6e2d5963e9a09ae16385be9b1e4ced2d,2011-09-02,2011-09,59.0,2.4583333333333335,24,266,4
django-simple-history,f43d16010c47d7017cd422939120384ae3158934,2011-10-13,2011-10,62.0,2.48,25,275,4
django-simple-history,0fd9b8e9c6f36b0141367b502420efe92d4e21ce,2011-11-04,2011-11,63.0,2.52,25,281,4
django-simple-history,48a4e72f5ab77de595c1cdcbaeae192f6bef829a,2011-12-06,2011-12,62.0,2.48,25,275,4
django-simple-history,49e888989b2922dcd4236689add62064174bc2cb,2012-02-26,2012-02,62.0,2.48,25,280,4
django-simple-history,574e2ef501c2c85b584bba145ee2efcc6bcf3269,2012-05-15,2012-05,62.0,2.48,25,279,4
django-simple-history,48ca90924b01e5b9c7cf638408eb609766a91aef,2012-08-29,2012-08,62.0,2.48,25,279,4
django-simple-history,b887b55b60f1ddc005158797b66561b8685ee837,2012-11-29,2012-11,66.0,2.64,25,285,4
django-simple-history,a87f97077df658acbf8e9f22fb32533de2b10831,2012-12-02,2012-12,66.0,2.64,25,285,4
django-simple-history,e12135fce1f4622b7a93849626d4f90c9b621477,2013-04-23,2013-04,109.0,1.847457627118644,59,584,7
django-simple-history,73b863d979e38f6ce4c91e69ca3fccae917458b6,2013-05-25,2013-05,131.0,1.8194444444444444,72,705,8
django-simple-history,61613af1b10246ca192ef7f16f939ca74227e16c,2013-06-17,2013-06,143.0,1.8571428571428572,77,766,8
django-simple-history,ddadd9afed11a27bae63f0b4b9ffdd450f319fbd,2013-07-25,2013-07,193.0,1.969387755102041,98,944,9
django-simple-history,866ef4bd59876241ff17eefb848f5bf8befb7356,2013-08-27,2013-08,149.0,1.8170731707317074,82,789,8
django-simple-history,68435f83b144965906cac50222f311de8999e7b8,2013-09-26,2013-09,151.0,1.7976190476190477,84,795,8
django-simple-history,17fc1040d0448f1e522c45487c668c3207f87e72,2013-11-11,2013-11,158.0,1.7752808988764044,89,815,8
django-simple-history,d7600e405016c611c5b69f6e76ccafdb5aec3188,2014-01-20,2014-01,175.0,1.8421052631578947,95,905,8
django-simple-history,19a7033997f236006266048b0d363f2bb13d3562,2014-02-06,2014-02,152.0,1.7882352941176471,85,799,8
django-simple-history,71c18c9fc2837416709e178b8fc575ab4040490b,2014-03-28,2014-03,172.0,1.8494623655913978,93,888,8
django-simple-history,2df652215f7ad940a574f4967338cf68b1af5188,2014-04-19,2014-04,172.0,1.8494623655913978,93,887,8
django-simple-history,703e98575133a2726b44e6d5cafd4f1ae5e6f017,2014-06-29,2014-06,223.0,1.956140350877193,114,1082,12
django-simple-history,dff287b0a791625c20deb787df179942604552a0,2014-07-31,2014-07,231.0,1.9090909090909092,121,1131,13
django-simple-history,f7c1c66348b956115d7fb5f97837d9c20c3e2ec5,2014-08-21,2014-08,287.0,1.7289156626506024,166,1627,14
django-simple-history,0001c47081e610e22b7d563bc6b2ca18694a7f13,2014-09-09,2014-09,245.0,1.8846153846153846,130,1197,14
django-simple-history,f37a960139a3da9a53971fb72fee8b3a4abe2a47,2014-10-30,2014-10,251.0,1.8455882352941178,136,1211,14
django-simple-history,158ee65a8b894ba756de273b8cf3d60e0bb3fb4b,2014-11-22,2014-11,264.0,1.8206896551724139,145,1322,14
