project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
mongo-python-driver,ebd809c821aebf76bf5c3623e281626dfbb1c2bd,2009-01-30,2009-01,546.0,2.4266666666666667,225,1521,19
mongo-python-driver,29e48049c6eb23de72f973d3390dcb0f3eeac58c,2009-02-27,2009-02,830.0,2.8135593220338984,295,2640,24
mongo-python-driver,ac7e4bccfa58e947ed87c3e5f963029358056e2c,2009-03-26,2009-03,915.0,2.8067484662576687,326,2874,25
mongo-python-driver,a4f70292e3bf34d5e1e17d0730305c8e07760925,2009-04-27,2009-04,937.0,2.708092485549133,346,2978,26
mongo-python-driver,c59a09d4295a3efe8118b4c43466c8e4fef9c530,2009-05-28,2009-05,1005.0,2.8072625698324023,358,3200,27
mongo-python-driver,703a5c0eafd90ccd0502abcabfb125225bd7b9e9,2009-06-24,2009-06,1027.0,2.844875346260388,361,3427,27
mongo-python-driver,bd8e7c0b0ed9f278614556aad9972eeee622215a,2009-07-29,2009-07,1041.0,2.828804347826087,368,3484,27
mongo-python-driver,ea5db5090b74e24d845734211252035acd98b8f9,2009-08-31,2009-08,1076.0,2.877005347593583,374,3567,27
mongo-python-driver,021960f3ec899e0a02bc614402cb99342b5b66f7,2009-09-30,2009-09,1135.0,2.994722955145119,379,3755,27
mongo-python-driver,00b375ff25a772a709aa68d4466ee34e8c212c08,2009-10-27,2009-10,1146.0,3.0237467018469655,379,3796,27
mongo-python-driver,ed011b653054d5eecb2ba91c18afde90dac87849,2009-11-30,2009-11,1180.0,3.0179028132992327,391,3893,29
mongo-python-driver,0eee221ac99bf7584612261f8e3af48773b449f5,2009-12-29,2009-12,1201.0,3.1276041666666665,384,3947,30
mongo-python-driver,0d82e561f72116dccec7a5aed6a71a952138541a,2010-01-31,2010-01,1117.0,3.1376404494382024,356,3660,28
mongo-python-driver,32f49babf48afdfb06eb96a34da5087f1360851c,2010-02-28,2010-02,1169.0,3.202739726027397,365,3824,28
mongo-python-driver,1a051df81d2e722a3c4413816a50ab4fbf0175e2,2010-03-31,2010-03,1208.0,3.154046997389034,383,3914,30
mongo-python-driver,75e7118599dc75ade0acc39e2c229e8f866045c5,2010-04-28,2010-04,1298.0,3.1813725490196076,408,4240,28
mongo-python-driver,1997e17f1686eec3a211ff92dae7aa1b707320b5,2010-05-24,2010-05,1291.0,3.31025641025641,390,4237,28
