project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
netbox,2f86d5e43d3c072c1bf12acff4ad620d97059591,2016-03-30,2016-03,1202.0,2.671111111111111,450,4431,52
netbox,ab17005c77fc328067825f0bce3b69404064fbdd,2016-04-29,2016-04,1222.0,2.6916299559471364,454,4480,52
netbox,e80dde3834c7053553f3323ef8817b291a8437f2,2016-05-26,2016-05,1165.0,2.5216450216450217,462,4124,52
netbox,1338bf601229497c3070184483c6d408b56775f1,2016-06-28,2016-06,8092.0,3.6665156320797463,2207,21891,59
netbox,65ea2af4b78d99e72099af1b46a74fe734eccc24,2016-07-29,2016-07,8260.0,3.6387665198237884,2270,22310,70
netbox,8341800a851851a35e8f0bb3267987ea77776c85,2016-08-24,2016-08,8354.0,3.6321739130434785,2300,22623,74
netbox,36066068d4b96085774182036334977d37559285,2016-09-30,2016-09,8318.0,3.657871591908531,2274,22541,75
netbox,084b86cab1034ea40081750880941fcb1b237bda,2016-10-31,2016-10,8327.0,3.657004830917874,2277,22521,75
netbox,b275009544be0c5b61255487f8131122b9c483d8,2016-11-30,2016-11,8354.0,3.6624287593160894,2281,22613,76
netbox,52157790615fdda49923577d42c2fe5bb57a20d8,2016-12-29,2016-12,8382.0,3.634865568083261,2306,22639,78
netbox,b370375414330ed810c71bfeda03145bcaa30c95,2017-01-31,2017-01,8398.0,3.6213885295385944,2319,22727,82
netbox,5ad30443146bbabb1c4545ed00f535553f73e439,2017-02-28,2017-02,8470.0,3.6212056434373663,2339,22954,83
netbox,6bbdc2bae168846289bfdc18eb844f13f1c99d52,2017-03-31,2017-03,8781.0,3.3502479969477297,2621,25375,97
netbox,de58d0eccae5553dca70946386ccb3201d605189,2017-04-28,2017-04,6190.0,3.1168177240684796,1986,21726,97
netbox,a598f0e632255d1e2777c365c88e2b9707177503,2017-05-31,2017-05,6232.0,3.103585657370518,2008,21911,98
netbox,30d160500704cfe442fcd7ec2d1f79aa9507d371,2017-06-30,2017-06,6231.0,3.086181277860327,2019,21943,100
netbox,52a490bf5d86d92957f0409114c4d69c1ed8a6d8,2017-07-28,2017-07,6257.0,3.091403162055336,2024,22058,101
netbox,cbc239ceaab1550b327c7798ca2e0b340bcc3b19,2017-08-31,2017-08,6349.0,3.059759036144578,2075,22441,108
netbox,9c673d2a2e53f9d70e8ca2420b8a2fb8db97e05e,2017-09-29,2017-09,6453.0,3.0539517274017984,2113,22864,110
netbox,57973f62c5b31ac235141de0f9c18a5aeaf8ed1a,2017-10-31,2017-10,6487.0,3.0570216776625823,2122,23007,116
netbox,de2a894269f6613e550ec96cb826ba80913761e6,2017-11-30,2017-11,6505.0,3.0525574847489443,2131,23067,116
netbox,935da0d51f0ca6cda8fd9c5fbfece34868bca4c7,2017-12-29,2017-12,6515.0,3.047240411599626,2138,23091,116
netbox,a4019be28c8c6af7e2b134d6750877bf696f3963,2018-01-31,2018-01,6683.0,2.9901565995525727,2235,24674,116
netbox,b83de7eb1183c68697fa7aa6f2179c40a4c1344e,2018-02-22,2018-02,6789.0,2.984175824175824,2275,25129,120
netbox,131436fc20340da20bb66dc98dee0b22e1bee175,2018-03-05,2018-03,6818.0,2.9929762949956102,2278,25179,120
netbox,399a633d9d3baa8f3a22998ea018bc5e82db31bc,2018-04-19,2018-04,6817.0,2.9925373134328357,2278,25177,120
netbox,edd8e9e41e3c24b1ff42e8caa8c7ef5abe028619,2018-05-30,2018-05,6914.0,2.991778450887062,2311,25468,127
netbox,fa5493a5d8d27ada3c52cb7db6c0890029dabcb0,2018-06-27,2018-06,6821.0,2.9942932396839335,2278,25195,120
netbox,2f33e9724d615b8bb7e32bd124d9dd9c3ded7a87,2018-07-31,2018-07,6980.0,2.957627118644068,2360,26117,130
netbox,2ac60bdf48bf539f12268a9019348729770f54a5,2018-08-22,2018-08,6939.0,2.9704623287671232,2336,26056,132
netbox,c31c7b50b748be5359eaf94a4cc4fc28b2917455,2018-09-03,2018-09,7078.0,2.9235852953325074,2421,26631,132
netbox,55c632ace7cbbec8bd885701152350c601b42948,2018-10-31,2018-10,6987.0,2.9283319362950544,2386,26412,133
netbox,d1cd366dc9fc28c623b8cfca4e24af5ce06e579e,2018-11-30,2018-11,7083.0,2.914814814814815,2430,26867,134
netbox,28a02e994329e713a3f7494ab6cc58d0cdfd6b93,2018-12-30,2018-12,8584.0,2.7888239116309292,3078,39221,192
netbox,2f1018c7420253a9e53e4bad5eafa1f2443b8938,2019-01-31,2019-01,8632.0,2.7926237463604013,3091,39334,192
netbox,0ec8476b4dfe5343a06b16b63d7d802c345bcda8,2019-02-03,2019-02,9316.0,2.725570509069631,3418,41910,209
netbox,498f132cadcfadafb11ff8a2882734c4e8ecec4d,2019-03-28,2019-03,8940.0,2.734781278678495,3269,40151,200
netbox,5a8ba159f2dd25d59ee0dccd3ff0b7341b4d3633,2019-04-30,2019-04,8953.0,2.736246943765281,3272,40187,201
netbox,3bb3b85fa2f8e7da2a3259fc7639befb8c925aba,2019-05-31,2019-05,9100.0,2.714797136038186,3352,41027,205
netbox,ddced4fc2b41ec5e88116991d4c0ab392df67af7,2019-06-28,2019-06,9120.0,2.7183308494783907,3355,41075,204
netbox,a32d185ff0308cfdbf1244e962128f8fd8dd015e,2019-07-31,2019-07,9120.0,2.7183308494783907,3355,41087,204
netbox,559beffd2471a6506daa9afcecf8ab6636164bf1,2019-08-28,2019-08,9244.0,2.710055702140135,3411,41708,208
netbox,52e9369af4a485087522acee52ae95005739bae7,2019-09-29,2019-09,9354.0,2.731892523364486,3424,42001,210
netbox,a63383dc081ea5a269a222f6b59b65851f0c82a2,2019-10-30,2019-10,9390.0,2.725689404934688,3445,42333,211
netbox,378883df2be2d783ea12a63a8da65fcb1c198e50,2019-11-03,2019-11,19194.0,2.8197443807844866,6807,75309,412
netbox,2e83ce76eddc7f5d7cfb38430c70efc352b0b10e,2019-12-13,2019-12,20946.0,2.7216735966735968,7696,82051,455
netbox,4136a5fd5e7bde6bb091a82de34d5661235bbfc8,2020-01-31,2020-01,21105.0,2.7141203703703702,7776,83195,462
netbox,a17c22746d7cccdab70ef61ca67a9a3ede6aa8ab,2020-02-29,2020-02,20982.0,2.7242274733835368,7702,82326,460
netbox,221e014a25405fea9cd58e365d85ae5e286792b2,2020-03-31,2020-03,21125.0,2.7149466649530907,7781,83567,468
netbox,6ab046ba8f9f429377497cb4e0fc5e0595f2d0e2,2020-04-30,2020-04,21242.0,2.7125526752649725,7831,84195,471
netbox,2fe4656db49d4c08d222351d4a91cd38082254e1,2020-05-08,2020-05,21259.0,2.69579000760842,7886,84582,473
netbox,0b1df1483fe19ed51f9cfc016bc901af1c4b82b8,2020-06-30,2020-06,20873.0,2.7760340470807288,7519,81141,474
netbox,eacbec9c68abf344575fa08e59104d2c4e64a74d,2020-07-30,2020-07,21260.0,2.764988945246456,7689,83099,490
netbox,473d76c9d1cf24deab6991b1eb994fa11f53a65e,2020-08-31,2020-08,21254.0,2.7663673044383703,7683,83215,489
netbox,46df5a97b22bfd4f3d5bb24525c346f78194f3c6,2020-09-30,2020-09,21266.0,2.758951738453555,7708,83667,495
netbox,2ffdc46f8105ad67f1cdde802bb81c1531f38403,2020-10-22,2020-10,21434.0,2.748653500897666,7798,84408,506
netbox,23b305847eaa166c27befe9fc896fe54d0983ee2,2020-11-30,2020-11,21392.0,2.751028806584362,7776,84189,505
netbox,e73c22596546e0232135ae20b7132c02529ffff7,2020-12-31,2020-12,21447.0,2.7457431826910765,7811,84554,506
netbox,196407307219fd29e3540965f0500bf4331f5876,2021-01-26,2021-01,21465.0,2.7455871066768993,7818,84594,506
netbox,d5e5cdda23ca184c9e40cdaa0da611269dd72d65,2021-02-08,2021-02,9309.0,2.2366650648726574,4162,31546,266
netbox,83c4577f6d357035ed1fe3115d8ae183eb20e2a6,2021-03-31,2021-03,21749.0,2.7237319974953036,7985,86370,515
netbox,04cc43b2f0858a1f3fb7044a58e4fd33976d8f56,2021-04-30,2021-04,15179.0,2.548094678529461,5957,32729,300
netbox,0c9376039c84a24a2d38bb316a601bb155d326bc,2021-05-27,2021-05,21814.0,2.7315301778111696,7986,87246,526
netbox,5bf4234ad3f2d0a02a1eda37d4a196d66970a7fb,2021-06-15,2021-06,21826.0,2.730639309395721,7993,87285,527
netbox,374cf146e244563ee2908e815be9173b82e68211,2021-07-31,2021-07,12616.0,2.276845334777116,5541,31837,248
netbox,eb9f2b36ab740eae2ac33a38814f92ff8c82115d,2021-08-15,2021-08,13093.0,2.305105633802817,5680,33150,281
netbox,a5b99e7148eada4036d36054ec6b2b7d826c2283,2021-09-30,2021-09,13065.0,2.301391580059891,5677,33077,281
netbox,830cf4b31f6036c4ca17422d9bace348f034c41e,2021-10-28,2021-10,13092.0,2.302497361941611,5686,33303,282
netbox,dc3040550df4bb1089ede80c5d37956cbb479182,2021-11-30,2021-11,13122.0,2.3012977902490355,5702,33427,284
netbox,fa1e28e860c4bdb3e585a968bd248a2ac666e1f6,2021-12-30,2021-12,13048.0,2.2648845686512757,5761,36603,311
netbox,03ea25771141dd8406e4ed9eb4797e4e8d8f70bf,2022-01-27,2022-01,13161.0,2.264842540010325,5811,37228,322
netbox,e7496c88407e134740c0d3bdd0606ad948055bef,2022-02-28,2022-02,13239.0,2.261144321093083,5855,37556,324
netbox,aa2ec3b9c9d91e1b03429a508249fe516e3e4a84,2022-03-25,2022-03,13290.0,2.264826175869121,5868,37804,329
netbox,5d37f9f9759b0b31bf0e4fd8fdb7964ff3729abf,2022-04-29,2022-04,13320.0,2.2583926754832144,5898,38052,332
netbox,7b0207000786f9e25958df32dcb6f1b4203bd7e1,2022-05-31,2022-05,13442.0,2.2709917215745903,5919,38747,334
netbox,be778353b7b97b779261f7c06aa9a3d823ff49e4,2022-06-30,2022-06,13500.0,2.2723447231105873,5941,38773,336
netbox,5e37f82b2f0f78c97de783ba5f7d4087d4a58c7a,2022-07-14,2022-07,15058.0,2.288797689618483,6579,40976,345
netbox,128ccb43304adebdefbb3cd21e9cc2fbd4adce25,2022-08-11,2022-08,13725.0,2.2810370616586337,6017,42970,375
netbox,568e0c7ff66b149583e96947bc500374579c6fee,2022-09-30,2022-09,15095.0,2.2881612854327726,6597,41126,348
netbox,d1970ca85bd9e487fc520dd09e2acac217ee573b,2022-10-31,2022-10,13187.0,2.2565023956194388,5844,40239,346
netbox,f7150645a14e2947122bc8e3715eecd3c105c3b2,2022-11-17,2022-11,12860.0,2.2773153887019655,5647,43410,397
netbox,f7b85ab9411667fc7b9b429f680476bbbcde2698,2022-12-19,2022-12,13732.0,2.2818212030574943,6018,42978,375
netbox,e65b2a9fb353f042ebaf3a46a3bdc13f2fd14751,2023-01-31,2023-01,13756.0,2.2850498338870433,6020,42932,374
netbox,07b0b932565e098f6419342ca80a61cef92fcf66,2023-02-19,2023-02,13798.0,2.2863297431648717,6035,43190,376
netbox,8d6c591535e416e247f0cf3826570b7fd2b652bd,2023-03-31,2023-03,13135.0,2.2506854009595614,5836,44351,418
