project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
networkx,09bd53b65aa6d3a6c0c422f46cf1c5c0fffa4245,2005-07-25,2005-07,735.0,4.224137931034483,174,14532,16
networkx,a25bd43cc243e9e046788decae8d821debb1cbd3,2005-09-23,2005-09,570.0,3.6538461538461537,156,14237,32
networkx,b494c9ed877230b29bee4a923d0b6331fc9f6a23,2005-10-25,2005-10,613.0,3.4829545454545454,176,14468,38
networkx,3a4bb3a958f0e6ccfa0ea8d96769c260a06cfd69,2005-11-17,2005-11,450.0,3.9473684210526314,114,13838,13
networkx,c7ab18c0b501f503087f596b75c0b49d22a6277f,2006-03-31,2006-03,753.0,4.026737967914438,187,14632,18
networkx,fd9334cf8ae3e58f0ac9b5d99bb6401d66dc5406,2006-07-29,2006-07,1100.0,4.741379310344827,232,15642,20
networkx,5d34eb59a4029884d87b2a76d0d1d35c28c06f01,2007-01-31,2007-01,1183.0,4.107638888888889,288,15674,22
networkx,3d1fe14e3cc39a81669d9c3cc912c18b9c316444,2007-06-28,2007-06,1736.0,4.756164383561644,365,16774,27
networkx,a333b0feed9f2611ccd104b03024215513fb1b0b,2007-11-08,2007-11,1487.0,4.827922077922078,308,16392,30
networkx,5b5ba90d8eaa193137ea32a4ecf03912f37a6fe8,2008-06-24,2008-06,1221.0,4.845238095238095,252,15970,29
networkx,9d1d06fcfc01b5737a0504474c0e2997ceab39e5,2008-12-31,2008-12,3963.0,4.1584470094438615,953,23579,96
networkx,3ad0e907342a0cacdd76c45bc84b2d8f4835b6dc,2009-07-27,2009-07,3768.0,4.438162544169611,849,23167,94
networkx,a9e6e645737ca7d22616d63c7b7e45b682d55b72,2009-12-31,2009-12,3781.0,4.219866071428571,896,23627,96
networkx,1ef90fc16dfe858fbe1c608895278dfe8c756c49,2010-05-05,2010-05,4180.0,3.6127917026793432,1157,26250,151
networkx,befc67e4e585eccb6b72fa4956371383ccc49fd3,2010-06-25,2010-06,4186.0,3.6086206896551722,1160,26316,151
networkx,319009b9cca53c5244228bdccb679269428fa6d4,2010-07-31,2010-07,4643.0,3.661671924290221,1268,27779,149
networkx,204ad648adcfb08ed689e84b1971e325ce72c46c,2010-12-14,2010-12,5278.0,3.1968503937007875,1651,32305,186
networkx,ad57e6fd1fec0f28f9c9d9437d29d6561dcf5658,2011-05-31,2011-05,5729.0,3.193422519509476,1794,34247,205
networkx,5cfbcdf4abeb87611e1f2a5c7fca13cd3b404356,2011-10-25,2011-10,7514.0,2.760470242468773,2722,37522,251
networkx,ee8314a52840959fb8df8d9b8348c1af4dcce456,2012-03-28,2012-03,7656.0,2.6769230769230767,2860,38274,268
networkx,f5785810f444f2092a479a258a5f0e8077a9f91f,2012-10-28,2012-10,7835.0,2.6942916093535074,2908,39027,287
networkx,07b18261e570e3d9837c19f20112beddc2ecd211,2012-12-29,2012-12,7615.0,2.7264590046544934,2793,39019,285
networkx,9294fc8fd0338eff7d80273f09e2862b1b3bcde9,2013-01-22,2013-01,8831.0,2.6997859981656984,3271,42524,309
networkx,c1465c87e291a362c2c7d662c6ec98ffad364d05,2013-02-26,2013-02,8484.0,2.70622009569378,3135,41221,300
networkx,a18f09972692b2473569f0c3a386e9fb53527e1a,2013-03-16,2013-03,8484.0,2.70622009569378,3135,41218,300
networkx,091238f4760f5aa3473924e8f2b5217aa574da92,2013-04-24,2013-04,8348.0,2.6963824289405687,3096,40799,297
networkx,e4465cd6cbc209f505dbaf237333e3d87c3f74b8,2013-05-28,2013-05,8652.0,2.7216105693614345,3179,41842,302
networkx,34f894ef4f98fcfc3f9b6ac156cd6836d2e2e0ac,2013-06-01,2013-06,10871.0,2.9589003810560697,3674,51992,385
networkx,0c1c31f2fabe24b4b78f333538bf8d248ccf1a2c,2013-07-30,2013-07,8683.0,2.7219435736677116,3190,41961,302
networkx,ac8571adc96904f13bdc3260ae7d3a5bbfe08ecc,2013-08-30,2013-08,8733.0,2.713797389683033,3218,42163,305
networkx,657590fa828af9bbdb0bb2c4f77723a73e92ba40,2013-09-30,2013-09,8790.0,2.6971463639153113,3259,42395,309
networkx,5dcc0e844059adf19a7a5a08368df69f7b2c4d11,2013-10-19,2013-10,8925.0,2.698820683398851,3307,42917,315
networkx,0614bf439b9e64d1bd0c6730003ae25f24a37685,2013-11-27,2013-11,8800.0,2.692778457772338,3268,42450,310
networkx,a7725b8b86ca6baf9a5310fe4839ff638aa1e354,2013-12-31,2013-12,8938.0,2.7027517387360147,3307,42945,316
networkx,a8dcd736cb5e0ec6b49bf81695995996512dfed1,2014-01-31,2014-01,8927.0,2.6994254611430297,3307,42923,315
networkx,556bf896428843c9f6c2892ec12a4ef89792b67f,2014-02-26,2014-02,8955.0,2.6997286704853782,3317,43034,317
networkx,1b2eb7969ca00db179df30293a34c3dc9fbd4645,2014-03-30,2014-03,9242.0,2.721436984687868,3396,43976,324
networkx,2b2d6c070272c068a8d4b1eaae58ff1878e7d5ca,2014-04-21,2014-04,9578.0,2.7287749287749286,3510,45041,330
networkx,085c2be0cf817437213ad90e911763c3a4412af0,2014-05-31,2014-05,9613.0,2.7325184764070496,3518,45335,331
networkx,6731bfc052d2cc51eb9db8f015b85a3b70e0bd5c,2014-06-11,2014-06,9868.0,2.6786102062975026,3684,46413,334
networkx,a24418de13812ac12e9d6377311c98fb67a77036,2014-07-01,2014-07,8445.0,2.927209705372617,2885,44677,321
networkx,fe054da973ff9698fbbaa2f84189535a6c95f7e0,2014-08-15,2014-08,9875.0,2.6710846632404652,3697,46408,336
networkx,c6a8be30291dd21ffda8bc5b24563cb187f847b2,2014-09-27,2014-09,8728.0,2.8663382594417075,3045,45847,328
networkx,6f1543afefbd66ebd11b8df8e1fbf3d6276cce4a,2014-10-31,2014-10,8728.0,2.864456842796193,3047,45854,328
networkx,cb5ca3a3ff384c51afdd902443f1bdb0b1f52b33,2014-11-25,2014-11,9349.0,2.9133686506699905,3209,47596,333
networkx,119497b64c07a9ffb1bd019dd9afb388d57044d2,2014-12-31,2014-12,10225.0,2.9297994269340975,3490,50365,357
networkx,fcac1ee1d7e1f6ff30debee1139e5f80cdde93ae,2015-01-24,2015-01,9585.0,2.9258241758241756,3276,48208,337
networkx,8de67c08de7636c10fb47ee1e233cb6d6f92198b,2015-02-23,2015-02,11468.0,2.9047619047619047,3948,41604,412
networkx,c34afe24a1829bbcaa3d53ff99a61a6c382f59e3,2015-03-03,2015-03,11074.0,2.9195887160558924,3793,52610,392
networkx,087c719eda2da21357c3cfd01252b1e8c130329b,2015-04-15,2015-04,10429.0,2.941060349689791,3546,51043,369
networkx,08ff59c6d1d8404398e3b6cda1270e20772ae1d7,2015-05-09,2015-05,10623.0,2.989026449071469,3554,51187,372
