project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
paramiko,11815d4d837314a51ebf919c1a61cb0f68a3c02b,2003-11-10,2003-11,613.0,3.349726775956284,183,1999,12
paramiko,3a8887a42083dda796f50e1e9b32f625abcb5d5a,2003-12-31,2003-12,706.0,3.4271844660194173,206,2211,15
paramiko,d5995709055c6319b4f02c322bb5b0bfc2c584b7,2004-01-27,2004-01,719.0,3.473429951690821,207,2250,15
paramiko,f8a3a6213650fd8b8473d1301918ca343678ce22,2004-03-16,2004-03,862.0,3.4071146245059287,253,2618,17
paramiko,4d774d62a5f32be58e56e7aedba685f353da31e8,2004-04-23,2004-04,944.0,3.2777777777777777,288,2876,18
paramiko,9baa2b361eb5dce72f80bac5936615853d0b2fbb,2004-05-31,2004-05,964.0,3.2901023890784984,293,2942,19
paramiko,c6a61c2a0140131636c0da3d0cf0a9b5b6d26651,2004-06-27,2004-06,974.0,3.324232081911263,293,2968,19
paramiko,440b3de06abfd358e93e698fde178ef0c5c85939,2004-08-31,2004-08,1013.0,3.288961038961039,308,3066,20
paramiko,e1639180f99a381e879b29c2ca25cbe02fe09f02,2004-09-25,2004-09,1048.0,3.1951219512195124,328,3180,23
paramiko,a73413c5886dd411aeb65c941797516c8bc240a4,2004-10-23,2004-10,1058.0,3.2158054711246202,329,3209,24
paramiko,ed8b3762057cd206ef0262920991ba87ec193184,2004-11-26,2004-11,1168.0,3.2,365,3554,27
paramiko,811f2bf30f011f911fa72b29e7a566e6f6c2acab,2004-12-19,2004-12,1222.0,3.1906005221932117,383,3702,28
paramiko,c1ed20c4afaa4715f0ec1f4f802a587b3935f48f,2005-01-25,2005-01,1238.0,3.1907216494845363,388,3743,28
paramiko,fead211c5ca75b654c218c6bcfc75552284719c6,2005-02-28,2005-02,1256.0,3.179746835443038,395,3808,28
paramiko,5d8d1938fa6aa58a1b27730d8bcac8db963f4595,2005-03-26,2005-03,1232.0,3.142857142857143,392,3728,27
paramiko,2f2d7bdee88c9f9b14dc2495fb77d7abd1587d64,2005-04-30,2005-04,1236.0,3.1133501259445846,397,3737,27
paramiko,b1a0d8afe980b8be7024c9ef6fc695f8fa6e5e25,2005-05-21,2005-05,1282.0,3.0743405275779376,417,3875,28
paramiko,401e37fa23e9c78c0d3537741c6f923e6daad100,2005-06-28,2005-06,1285.0,3.074162679425837,418,3890,28
paramiko,5a5cd201b787affcdf80dc5cf33eb5f7ba937138,2005-07-18,2005-07,1369.0,3.035476718403548,451,4188,30
paramiko,01ca23cacefd242dba5b5662aa4f46595196588e,2005-08-17,2005-08,1366.0,3.0154525386313464,453,4157,29
paramiko,f2ec841a15ab7012a7473aeced64653312166c4c,2005-09-27,2005-09,1418.0,3.010615711252654,471,4303,29
paramiko,42867ded4247f7fcd66aa0907f85a1660d931612,2005-10-31,2005-10,1447.0,3.0335429769392035,477,4412,29
paramiko,76eafefcead9e98c7fb488688a7c365e40f58417,2005-11-25,2005-11,1452.0,3.0440251572327046,477,4415,29
paramiko,26397bff47bc1005a7d4b42a95bfb72f213cf26e,2005-12-16,2005-12,1507.0,3.069246435845214,491,4533,30
paramiko,c091dff994c17173388bca990c7d0d9e2b3382ed,2006-01-30,2006-01,1523.0,3.0521042084168335,499,4655,31
paramiko,90a577c775c4a985455e30fbc4bc44f05c61a3e8,2006-02-27,2006-02,1553.0,3.02729044834308,513,4730,32
paramiko,d7b28ac257caf5daa2bd673efff9350bf547de38,2006-03-26,2006-03,1580.0,3.0326295585412666,521,4806,33
paramiko,57bc6728af8f8cb2bf2a0250d1261df6f916f8d4,2006-04-29,2006-04,1626.0,2.978021978021978,546,4983,35
paramiko,1726162508545057ab9ea3c46c064907df121e65,2006-05-30,2006-05,1635.0,2.9566003616636527,553,5011,36
paramiko,9c8a06b877ff76127727941795f351da6f9e9da1,2006-06-27,2006-06,1670.0,2.889273356401384,578,5104,37
paramiko,157484f5eb0132b7676e871862a9b3ff9e38508b,2006-07-31,2006-07,1718.0,2.926746166950596,587,5250,38
paramiko,1f4a3f19764bdc7483ae503a946e631681ab3e6e,2006-08-29,2006-08,1713.0,2.9791304347826086,575,5227,37
paramiko,93ab47740887aa00dfc23ed2c805adb227c0b844,2006-09-30,2006-09,1721.0,2.9878472222222223,576,5262,38
paramiko,482d0bcef2ab01c98db388f88d650b1d1d35e745,2006-10-31,2006-10,1733.0,3.0086805555555554,576,5284,38
paramiko,aaa97d72c0571b517cc0ab2fc485b87cdfd8be5d,2006-11-27,2006-11,1772.0,3.0136054421768708,588,5395,38
paramiko,c1e3e85353a29141daeca5c81fef57e2ea36c12c,2006-12-27,2006-12,1795.0,3.011744966442953,596,5463,39
paramiko,21a42f5f3388e91ca6dc4e91bf824dfc85fc7944,2007-01-22,2007-01,1795.0,3.011744966442953,596,5463,39
paramiko,6b71c642d1049aa2c05f79c1ea6443ae75e89085,2007-02-18,2007-02,1796.0,3.0083752093802345,597,5465,39
paramiko,920b1723606f5cf3cf16155dedeaa9c1b633af82,2007-03-26,2007-03,1796.0,3.0083752093802345,597,5465,39
paramiko,946e4dbc2925bd7bc151736107e46527323f66b7,2007-05-20,2007-05,1805.0,3.0183946488294313,598,5486,39
paramiko,39b45b4000e1422309e56004fc863834e6674beb,2007-06-10,2007-06,1805.0,3.0183946488294313,598,5486,39
paramiko,2cf5448d430db8926d0af587b72d74a34fc5bd11,2007-08-31,2007-08,1805.0,3.0183946488294313,598,5486,39
paramiko,80b9e289cef4fc0939141ccf15751017a58a1637,2007-09-23,2007-09,1811.0,3.028428093645485,598,5490,39
paramiko,758c18a28b1ff5df1a920d02ef1e9df52853a677,2007-10-28,2007-10,1821.0,3.024916943521595,602,5513,39
paramiko,92e92a9297770661eb578bfab2735136e3d98a5b,2007-11-20,2007-11,1827.0,3.024834437086093,604,5525,39
paramiko,ba1fd0d61bc5c103004d496473681b2a4dce0f3b,2007-12-30,2007-12,1831.0,3.0264462809917356,605,5542,39
paramiko,888aa8d5b7288496343e2700f94c56ddd25f2e65,2008-01-23,2008-01,1843.0,3.011437908496732,612,5572,40
paramiko,4f52c1390040511a302c1a6c00e568eaa9ebd992,2008-02-19,2008-02,1871.0,3.0128824476650564,621,5721,41
paramiko,c52b11ba17793e8924320411dcfa89d58d0c60c7,2008-03-23,2008-03,1891.0,2.9593114241001564,639,5769,41
paramiko,e47e2035403e4dc92609d4a8aae8f4f41874a9fb,2008-05-18,2008-05,1922.0,3.007824726134585,639,5857,43
paramiko,305f5e09a58d4c80740faf564dfdca875d98245f,2008-06-03,2008-06,1926.0,3.0140845070422535,639,5865,43
paramiko,2fda984906a9b2396673672e11b58c7de2b8cf6a,2008-07-06,2008-07,1928.0,3.0172143974960877,639,5874,43
