project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
pylint,1edf5101afba0965cb814c548afc22bc3cecb205,2006-04-26,2006-04,113.0,2.511111111111111,45,302,3
pylint,ba8eebffff2bba4ac9ddc4763279f8ef5a3f5f2a,2006-05-27,2006-05,1097.0,3.8900709219858154,282,2715,25
pylint,308f4172324ded5d66afa742aa4ebd79f6c51249,2006-06-26,2006-06,1097.0,3.8900709219858154,282,2715,25
pylint,35cbf035e0a8b17b72089acf4a5a4f2c208c9aff,2006-08-25,2006-08,1109.0,3.918727915194346,283,2718,25
pylint,6642dee7a980f7298f5cf501f0ef2fff9bf35318,2006-09-25,2006-09,1123.0,3.9403508771929823,285,2763,25
pylint,fbdce6dca973ed2b6edf33ca47403151942b66a0,2006-10-25,2006-10,1123.0,3.9403508771929823,285,2763,25
pylint,5542a26b3ff9f1244823b32a453e1bb2d150af32,2006-11-28,2006-11,1146.0,4.021052631578947,285,2802,25
pylint,6a8bb3f34407d546b4cb644a07cd16d192ab8ecb,2006-12-27,2006-12,1150.0,4.035087719298246,285,2823,25
pylint,2896333fe47afe6d93b754e311e4c759192c03a3,2007-02-28,2007-02,1278.0,4.109324758842444,311,3083,27
pylint,7166da1c7f99660642320992f5cf44b564469b90,2007-03-09,2007-03,1279.0,4.112540192926045,311,3093,27
pylint,9ba3931889eec06a4ed065cf856a77120c7eed72,2007-04-16,2007-04,1280.0,4.115755627009646,311,3093,27
pylint,0a3146bae43288a1bdb64b5d92bf00c6e1956d55,2007-06-07,2007-06,1280.0,4.115755627009646,311,3093,27
pylint,012196ca03ce9364d99a555a3e4d55e4be76a96b,2007-07-20,2007-07,1270.0,4.123376623376624,308,3084,26
pylint,2a059c302cabf5e6372ca773f88b185a08798e43,2007-08-22,2007-08,1269.0,4.12012987012987,308,3079,26
pylint,2507ec4f1f79da3553b3c50788cddf1c6bd24dd0,2007-11-19,2007-11,1270.0,4.123376623376624,308,3080,26
pylint,e8179ad1fa40eb3c66d457232c6eee65b2e78070,2008-01-14,2008-01,1271.0,4.126623376623376,308,3082,26
pylint,78284272bb632b1b3f28714c4de54c2fae12669e,2008-02-13,2008-02,1274.0,4.136363636363637,308,3094,26
pylint,66fad97fb8bcb76a5032ffc295f065907671a75e,2008-03-27,2008-03,1275.0,4.12621359223301,309,3099,26
pylint,ac1c59f540333054cab8e9765a3d096936f107d6,2008-04-14,2008-04,1275.0,4.12621359223301,309,3099,26
pylint,9155efe150dd989bd08acccff106f7ab395258a6,2008-05-15,2008-05,1276.0,4.1294498381877025,309,3100,26
pylint,ccd08a40bf68f8ab800a2c7506ae8b03072b5143,2008-06-24,2008-06,1276.0,4.1294498381877025,309,3100,26
pylint,04bc07bbff5cd100caf9bb4c2d17cd1f8fdfb5d4,2008-07-31,2008-07,1276.0,4.1294498381877025,309,3100,26
