project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
pymilvus,551f139daa4ba0c98caf8789d6eed268921bb615,2019-06-30,2019-06,892.0,3.0972222222222223,288,2370,7
pymilvus,e1501d3290705907b04ae04480a33c0365e45f77,2019-07-18,2019-07,1114.0,2.9238845144356955,381,3051,11
pymilvus,108731aaac3508fc9003a3bdc337711f658028c7,2019-08-30,2019-08,348.0,2.175,160,1225,12
pymilvus,42b871ec6beae28d3d826f08de8eb337487f7ac8,2019-09-28,2019-09,385.0,2.3333333333333335,165,1261,11
pymilvus,9937c57af6e8cddf318409e45b21f49323b5ff41,2019-10-29,2019-10,369.0,2.2363636363636363,165,1251,11
pymilvus,a3771f8f27835e75613d6314ce2e4a3d66307877,2019-11-29,2019-11,468.0,2.351758793969849,199,1537,15
pymilvus,3b05a74671c2979686ec8eecf967e0eae947e067,2019-12-31,2019-12,527.0,2.1867219917012446,241,1695,18
pymilvus,38534e6e18241598b034e8cb1775ba0f68b78a79,2020-01-21,2020-01,682.0,2.4184397163120566,282,2146,19
pymilvus,943bcca9da80dddb23853afef5f9c9115489b006,2020-02-24,2020-02,682.0,2.4184397163120566,282,2146,19
pymilvus,094ee873aca34bae616e9621d0ab56fa8d9b7669,2020-03-29,2020-03,821.0,2.2617079889807163,363,2679,25
pymilvus,1631277c1ebe76e49d652179c9ace6296712a7f1,2020-04-16,2020-04,792.0,2.1405405405405404,370,2498,22
pymilvus,ef2aa4a2ed76b030d7cc55a6d91a9cdb095ea20e,2020-05-30,2020-05,850.0,2.130325814536341,399,2975,22
pymilvus,8fd6d9825622e54a1e863fa12ee2004129d3a541,2020-06-13,2020-06,1006.0,2.168103448275862,464,3417,22
pymilvus,24582e35a1fc0503c2963372d4ef58efd60f9ef3,2020-07-20,2020-07,1008.0,2.1724137931034484,464,3418,22
pymilvus,e0f7f97f4d8bdcb9cb6ff526818bf85e6c7a5e8b,2020-12-25,2020-12,1009.0,2.1745689655172415,464,3408,22
pymilvus,49c24b0baae20bf3cd9f139a25ab3d1c1bd1d76d,2021-01-24,2021-01,1012.0,2.1810344827586206,464,3415,22
pymilvus,504bbea0fd7251ac15ba88fa5bbee461b6ee2823,2020-09-03,2020-09,1009.0,2.1745689655172415,464,3408,22
pymilvus,be5e66e6e8e3beb079dc479b013cf38bd4009019,2021-02-25,2021-02,1012.0,2.1810344827586206,464,3415,22
pymilvus,d61550c45572d75b2b6da29c577bbcad4d8320bc,2021-03-26,2021-03,888.0,2.099290780141844,423,3127,22
pymilvus,5c1b337cd2544696c45f64d592eb116c024717b9,2021-04-30,2021-04,1260.0,1.9119878603945373,659,4141,40
pymilvus,3c0a0b44b0bb12fc5ca7261c43e4c694f56905f5,2021-05-31,2021-05,1696.0,2.1827541827541825,777,5297,41
pymilvus,a06d1af3a7ed50540992bd4c23755be72bbc5e78,2021-06-30,2021-06,1739.0,2.0579881656804733,845,5767,40
pymilvus,d28cd0e45784724904f717cf98702b0ab3084364,2021-07-31,2021-07,1851.0,2.1776470588235295,850,6176,42
pymilvus,92baab41c9e0578585848110eebe99f7e8b44243,2021-08-31,2021-08,1963.0,2.198208286674132,893,6605,45
pymilvus,b4ce07f854f245b4b5f1915d96735afa1d75ed2e,2021-09-30,2021-09,1786.0,2.310478654592497,773,6116,31
pymilvus,f88ecb2695aa265a50dc79a729d026f24ef501fb,2021-10-27,2021-10,1785.0,2.303225806451613,775,6109,31
pymilvus,290d76fc9b5d3153c7c0fffee218a2acb51b8938,2021-11-29,2021-11,1831.0,2.3625806451612905,775,5664,32
pymilvus,24abb0e48a94e18446c940dbdba191ec73de1f5f,2021-12-31,2021-12,1856.0,2.36734693877551,784,5748,33
pymilvus,30b552554184862bb2b10ee2cdc7842dd927941d,2022-01-27,2022-01,1705.0,2.387955182072829,714,5270,33
pymilvus,3de86501a33c747149427908f02e2b207ba0c6c5,2022-02-25,2022-02,1707.0,2.3907563025210083,714,5280,33
pymilvus,8e9dde9481874a14446cc6b074cbc5e56492746a,2022-03-31,2022-03,1768.0,2.33553500660502,757,5528,37
pymilvus,ce4afe3418f984328297e5d8823cb1d503dec126,2022-04-29,2022-04,1867.0,2.2332535885167464,836,6025,39
