project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
pytest-django,982c6853ed13a080649141ded51328b8eac67925,2009-08-25,2009-08,41.0,2.1578947368421053,19,134,3
pytest-django,8feac55020b805b25035751a6096a69acefcbef6,2009-09-24,2009-09,49.0,1.96,25,163,3
pytest-django,bf0df782fef3f1f90f8262a1b33932806b0525dd,2009-12-18,2009-12,60.0,2.3076923076923075,26,204,3
pytest-django,fd1cacaa6007bb3c0f901672cdd80ae764f7ead0,2010-07-26,2010-07,40.0,1.5384615384615385,26,145,3
pytest-django,93358c5ecda99cb17cdc3746fe36001f2bb9490c,2010-08-27,2010-08,41.0,1.5769230769230769,26,152,3
pytest-django,c2ab387e48016eb5aabb3fffff255ecfe2b3865f,2010-09-22,2010-09,40.0,1.5384615384615385,26,147,3
pytest-django,447fbf96ab5738aa95c2a78fb580b0a5302a9e2e,2011-06-10,2011-06,41.0,1.5769230769230769,26,146,3
pytest-django,54a993de35ead9c15f1dab4248b0ce4f2c96493a,2012-03-27,2012-03,34.0,1.619047619047619,21,125,3
pytest-django,b009a1cc6425794b4d6cf94a7dc69fc1c18c482e,2012-04-30,2012-04,28.0,1.5555555555555556,18,85,3
pytest-django,69b348bc58eb140019ce815fcc9d99156a08ebc3,2012-05-28,2012-05,59.0,1.84375,32,163,4
pytest-django,cfa40067f0b935d8dbc94d464b9678000970e485,2012-06-24,2012-06,105.0,2.3333333333333335,45,327,7
pytest-django,b72cd6f0ed5222067a6efb092df952c01d567294,2012-07-08,2012-07,78.0,2.0526315789473686,38,242,7
pytest-django,154bc2dfabd663507719c3976950adc446c76d7c,2012-08-21,2012-08,78.0,2.0526315789473686,38,242,7
pytest-django,9003a791d2257ecc9b97a5a0768a0ced5d7bfcb0,2012-09-19,2012-09,104.0,2.2127659574468086,47,328,8
pytest-django,8e6de8d6c11e427637bfb12383f51d4e1ff57cfc,2012-11-29,2012-11,99.0,1.9411764705882353,51,320,8
pytest-django,794bd23d17995b976489bd843fc2830801f42eef,2012-12-17,2012-12,102.0,1.9615384615384615,52,339,9
pytest-django,1d461caa754e38760481c4319c8bd59254579389,2013-02-24,2013-02,108.0,2.0,54,353,9
pytest-django,4e034b61bc2747a99efd5a935d3b3be2a262803f,2013-03-28,2013-03,111.0,1.9473684210526316,57,356,9
pytest-django,11bbd62fefa24795cc1587f71a66d958de64d38c,2013-04-12,2013-04,114.0,2.0,57,368,9
pytest-django,2804d0051d30ec92240196b4455e9e0a538b00e7,2013-05-30,2013-05,114.0,2.0,57,368,9
pytest-django,5b52e660de2cc8eadee60242e0d5cdd59200b287,2013-07-08,2013-07,114.0,2.0,57,370,9
pytest-django,b58634e77302a7153f302984e29dfda623cd6c2f,2013-08-28,2013-08,115.0,2.017543859649123,57,374,9
pytest-django,e6fbb0351fee80aa4b562687434c96601c4c2e25,2013-09-20,2013-09,115.0,2.017543859649123,57,374,9
pytest-django,7e09b85c53b0693266d78cd969fbf330ff6275c7,2013-11-30,2013-11,118.0,2.0,59,379,9
pytest-django,7bc7bd32957f04ddb82506d7d7219d129039c5cb,2013-12-30,2013-12,130.0,2.0634920634920637,63,418,9
pytest-django,bad6ae5a70bca06b631cf2017e9a9196fbfc92f8,2014-01-19,2014-01,128.0,2.064516129032258,62,412,9
pytest-django,318a04d5b42245b7cb0491f9dd9a3b8beaeb9ef7,2014-02-27,2014-02,129.0,2.0476190476190474,63,416,9
pytest-django,86e5325a43f0b98da83537f8d785ff6d9c34f2a8,2014-04-22,2014-04,166.0,2.2432432432432434,74,521,10
pytest-django,00a1066e112b133169a115a45b870854156c7a00,2014-05-17,2014-05,168.0,2.27027027027027,74,525,10
pytest-django,c197b23eafbcd9e3947518cfcf2fee520bfc026c,2014-06-13,2014-06,173.0,2.3698630136986303,73,539,10
pytest-django,36cd3b49aaef8fef96ab028b702aebd147361ef5,2014-07-31,2014-07,258.0,2.504854368932039,103,830,12
pytest-django,03685d707493f1860aaad0170e7d78dc3dddd4dc,2014-08-31,2014-08,249.0,2.6774193548387095,93,798,11
pytest-django,6a2c40edaa4d374ebc894e75563ebd75ce509b24,2014-09-30,2014-09,263.0,2.5533980582524274,103,843,12
pytest-django,d8f02c185dfbc65cd2cb2918f637fc1534f4f87f,2014-10-01,2014-10,263.0,2.5533980582524274,103,843,12
pytest-django,8bb824c29ce637e1115b5f01285cbedaefec7be3,2014-12-19,2014-12,258.0,2.606060606060606,99,816,12
