project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
pytest,661d984aec3aae57b689df258d1e634e2b423d6c,2007-01-31,2007-01,8135.0,2.241664370349959,3629,31620,258
pytest,2cd886f442284b81a34024e9ede8f48a63b3e6fa,2007-02-23,2007-02,8359.0,2.244026845637584,3725,32734,260
pytest,1e7bb8ca99315a73ad87954601b576c1c49a98ec,2007-03-29,2007-03,8788.0,2.2516013323084807,3903,34114,274
pytest,e49f017024ffc38eccabbae5f12fba2b5e9e86a7,2007-04-23,2007-04,8802.0,2.24942499361104,3913,34161,276
pytest,29e19de6a4f9e17690552ff81edbb55888b8bab1,2007-05-23,2007-05,8818.0,2.2506380806533945,3918,34032,276
pytest,bdfb5ea88bbb5572cde09ea3b69198089d9232a4,2007-06-14,2007-06,8820.0,2.2505741260525642,3919,34043,276
pytest,8cbb41521c3f0289aa4cba225fe4ff085d7fe11f,2007-07-24,2007-07,8213.0,2.1739015352038114,3778,30615,275
pytest,28c5aae67d25126f9a16971afc1395b28f8e4ed5,2007-08-27,2007-08,8869.0,2.24645390070922,3948,34298,275
pytest,1e67da155a4b53e3e115dbd60c297849a24eabe4,2007-09-21,2007-09,8894.0,2.247662370482689,3957,34408,276
pytest,b97ff86b0fc5acd11175d71d0584b308eb1ed657,2007-10-19,2007-10,8904.0,2.249052791108866,3959,34425,276
pytest,de0879d46d031434725b0aa060203f1d52735229,2007-11-06,2007-11,8908.0,2.2494949494949497,3960,34440,276
pytest,c5f6b437c8233bc32747002feca269eebb24c57e,2007-12-21,2007-12,8908.0,2.2494949494949497,3960,34441,276
pytest,24e2d79924f4107c85a4c10e9e37303e9a16a6c8,2008-01-30,2008-01,8887.0,2.237975321077814,3971,34317,280
pytest,f3f84fa36c595ad909c85734c0f5aba352cae251,2008-02-08,2008-02,8888.0,2.2382271468144044,3971,34320,280
pytest,a700c261ef45c4378ccfb10df6ce64255196b8ff,2008-03-18,2008-03,8984.0,2.2292803970223325,4030,34785,281
pytest,671f6a46601e408c54ac0f4f06d09db31e0e3663,2008-05-21,2008-05,8986.0,2.2297766749379653,4030,34787,281
pytest,4549e188da014f0343d6499eb15314af4a89baa7,2008-07-29,2008-07,9001.0,2.231837341929085,4033,34843,282
pytest,d9f3c868e8b2bd2433ee64dbc6907b51bb00a89c,2008-08-29,2008-08,9191.0,2.1888544891640866,4199,36793,283
pytest,a80bfae0a16204207f14faacfa637afae3c5bc32,2008-09-23,2008-09,9306.0,2.172268907563025,4284,37606,290
pytest,03f51e5edb907536c20d8905d932be6e81526eb5,2008-10-28,2008-10,9310.0,2.1726954492415405,4285,37625,290
pytest,6ec13a2b9c7c6c65f77220ff301ee29c8cff62cb,2008-11-25,2008-11,9326.0,2.1703514079590414,4297,37744,290
pytest,6863f54951031ff14c96e2ccbeb7a405c16d110f,2008-12-02,2008-12,9327.0,2.1705841284617176,4297,37745,290
pytest,1dc8555ca028d7b155299f411ea3a16bb40d67ab,2009-01-24,2009-01,9330.0,2.170777105630526,4298,37758,290
pytest,3561d2e9ff8bff069ea6a4c6f6694b7dacbff8c9,2009-02-27,2009-02,9688.0,2.150022192632046,4506,39063,301
pytest,4223f18fcb4dde9219a84d18f1621b5af2439634,2009-03-31,2009-03,7518.0,2.0614203454894433,3647,28897,246
pytest,170e48d946aabd386611e265478496d55394dfce,2009-04-28,2009-04,7342.0,2.042280945757997,3595,28599,249
