project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
ruff,64df4eb311d00903740f1d680d1e1c605182174c,2022-08-31,2022-08,433.0,3.464,125,2195,20
ruff,417764d309bb444cafc088f12b84ff3a95424e41,2022-09-30,2022-09,1143.0,3.735294117647059,306,5808,48
ruff,df6a48fced35af1861e3b2775b765cce4744b5ec,2022-10-31,2022-10,2732.0,3.965166908563135,689,13031,134
ruff,f6b0a606d688dd075971f039f0f818e84bd9b2f2,2022-11-30,2022-11,4366.0,3.3125948406676784,1318,23184,253
ruff,8fd0d8e9d8d26dc462c24e87727ff3a7abb7c1a0,2022-12-31,2022-12,6758.0,3.15205223880597,2144,39538,396
ruff,9eda286dcd1f64a9f1da13ddd45cf51742776eb4,2023-01-30,2023-01,10988.0,2.6426166426166424,4158,56708,743
ruff,a032b66c2ec9f28df003e5b175e31fde27104955,2023-02-28,2023-02,14350.0,2.6559318896909123,5403,72238,902
ruff,2f90157ce2582cf9e547f2c4c83c0cad84e40c29,2023-03-31,2023-03,15184.0,2.58495062989445,5874,77647,963
ruff,814731364afa995ae4a65da5e0dd85791a64b4c2,2023-04-30,2023-04,15698.0,2.569651334097234,6109,79919,981
ruff,46c3b3af9480b773e0b59c50ed01fc2881f005c6,2023-05-31,2023-05,16447.0,2.359684361549498,6970,84745,1079
ruff,f0ec9ecd67e1423acd9319107bb866c43667b3c5,2023-06-30,2023-06,19207.0,2.2509082386030705,8533,98929,1283
ruff,764d35667f630d91cf2a1115604e57f105317776,2023-07-31,2023-07,25066.0,2.021451612903226,12400,178123,1421
ruff,376d3caf474d048773fae90f2380065c00eeb645,2023-08-31,2023-08,26440.0,2.0231081184482362,13069,182675,1484
ruff,488ec54d21dd194d91fbef1bd52da77429924f61,2023-09-30,2023-09,27694.0,2.02205023364486,13696,196024,1531
ruff,1642f4dbd9d4ff04e50d08b88eebbbef6e4cc077,2023-10-31,2023-10,28540.0,2.0185303062451374,14139,202404,1583
ruff,69dfe0a207a2462a71df87dc87eb19fe8018a17a,2023-11-30,2023-11,30044.0,2.0271236758653264,14821,208900,1661
ruff,1f9353fed3b184cda73b87a2424d39ef86c68e8f,2023-12-31,2023-12,30912.0,2.0299448384554766,15228,212558,1688
ruff,85a7edcc708c3bd9b3f7cf6bc483afdb66217a97,2024-01-30,2024-01,32168.0,2.0378840671523597,15785,218843,1762
ruff,c9931a548ff07c031130571f3664343bea224026,2024-02-29,2024-02,32970.0,2.0358135226921887,16195,223366,1787
ruff,f6b6f0df675552316683525b75383b3c23efc453,2024-03-31,2024-03,34156.0,2.0425786389187897,16722,228499,1865
ruff,414990c02267f530d6119c698aafca0401455b24,2024-04-30,2024-04,32989.0,2.1864395546129374,15088,172926,1957
ruff,99834ee93d4c5476d928fd6864950dcd38e96f77,2024-05-31,2024-05,33471.0,2.196115740436979,15241,176164,1978
ruff,85ede4a88c45245d71e841a79354b1c5df15e706,2024-06-30,2024-06,34774.0,2.1600099385054974,16099,184256,2030
ruff,a3e67abf4ce7b519152c03ff441424c18e4c18ee,2024-07-31,2024-07,35475.0,2.137176938369781,16599,188792,2162
ruff,3ceedf76b8df1cfe749d0bb4c4f0aad6ee97ef6a,2024-08-30,2024-08,36745.0,2.133855981416957,17220,196643,2211
ruff,3af3f74c661f27b5f9670e610711fe7ae41c4a17,2024-09-30,2024-09,9716.0,2.1538461538461537,4511,57492,508
ruff,b8acadd6a2549e203518bc446862ab92a2be5a26,2024-10-31,2024-10,38628.0,2.131905734312048,18119,207317,2256
ruff,9e017634cba215ac1ad0c6cb395f40cfbf7e3d9d,2024-11-30,2024-11,39951.0,2.1419150761312458,18652,215065,2289
ruff,84179aaa96aa9cd6774fc632f66acdf2a12f9fe3,2024-12-20,2024-12,41745.0,2.149256036657571,19423,227790,2358
ruff,b58f2c399e87c11def59bd55f75f7ef8148c84f0,2025-01-31,2025-01,41688.0,2.1735140771637123,19180,227973,2385
ruff,4431978262ba27c991bc4a1b92884f9873b8e542,2025-02-28,2025-02,43972.0,2.16952832050523,20268,239914,2422
ruff,4e169e5f6cb4949704b78e5f0c6ac163a5efa2a7,2025-03-21,2025-03,45218.0,2.1702903767698585,20835,253163,2453
ruff,b7ce694162bcd82592926afbbbf918ed61c49bad,2025-04-30,2025-04,46865.0,2.185357892282583,21445,264378,2495
ruff,aa1fad61e0f9fe0c7faac876f2ef55cd3817fc6c,2025-05-30,2025-05,48129.0,2.1892740174672487,21984,274487,2525
ruff,c9df4ddf6a5f6ea610f97b06ba29aae55d69e171,2025-06-25,2025-06,50469.0,2.1754817017974912,23199,292437,2572
ruff,b3a26a50ad2cfdac1a91f28ed105343d65681a63,2025-07-31,2025-07,52100.0,2.184669573968467,23848,305210,2608
ruff,0a0eaf5a9bc3f3ee69e2fa6614a09b8abba0b7f4,2025-08-29,2025-08,53931.0,2.1946366077968587,24574,322057,2627
ruff,3771f1567c778776777679674b8cffdc90aa51aa,2025-09-25,2025-09,55028.0,2.200415866922585,25008,329025,2645
ruff,62f20b1e86494331551fa7ae8d6eb584658e11a7,2025-10-29,2025-10,58154.0,2.2167416329953498,26234,361776,2699
ruff,2a38395bc856dc741e4a991ea241d15c741ece4f,2025-11-25,2025-11,58269.0,2.2150459971109253,26306,362873,2699
ruff,d4c1b0ccc7173fa7e6dce2836ac9530d5bb2f0fb,2025-12-11,2025-12,60316.0,2.2282315563929216,27069,377630,2735
ruff,c056ee60ef1179839984b8a5f1216179f72da834,2026-01-13,2026-01,62524.0,2.255311474227176,27723,396479,2758
ruff,329b713230a991b88abc487a09e9433aad629a59,2026-02-28,2026-02,63486.0,2.2598512084860998,28093,403355,2777
ruff,39c3636bc9c37db2652a0123848949a459e02988,2026-03-31,2026-03,65281.0,2.276502999023574,28676,414378,2842
ruff,9e2dd4ab4dcb90199177f20ea2e03239235f2e93,2026-04-30,2026-04,67795.0,2.2882071013905767,29628,429890,2874
ruff,dba3619fb385289cd43705609708efc0230ea6a6,2026-05-30,2026-05,69478.0,2.295579197779687,30266,443655,2899
ruff,83c3473c28e9f8f5fea3b5e48d5b58583ce00845,2026-06-26,2026-06,73586.0,2.322423859870601,31685,472940,2940
ruff,adb763deb889b3fbcf638218996c21f7bba52618,2026-07-31,2026-07,77465.0,2.3438020029651145,33051,508068,3007
ruff,6ffd51204910a279f07922b7f0f790d3b5bc85b5,2026-08-03,2026-08,77611.0,2.3432565441864677,33121,515295,3007
