project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
shuup,7f4e119bf5bfe81d41c021e221607c5b500f97af,2015-06-12,2015-06,4718.0,2.17219152854512,2172,16234,384
shuup,70138417bd973e598c3b9126cef20f62fadab937,2015-07-31,2015-07,4736.0,2.1784728610855564,2174,16289,384
shuup,9e97d5c4e755c050bceb736442db414cafc52105,2015-08-12,2015-08,6412.0,2.139472806139473,2997,22785,515
shuup,4a34dc506b34adcf08995a0d2aa08f94ff69a473,2015-09-30,2015-09,6130.0,2.168376370711001,2827,21453,491
shuup,fe2d84eb6e7f54cb7a1f1f96911886482303ff35,2015-10-21,2015-10,6654.0,2.123842962017236,3133,23873,541
shuup,e28b15e8fddd66fe9d5270f42fa27c354a96d127,2015-11-11,2015-11,7328.0,2.1063524001149756,3479,26745,588
shuup,e3b8c8f8599c65aab25927ebdaa6358f278c172d,2015-12-07,2015-12,6888.0,2.118732697631498,3251,24938,558
shuup,ff51e96d89a8350dff4dbb4c0744b50ae7834d34,2016-01-28,2016-01,7300.0,2.1122685185185186,3456,26582,583
shuup,cdd082970c4438eefff2f857ed091b7aa570f218,2016-02-17,2016-02,7399.0,2.110984308131241,3505,27145,593
shuup,de2a518965c2cc936da667196b46bbb25209e342,2016-03-31,2016-03,7656.0,2.0923749658376605,3659,28416,614
shuup,796a3be01954cc1cdbb1da9af1008a1ef94f401f,2016-04-29,2016-04,8104.0,2.0962234868080705,3866,30235,648
shuup,f17881828a4655fe1dca4808263329dce76f3237,2016-05-31,2016-05,8541.0,2.1078479763079963,4052,32448,669
shuup,088b04fca369daac452b68b1ff4d9c86a1bb2c90,2016-06-30,2016-06,8928.0,2.0835472578763126,4285,34462,687
shuup,2779fa5370a5c5438307fb46ee18be76a0b6a3a2,2016-07-29,2016-07,9294.0,2.096075778078484,4434,36534,710
shuup,f7d70404b194cac60fa50ed239dd4b84052ac6d1,2016-08-30,2016-08,9923.0,2.0947857293645766,4737,39434,765
shuup,a123f9ac91568ca05f1e67a4f13f3cb2b4ba0f69,2016-09-26,2016-09,10740.0,2.1108490566037736,5088,42822,819
shuup,bfe1c46fc4ce076950ef0591f6a74caac15cd747,2016-10-31,2016-10,11360.0,2.1233644859813086,5350,46233,860
shuup,ccfa7b2796265977dc87c4d075d7f77de944d565,2016-11-21,2016-11,11734.0,2.1330667151427014,5501,48346,879
shuup,91b7028ab972d428328aee07580c4ea4f6fd8d69,2016-12-30,2016-12,12922.0,2.163401975556672,5973,54029,949
shuup,c9fa1c065af114e45fc8d9b11b0950d92ddfbb7c,2017-01-31,2017-01,13695.0,2.1641908975979773,6328,58201,984
shuup,55a115e54d4f05142f6278daf19318fe302fead8,2017-02-22,2017-02,13756.0,2.1649354737173434,6354,58540,986
shuup,5da7938a12d76478307c91534f31c7603c0a636e,2017-03-30,2017-03,13921.0,2.166692607003891,6425,59566,990
shuup,5330171a237ad5e2b9ec32cbb0898c84a31a8f30,2017-04-19,2017-04,13578.0,2.165204911497369,6271,57471,980
shuup,f58aeaa248a66ec49f313c2ffe5bc2c0d13dee75,2017-05-25,2017-05,13593.0,2.164145836650215,6281,57594,980
shuup,91982b23810292e3dd127ac3da42c7b18c4bdae2,2017-06-23,2017-06,13621.0,2.1672235481304694,6285,57799,980
shuup,d8b2c3f68fbba6d8ec6f21c5d83311ac94bfc591,2017-07-19,2017-07,14095.0,2.165130568356375,6510,60755,995
shuup,72e07dbc6168dfd74e2926f4caad1bb3cf6f8935,2017-08-09,2017-08,13650.0,2.168043202033037,6296,57895,981
shuup,87a80ed9765340873fafc3fc3c75cfab32def850,2017-09-29,2017-09,14246.0,2.169001218026797,6568,61533,1002
shuup,272972a070b7faa1b1ac57f3c2d75dd410040a7a,2017-10-04,2017-10,14611.0,2.1745795505283523,6719,63684,1015
shuup,156f6815613a0f90c33407fe4469c7096aef106b,2017-11-30,2017-11,14446.0,2.1756024096385542,6640,62649,1010
shuup,5ae199f7794735a947fa0d8e32c000089fec510f,2017-12-27,2017-12,14614.0,2.174702380952381,6720,63709,1016
shuup,5a9a069a9c58f05d1882e2755b0f01467415e925,2018-01-17,2018-01,13664.0,2.168888888888889,6300,58012,982
shuup,8acf433feb98d67619078d97763f8f35938a5e72,2018-02-26,2018-02,15398.0,2.17179125528914,7090,68073,1086
shuup,825c7b8ff9c289c6d015391dded744d31e9199c1,2018-03-10,2018-03,15398.0,2.17179125528914,7090,68073,1086
shuup,e4abd520ad2217d0c127a600e33de4c22fd38901,2018-04-27,2018-04,14828.0,2.1751503593956287,6817,64949,1033
shuup,8856bb9e086ea94e5730d182d2d4be01cd4a8a33,2018-05-22,2018-05,15393.0,2.172005079723437,7087,68053,1085
shuup,3237bf756f51a9173a4d06825c5561cb482dd958,2018-06-29,2018-06,15508.0,2.173815531258761,7134,68824,1096
shuup,33249c4f1e2586fab0a32de8e7b672e6ad131ca4,2018-07-25,2018-07,16414.0,2.1757688229056202,7544,74566,1166
shuup,934715b87b5ed09e956a80f3e660f8db9b55ce39,2018-08-23,2018-08,16462.0,2.1754988767014667,7567,74767,1167
