project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
snipe-it,ecf9734105860621b40db1ed59131851bdf6360b,2016-03-30,2016-03,31127.0,3.318089755889564,9381,119339,535
snipe-it,d40289fbc912415ce35bb74911c1522274a52a5d,2016-04-28,2016-04,31178.0,3.319280315128287,9393,119582,538
snipe-it,5d206f2c20bc3f37b7e25baa2818bcb18daf384b,2016-05-31,2016-05,39620.0,3.127318651827295,12669,143536,641
snipe-it,d4628b5c0feae3e3fc16f6d76c2d0a3199f1ca0a,2016-06-29,2016-06,39734.0,3.134090550560025,12678,143969,643
snipe-it,d65a9091c878c7965b452655b065dc176b9703e6,2016-07-30,2016-07,40057.0,3.1436980065923716,12742,145135,652
snipe-it,b450ef353458de089540918c7c395954afa847f7,2016-08-30,2016-08,40853.0,3.1752681486087364,12866,146129,661
snipe-it,87f50dfd10abc0a4221893614b504b479b4e722d,2016-09-29,2016-09,40964.0,3.17501162610448,12902,146531,674
snipe-it,4747a4c03fd7028f99fcedaf2bdbf6920070ac25,2016-10-31,2016-10,41232.0,3.1699853924809718,13007,147029,684
snipe-it,7513c99dd0b7479018aebf0e01593ca649d4b392,2016-11-30,2016-11,41286.0,3.167318757192175,13035,147343,696
snipe-it,6351746c62a642d4a7f28c523d47100e2b76ec03,2016-12-30,2016-12,41168.0,3.102569899766373,13269,147007,745
snipe-it,7642d17fb895a715a8896e30a4a60c1a238c790e,2017-01-26,2017-01,86539.0,3.0769422222222222,28125,314262,1681
snipe-it,c6c3ddba3e6688561bf38c3facedf336da44c9eb,2017-02-23,2017-02,86637.0,3.0567335850121724,28343,307008,1687
snipe-it,961c019554dee71388b52f60d3fc6a45e0177aa4,2017-03-31,2017-03,83764.0,3.037238478552522,27579,292654,1672
snipe-it,f6be7caaebf5256e396e9ea109f5cfc9d7a496a9,2017-04-27,2017-04,83766.0,3.0370907508792286,27581,292658,1672
snipe-it,54279f22a3fd1060424c281420ddedd496efcab1,2017-05-22,2017-05,83421.0,3.043562333540078,27409,282515,1680
snipe-it,0242283a11dc0bc4234f4d28f513d5b7191458b1,2017-06-23,2017-06,83441.0,3.0376424332884344,27469,282737,1692
snipe-it,03f9d01aab5ec8eb7a32703677eab1be131f09d8,2017-07-29,2017-07,84055.0,3.0601063055191497,27468,273578,1699
snipe-it,10f322198f1147d091c214e0408c1df3cca3ac4d,2017-08-31,2017-08,84253.0,3.058296126901158,27549,274453,1714
snipe-it,0bb186ad3bb1f0199f15635b2bad7eeb665287e7,2017-09-29,2017-09,84306.0,3.05799992745475,27569,274627,1718
snipe-it,feb2f5b076bb797412998f815f06097d86516110,2017-10-31,2017-10,82528.0,3.0262183271607204,27271,275223,1740
snipe-it,5979a18852cfbe267dbe2e8b75f4f1185f43d5e2,2017-11-30,2017-11,82679.0,3.0295335458576087,27291,275802,1747
snipe-it,b721bfcc84e6a7165fe4da40b146da84b4435999,2017-12-28,2017-12,40119.0,3.0051685393258425,13350,133177,852
snipe-it,f06852f48dea3017c86b715799ddc091e22165c6,2018-01-25,2018-01,42035.0,3.1157808909643467,13491,118320,860
