project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
streamlit,29d0aa6545181f3ad10faea5033576dddb69d443,2018-01-31,2018-01,335.0,1.6584158415841583,202,1332,21
streamlit,b246f26f5bb081970697a9f030a3982caf9efc97,2018-02-14,2018-02,411.0,1.7869565217391303,230,1580,29
streamlit,5fee2b2b67e195fe0f0d0addc14d1b637041f665,2018-03-30,2018-03,465.0,1.802325581395349,258,1785,31
streamlit,8d6e295859edc8c93a2c5dded536588cf01b55e6,2018-04-28,2018-04,610.0,1.7784256559766765,343,2372,37
streamlit,e379c355f5f3eebe03df5a09f90c69ed164a61e7,2018-05-31,2018-05,742.0,1.8784810126582279,395,2911,49
streamlit,9a97e4cbf17ba737d172a44050ad02fa353fd321,2018-06-26,2018-06,854.0,1.9147982062780269,446,3498,53
streamlit,ee885ff7b49a8ec09921a2a3a22d6ffaf3e739e4,2018-07-23,2018-07,992.0,2.0080971659919027,494,3987,58
streamlit,08ac5b584a84c247a2efd4b76349710ab7a924c7,2018-08-27,2018-08,1008.0,2.0240963855421685,498,4092,58
streamlit,5a16ae7ed638424d3a825005afa51b289dc8e782,2018-09-30,2018-09,1054.0,2.0076190476190474,525,4391,64
streamlit,035645de0fd88db0e6c554335f79d1393a6499b4,2018-10-31,2018-10,1177.0,2.0721830985915495,568,4812,69
streamlit,18243d133ef9398739633bd4c8bc62020d2a8bd9,2018-11-30,2018-11,1598.0,2.171195652173913,736,5464,78
streamlit,5ac197621dd09faa6c7c307541c0bcc3b7abbea2,2018-12-20,2018-12,1762.0,2.1152460984393757,833,6542,86
streamlit,29620426b49c0443afa8dd6c210b16d24c86adac,2019-01-28,2019-01,1868.0,2.1036036036036037,888,7095,92
streamlit,091aec482dd302c994489c3bf99e2ecf019bdead,2019-02-27,2019-02,1669.0,2.0108433734939757,830,7210,99
streamlit,c9045d5b6526f9a038adea538d0c972af37abee0,2019-03-30,2019-03,1845.0,1.966950959488273,938,7710,103
streamlit,b3dd6b2e98ee0daf4f1b3162b03e8ef5984ad429,2019-04-30,2019-04,2094.0,1.9228650137741048,1089,9272,120
streamlit,02c956b4d43572752327e3cd07cf023534da69cf,2019-05-29,2019-05,2335.0,1.973795435333897,1183,10388,129
streamlit,fec6d405d3a78ef3f85e7998049fff60cea36be7,2019-06-28,2019-06,2733.0,1.7839425587467364,1532,12495,189
streamlit,17f2a52c86b37302ceccf249e4a627313e073cbe,2019-07-27,2019-07,3170.0,1.754288876591035,1807,14443,231
streamlit,7a9135d6b84bea900a479e277fa0142127f2479a,2019-08-30,2019-08,3386.0,1.8204301075268816,1860,14750,236
streamlit,82a4bdb06a8d23af0c805100381346334bf762a1,2019-09-30,2019-09,3693.0,1.7737752161383284,2082,16901,255
streamlit,9caa41438bcb2e651c718d7e4c58d45616ba6a0c,2019-10-30,2019-10,4038.0,1.7772887323943662,2272,18893,276
streamlit,a25bb0a62cc62005c82399a492fd07eac5d9a420,2019-11-29,2019-11,30013.0,5.214211257817929,5756,23282,297
streamlit,929942f755ca40f859a03d905ffcbf743f45dffa,2019-12-31,2019-12,30201.0,5.148482782134334,5866,24245,309
streamlit,afb51bdef42df3b9f4f1dfc23dc749974a5e4fc6,2020-01-31,2020-01,26411.0,4.210266220309262,6273,303353,325
streamlit,b448991ee0f114497cae9bd36d72dc47df44d6d2,2020-02-28,2020-02,26648.0,4.1136153133683235,6478,304860,346
streamlit,f7470571edc904fd8919ab42ac683601fe729b9e,2020-03-31,2020-03,26883.0,4.02440119760479,6680,306446,364
streamlit,927efdfdeafdb08b4b562b3e2adcea2ec776e05c,2020-04-30,2020-04,26951.0,4.00639215103315,6727,306937,369
streamlit,37921fd643c6aebf938e3ed0e3f880e9f299a131,2020-05-29,2020-05,27047.0,3.9933559722427283,6773,307616,374
streamlit,9026d0fa05ae78df67ea336dd11b5185fcd2c2c4,2020-06-30,2020-06,27126.0,3.97741935483871,6820,307997,376
streamlit,a530d75b69cf8881a5c11670299af946740a44cc,2020-07-31,2020-07,27544.0,3.8981035946787435,7066,310095,405
streamlit,4a9072dd15c446db3c69f23344234aeddb692380,2020-08-31,2020-08,28801.0,3.505903834449178,8215,313476,504
streamlit,173aa1cd5835174620e8246eb5d7116be2cb6ffc,2020-09-30,2020-09,28939.0,3.4740696278511405,8330,314619,515
streamlit,5ce9eeee09abb1ce34da8ffe2075881139ea7b7d,2020-10-31,2020-10,29287.0,3.4362313739293677,8523,316837,548
streamlit,2f34911e3baf1e1b5526e92896410a4a6c83b38d,2020-11-30,2020-11,29479.0,3.3981556195965417,8675,318125,581
streamlit,3c96ea7e9b849b5ddc27a5c086eae4368361feba,2020-12-31,2020-12,29590.0,3.3809414990859232,8752,318803,582
streamlit,968e7f5f720080c22e76912aff0861cf917bfeb4,2021-01-27,2021-01,29664.0,3.3720586563601227,8797,319161,585
streamlit,fda0ebdaba088f9b2fd7d146f60aadfae58c8c2c,2021-02-26,2021-02,29754.0,3.3540750760906324,8871,319737,596
