project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
tox,741362fb523f48d0fd826006bc6251a85c3ec5f4,2020-03-29,2020-03,864.0,2.3736263736263736,364,2535,58
tox,38cb66b9c58db8eb5c567305086dca9b7b384fd6,2020-04-17,2020-04,873.0,2.3658536585365852,369,2578,61
tox,df44c1c8bee69090064e567142e438ccb73a3d23,2020-07-27,2020-07,884.0,2.3763440860215055,372,2594,61
tox,da22bd064a72f99f0c40603767953728de5bcbac,2020-10-31,2020-10,1062.0,2.498823529411765,425,3267,66
tox,701832d4fb2949754695cf81592f1ef5b4cf4c7b,2020-11-30,2020-11,1165.0,2.4526315789473685,475,3577,66
tox,840aa2995a9319d3cc32073afe0f2b23f71dd0b9,2020-12-31,2020-12,1365.0,2.3863636363636362,572,4232,68
tox,43ff8be20dddfdb895f5a01029261f361e0b34ba,2021-01-31,2021-01,1633.0,2.5515625,640,5086,68
tox,b88679a1862af28c65f5387eeadfe8497cf246f5,2021-02-27,2021-02,1700.0,2.556390977443609,665,5343,72
tox,4c988338e80c835ebd02ea9445da43781e2379c0,2021-03-27,2021-03,1702.0,2.5402985074626865,670,5367,73
tox,072ca8d9a66ccaa623a4b20ad6fdc2498d006e8c,2021-04-18,2021-04,1828.0,2.5424200278164117,719,5665,77
tox,72245f2a84beafa04f82c031137b484b2575a940,2021-05-07,2021-05,1828.0,2.5424200278164117,719,5665,77
tox,4f842fc3d77fff8bcd44d65f5f691ad59196240d,2021-07-31,2021-07,1832.0,2.5409153952843275,721,5688,77
tox,8cdcc0639d6002cb34817bad8f7050f3dc66d35b,2021-08-31,2021-08,1899.0,2.518567639257294,754,5920,79
tox,cc04fe987ff006f54b3d15ae0227d233816e7e4f,2021-09-26,2021-09,2038.0,2.5067650676506763,813,6273,84
tox,ad97564a1eafef6cd72aab91aaafbe918e59f49e,2021-10-14,2021-10,2038.0,2.5067650676506763,813,6274,84
tox,1ad255d5129a7c634dc7a7f8cbae8a6bd93774c7,2021-11-17,2021-11,1946.0,2.494871794871795,780,6046,81
tox,e62a717b8033a8f3ae556a7ea9183933f2d65a66,2021-12-20,2021-12,1946.0,2.494871794871795,780,6049,81
tox,c4c8261dc876c3b7232e745f0b2c0110437f891c,2022-01-26,2022-01,2006.0,2.539240506329114,790,6182,81
tox,417a8908ef6089e9b8e1ad33191c441d4f7856e6,2022-02-10,2022-02,2007.0,2.5405063291139243,790,6186,81
tox,6c519d603aacdce822ec34cbc333b121c1ff916b,2022-03-23,2022-03,2007.0,2.5405063291139243,790,6186,81
tox,8af8ed3a6cbdd68d77c1465d4623cb0801bd3671,2022-04-11,2022-04,2006.0,2.539240506329114,790,6185,81
tox,d7638fc91ef61bae5ea2c4b4b9a91b09fa10ba56,2022-05-13,2022-05,2015.0,2.5345911949685536,795,6211,81
tox,1dbb2ac39cf4c343458f94bb6945230a6df0e3cc,2022-06-29,2022-06,2015.0,2.5345911949685536,795,6211,81
tox,01004234a48a834a8f814b2639b5d78fbc4462a6,2022-07-25,2022-07,2015.0,2.5345911949685536,795,6211,81
tox,e0c3bab44b4259736b53ac8443cd5ff8f9ec9200,2022-08-21,2022-08,2015.0,2.5345911949685536,795,6211,81
tox,0ee8853249ee0fc3c8248e54637f52f69f27795d,2022-09-10,2022-09,2028.0,2.5413533834586466,798,6244,81
tox,f99073c9f113b0d6d34555bb8d11d99b294b127e,2022-10-31,2022-10,2028.0,2.5413533834586466,798,6244,81
tox,6fe6e4d89d2d2c6e915831039d637cb41961e826,2022-11-30,2022-11,2051.0,2.56375,800,6300,81
tox,26e293f9b58031ec8a3b87c929bd0cdc2d4b5c7f,2022-12-31,2022-12,2148.0,2.6291309669522644,817,6521,84
tox,b7fec1e236eeddefec9023f5d6ced94c5c2871cf,2023-01-31,2023-01,2227.0,2.6638755980861246,836,6757,84
tox,251dc1ab542537e603be7d4b9b0f06a3a417e409,2023-02-21,2023-02,2232.0,2.6698564593301435,836,6760,84
tox,8a7327c14b8b5fca98126dd06ba293446c644064,2023-03-31,2023-03,2232.0,2.6698564593301435,836,6760,84
