project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
viewflow,cdf7951a58e128a5014fde1e0a12dad15b38b855,2020-11-27,2020-11,18562.0,2.893530787217459,6415,61778,34
viewflow,b3fdf8de89d64db41fbb6170838f8fb608b76567,2020-12-21,2020-12,18609.0,2.893190298507463,6432,61903,35
viewflow,860832c0c38baf24589cd3c558a70182f421d9a4,2021-01-19,2021-01,18611.0,2.8930514534431837,6433,61909,35
viewflow,8948a78d906736e841188e5fdcf77da8956974b5,2021-02-20,2021-02,18681.0,2.8842056507642426,6477,62548,56
viewflow,92e36d0942eea0eeb8fcf8a5fab68ca02d094a76,2021-10-12,2021-10,18678.0,2.8846332046332046,6475,62519,56
viewflow,28986d2c9da77d0623ee172a6b2df9ad6c1b1a9d,2021-11-26,2021-11,18680.0,2.88449660284126,6476,62585,56
viewflow,af62e4c4cbc4f87cb431eda2d8dfe52229a7d060,2021-12-01,2021-12,18688.0,2.8835056318469374,6481,62661,56
viewflow,8a9ca593a0d7fab1c7398d5e8ff6435d32ceb6af,2022-04-11,2022-04,18994.0,2.8726557773744705,6612,63451,64
viewflow,aac8d8bcd5834528313d84ca205d329721780051,2022-10-17,2022-10,16361.0,1.869187707071861,8753,18604,110
viewflow,ecb02b4f828d523e25f8d81239373eae9d10d6de,2022-11-10,2022-11,16361.0,1.869187707071861,8753,18604,110
viewflow,c2aae6109e3faee2ad54c55670d5cdf817031636,2023-01-27,2023-01,12750.0,1.950435979807251,6537,16492,110
viewflow,540b93b113af65feb6b6bf5b8f87e7bf129a279b,2023-02-08,2023-02,12761.0,1.9518201284796575,6538,16506,110
viewflow,ae9c46a2da093371dbc036bae9ed17cc58404ca3,2023-03-23,2023-03,12856.0,1.9600548864156122,6559,16734,111
viewflow,8d581f7026823ba709fec51923ac2a62f2df4ff2,2023-04-28,2023-04,12870.0,1.9606946983546618,6564,16832,111
viewflow,ed0ea2c2874cec02d7c5a08aed5405ee80473d3f,2023-05-24,2023-05,12909.0,1.9612579762989972,6582,16930,114
viewflow,57a7fd6a8ea26b73b8f868fd95c3b0319c5459b2,2023-06-06,2023-06,12909.0,1.9612579762989972,6582,16930,114
viewflow,7e5c946933056d43f028e786aad6c8983625f837,2023-07-28,2023-07,12940.0,1.9620924943138742,6595,17053,114
viewflow,fca482f5ed64bbcf1495c574a280c7b53eb972bb,2023-08-25,2023-08,12944.0,1.9624014554275317,6596,17073,114
viewflow,11a7e3d39f5eacc3c78e0b4fef4bfa07c5f78b85,2023-09-29,2023-09,12960.0,1.9633388880472655,6601,17118,114
viewflow,d9f8cc46092b0fea0567f4f6807a8a66938c8309,2024-02-29,2024-02,25129.0,2.3900513600913067,10514,21224,133
viewflow,2befa43aa23b44395af8f91f27e86a2bd02a45e7,2024-03-13,2024-03,26324.0,2.4710410213085514,10653,21370,136
viewflow,96a4e86344b84f741ae91c448f14cb324c23c3aa,2024-04-30,2024-04,26324.0,2.4710410213085514,10653,21429,136
viewflow,8fb6788b4cff1b97c39e2f1349569acc7c9b8ab5,2024-05-12,2024-05,26325.0,2.471134891579837,10653,21432,136
viewflow,e8680aeb4945a4709e4b0d555447664aa5591472,2024-06-28,2024-06,26335.0,2.4720735942926875,10653,21505,136
viewflow,bcb72e81c17e191acc19a07ae78b2382887defd3,2024-07-18,2024-07,26342.0,2.4743565658463273,10646,21554,135
viewflow,66df5bed9ef539180ceeca6eed63b021d689b2ea,2024-08-23,2024-08,26349.0,2.474549211119459,10648,21606,135
viewflow,0cb53aa8e1f2922eab4f57fa3399583298e7390c,2024-09-20,2024-09,26350.0,2.4746431254695715,10648,21608,135
viewflow,35bc88d2e645370881f3028e1506fe7bd2e0aaa2,2024-10-09,2024-10,26351.0,2.4747370398196846,10648,21618,135
viewflow,afd5f6f3ccdbdae0ab594bdf0a025c574623a5ec,2025-01-17,2025-01,26351.0,2.4747370398196846,10648,21618,135
viewflow,89536a5b304d99a2b4266dbd0f69180b1c3f3c8c,2025-02-25,2025-02,26353.0,2.4744600938967136,10650,21622,135
viewflow,72c6fbd1e262f17f34006ed3c13a3d87693348ee,2025-03-27,2025-03,26400.0,2.4756189047261814,10664,21662,135
viewflow,495f05a59419a4719611e1d6b4f18f1954ecc84b,2025-05-22,2025-05,26402.0,2.475574308485701,10665,21668,135
viewflow,5ff7a53b23f765b5cdf167aebea8ad377d61745a,2025-06-05,2025-06,26402.0,2.475574308485701,10665,21668,135
viewflow,f39d24d8ec35a3c6405fc536ff3f8c11b814e860,2025-07-25,2025-07,26402.0,2.475574308485701,10665,21668,135
viewflow,243a4393e16e2c89539a2e3aab987f5911d45811,2025-09-24,2025-09,26403.0,2.475435964747797,10666,21673,135
viewflow,b8971c520b32e4727931525f6077ef206807cabf,2025-11-24,2025-11,26404.0,2.475529720607538,10666,21683,135
viewflow,4f75022ea7c15afce119eb63c394e0128c462f08,2025-12-23,2025-12,26404.0,2.475529720607538,10666,21683,135
viewflow,1662f93c80056fbebc90118ae0d0317c93818ce9,2026-01-28,2026-01,26410.0,2.4760922557659852,10666,21691,135
viewflow,be5d24dee95a60b7c1b812e96a944c7a64934c50,2026-05-16,2026-05,26410.0,2.4760922557659852,10666,21691,135
viewflow,83de69333b43a48845c4550c17df250f474282e7,2026-06-30,2026-06,26366.0,2.4810388632727958,10627,21703,135
viewflow,5ae2321df859832bbc1dd376b4fff26b8273da45,2026-07-30,2026-07,26967.0,2.4817780231916067,10866,23478,147
