SHA,Author,Author_Date,complexity_raw,accumulative_raw
2c124b4a96b8b52d652cf786cdefb3aa4bef2e3a,Marc Heiduk,18/9/2023,1231.65,1231.65
c1b5012a2dcc36c4b44f8cdda1f443d70f63d2c8,Niels Drost,17/9/2023,1231.65,2463.3
662414b6f6c5f9b8891b7801ee6d27e4bd7f22d7,Niels Drost,12/8/2023,1227.05,3690.35
5bc1135923b86319fc2320fdb9d4f4b569d8d5a6,Niels Drost,11/8/2023,1223.6,4913.95
d2c3d221e41f809f8cdedb508512effff9d9e193,Niels Drost,9/8/2023,1223.6,6137.55
60dbaeb3929b37e4ff427feeeaeca2acd2720f7f,Niels Drost,5/8/2023,1231.65,7369.2
7123c1ffb5cd97bee224821bde10d26b8b4e4788,Niels Drost,23/7/2023,1223.6,8592.8
1ec1fccd5c99074824ad3e24c4d08859db285681,clockwiseq,10/7/2023,1223.6,9816.4
682324bc0749a316b36bdf07d498fbbc8c16bf05,Niels Drost,9/7/2023,1223.6,11040
45868e210c697783bd9c43729125a138bcd0dbc8,Niels Drost,8/7/2023,1222.45,12262.45
0310314957ef42295e337a867a87c6ef38fc9797,Kelvin de Reus,20/5/2023,1222.45,13484.9
ebf2929bffc268c66ee7e45806686ce5fc0620e8,naui95,12/3/2023,1222.45,14707.35
f1b1c5af4c7585ea8c9dc3b9acb5b0a0938dc073,VeRony,19/2/2023,1222.45,15929.8
bce1b2846f51b3c96438730a260fe6effff3bd59,Niels Drost,12/2/2023,1222.45,17152.25
67ede927c5cc4667317d8b2a54a474ca3f0ad0b2,VeRony,11/2/2023,1222.45,18374.7
9d28d1bd699117f1e0e01f763cd1c5d95666296b,dependabot[bot],4/2/2023,1216.7,19591.4
81468ef81ad69d05615e52add8dc6ef873c555ec,naui95,21/1/2023,1216.7,20808.1
212cfe1b11c5d641c96a9ff32a72b8d2c3e3bf03,vespino,17/1/2023,1216.7,22024.8
e5a5f707c8416d8c26cc679ab22a619b134d8d33,Mato Tominac,3/1/2023,1216.7,23241.5
1deead9c45090af2f1ae93b8ee8d010aa1d03b28,Marc Heiduk,21/12/2022,1216.7,24458.2
e17eafe6b1159dee8bcb799329e895921775a800,naui95,10/12/2022,1216.7,25674.9
6770909e17f8da3e35ac479a6aa882aa5e7b15ae,vespino,8/12/2022,1216.7,26891.6
599c655882fa3c439dba83ee3ec23d6bb3349fec,naui95,7/12/2022,1216.7,28108.3
6a75743edd872246d0e9b236a10a6d68f1fd5a44,naui95,3/12/2022,1213.25,29321.55
ced6c519fd4ae8ed5c727690089d164bd737503e,Niels Drost,1/12/2022,1213.25,30534.8
40367b8bd055e719a7d10e759d164bd46488f423,Niels Drost,30/11/2022,1213.25,31748.05
56a87244cf8bc68e4f14d8dd8f3af3fa9625f191,naui95,20/11/2022,1213.25,32961.3
5b27458d4b5aea7c4e0d8ecabf882882bbd1ed17,Niels Drost,12/11/2022,1213.25,34174.55
a8dfc73fb745ea2b9fdf615609694703d55b8763,Niels Drost,30/10/2022,1213.25,35387.8
f07ad5f3230b308bc85145b466e49e32458c869c,naui95,29/10/2022,1213.25,36601.05
10d2888a273284c1a5c801150af835602a2678f1,Niels Drost,16/10/2022,1214.4,37815.45
2614ac117ba01c6a917ddef6cfc8503ffd723822,Ordissimo,15/10/2022,1206.35,39021.8
cc57930404467841fdac80c76f525a48d5f11df5,naui95,1/10/2022,1202.9,40224.7
7402b3761614d2cdd09836022b195e247922d509,vtq,8/8/2022,1212.1,41436.8
821f872ecc2d18b292b47eade7c9f9c0b9e50eb8,vtq,2/8/2022,1210.95,42647.75
c2fccecb2de0bce7d4885bfd6f16fed72311f4c0,vtq,26/7/2022,1207.5,43855.25
07145ae34d2aa3f92fb2b030613749abe0f89215,vtq,25/7/2022,1202.9,45058.15
2f6695dfd3f60424aebfbfbe991e3aa460c0245b,Niels Drost,17/7/2022,1202.9,46261.05
e1f51ca2d73e2832209c94f10f2b36c91fd71062,Niels Drost,10/7/2022,1187.95,47449
20b56df8e339ecb6184c5e295110233fd8897e9e,naui95,11/6/2022,1187.95,48636.95
d371524bf06fd53878edc2c297062d1df2abccf4,giacy86,25/4/2022,1187.95,49824.9
a7edf371c9e04cc5ed1c5ea87476c40205e681ec,Niels Drost,18/4/2022,1187.95,51012.85
4f74248717028b45040b4f9eaa43b23beeca4966,Marc Ole Bulling,17/4/2022,1187.95,52200.8
b12486540b4603b6c21010e6a813bad9581e0136,UnderDogg,8/4/2022,1187.95,53388.75
a42868cadc3450db30b2d5ec1d2b178ec6dbfe9a,Tri Nguyen,7/4/2022,1187.95,54576.7
4d837149a1c2b59e0e3896871883e078b6898b57,Tri Nguyen,10/3/2022,1187.95,55764.65
8967c9e69cd1f5b23098594ff70135204511cb93,Coenraad Loubser,22/1/2022,1187.95,56952.6
c9cd7d90f79a0cc370e65bfdaa96be0748eeb36e,Pim van Pelt,4/1/2022,1187.95,58140.55
0eb5ad59926ef921d10b1f507b0d7c411863bec8,Niels Drost,2/1/2022,1187.95,59328.5
a840222b3f14b3d836655f2cb7cf777e780cc973,Pim van Pelt,31/12/2021,1187.95,60516.45
b187b5fd64ae4b5825022eb961974d34f65d86ca,root,25/12/2021,1187.95,61704.4
6508e0d01bf894c9af621f1eb5287f6dcc81548e,Niels Drost,23/12/2021,1187.95,62892.35
5f2337fb598d326cfbedc52ba54fb4045594c311,naui95,10/10/2021,1187.95,64080.3
43c6ed724ddc38d4a561b6c80df1ed8bf9bf84b2,giacy86,2/10/2021,1187.95,65268.25
ebbf7e437a1d3b1bd357c22c90054a2a581ff4f7,clockwiseq,16/8/2021,1187.95,66456.2
5db67d65ccaaec661885bd029b1e516bf3ca6c2a,Your Name,14/8/2021,1187.95,67644.15
8de1b28a2296ac8aea2c759d6d1723ca6ef54184,Ziding Zhang,11/8/2021,1187.95,68832.1
4b718b547acf24d988f553fb6baf7f3e5931366d,Nathan Mattes,18/6/2021,1187.95,70020.05
d9de5c6dc166e16daa4185fb97524a5b06755931,Nathan Mattes,13/6/2021,1187.95,71208
b33ecbcf72622175f6e4b02381534cfabc28475a,UnderDog,23/1/2021,1187.95,72395.95
fc5e17dc91ebb459117c3fc9a72988f0526b8fc1,Markus Mann,15/1/2021,1216.7,73612.65
3bb27214078e1bbaccfd92abceb69621b7f6d641,Peer Uhlmann,25/7/2020,1187.95,74800.6
7f9a6aca73ae72d04f9ffb86b3782d8b33906ca1,Peer Uhlmann,15/6/2020,1187.95,75988.55
33644626a3c31de97df11d54b46ceb3d5319f22e,MartinH0,9/6/2020,1187.95,77176.5
85efad9544b8c7c76a9e02aae81a4f57cc833ec1,MartinH0,30/4/2020,1187.95,78364.45
da2ff1cb1f82341d61e08888602807f30995350f,MartinH0,17/4/2020,1187.95,79552.4
d47e7766ca374ffb3005591b5e63fe4abb96aa24,MartinH0,11/4/2020,1187.95,80740.35
7461ae02896f1c9169803e8151896a5fcd166f0a,MartinH0,28/1/2020,1187.95,81928.3
a4d30d4febb49e29b7e9023c3158f63e9f7acc0c,MartinH0,21/1/2020,1187.95,83116.25
9634fa8d81cbe585191050bc54cbf6648c636ac0,MartinH0,20/1/2020,1187.95,84304.2
db242113388cc1f18331ca135e1438a90da30af9,MartinH0,14/1/2020,1187.95,85492.15
2790f3df93e1faac267d8413ceb6b627bcf2b56c,MartinH0,12/1/2020,1187.95,86680.1
f91c924ff5ae561ff635ce5ccec7edd6ede42ca7,luca,6/1/2020,1187.95,87868.05
7739e3e7a1191790ecd9853b6a7a30869634ddfb,MartinH0,1/1/2020,1187.95,89056
475a435d65cf9c2d73156b42bc74123967314018,Niels Drost,31/12/2019,1187.95,90243.95
5fbfebc269cfbd9db99092caf70bafbbb83448fc,Niels Drost,30/12/2019,1187.95,91431.9
61e0bd412d9fbd089eae26bdb1c6d9d3788fd3b3,Severenth,8/2/2019,1186.8,92618.7
b03e151a5c9e34c0a376d86833c1f56d0c00f342,Kovah,20/10/2018,1186.8,93805.5
25cc633b35e7d53ba6cc8071e179c473e0aec8c1,Kovah,19/10/2018,1185.65,94991.15
a0bfd6f4f8c98e54d561fc39068020d232bbad04,miquel-cabanas,18/10/2018,1185.65,96176.8
097baee6b8c0a7e8f4f310d2d16d8fd9c5defd15,miquel-cabanas,13/10/2018,1185.65,97362.45
c3d68a41977aea904705051b1eeb3e6788b1d121,miquel-cabanas,12/10/2018,1186.8,98549.25
1f5861068873fe816584876093ab711d3b86e5be,Philipp Piwo,11/10/2018,1184.5,99733.75
9121731926ff924251a04105415bf109dfe144ef,miquel-cabanas,8/10/2018,1186.8,100920.55
40e65f04ae60a9d5a816e2f4ac343b2fc7239dfe,Kovah,7/10/2018,1185.65,102106.2
d437440e82c1c11bac3474ca77506e5cfc5c6938,miquel-cabanas,6/10/2018,1185.65,103291.85
c5142f1f5d3ade234e7428cccf093378dade610d,Kovah,5/10/2018,1185.65,104477.5
ade1eef93be8d31a86a5fba827ab4d5d371ea06c,miquel-cabanas,4/10/2018,1185.65,105663.15
9e6988a854e09e4bafaaea5caf77e752d79f3942,Kovah,3/10/2018,1184.5,106847.65
15239b439747ba56b4d15b54b51ca1ae37ee9d89,miquel-cabanas,30/9/2018,1184.5,108032.15
f644e220b5bebc62dfe1f2c05915f20f10e5e23c,Kovah,23/9/2018,1184.5,109216.65
13539b5a758bb43cb7cfebf5e2b9459e31d752ec,miquel-cabanas,22/9/2018,1184.5,110401.15
be9b4f417e78aa349a2f7b7f337d800f03104ff5,miquel-cabanas,17/9/2018,1184.5,111585.65
585677e7d3f7af5d1bef66bbe7afc500817e5ef7,miquel-cabanas,16/9/2018,1184.5,112770.15
79042e62e3c325ecffaca152c59b5662c4c1d4be,Kovah,30/8/2018,1184.5,113954.65
6c4a2b37c3c4c15e17cd49842b19a68acc2cbd04,miquel-cabanas,29/8/2018,1184.5,115139.15
93d17b39e94f1679abf95633339981db029d01f8,miquel-cabanas,28/8/2018,1184.5,116323.65
773409c66f83ffb6981a862308e6413abee6a361,miquel-cabanas,25/8/2018,1184.5,117508.15
c79acfd5f0f123b7036cca3161cc421a976c2f83,Kovah,22/8/2018,1184.5,118692.65
7f0528f49c934d4187a73b6010bd5725e741a96e,Kovah,21/8/2018,1184.5,119877.15
9f96de680fd38a3a8163497ce8ffc3844b7068c5,Kovah,19/8/2018,1184.5,121061.65
d6db688399333154cdf005c50a80b20a3a722d79,Kovah,17/8/2018,1184.5,122246.15
a4bd74186f2fdfa7383855554aed61f7a703f8be,Kovah,16/8/2018,1184.5,123430.65
4fa7876cecdcaa1f775774cf397f99a55e8e157b,miquel-cabanas,15/8/2018,1184.5,124615.15
9d13cca6a4c2168c78adcb7dcd39321e5c1f4949,miquel-cabanas,14/8/2018,1184.5,125799.65
a133322f6968f30af03fe9944be26a9a80a7c8ab,miquel-cabanas,12/8/2018,1184.5,126984.15
f2ba9765a18e934654ae407868ae5b7dd0eae0a5,Kovah,10/8/2018,1184.5,128168.65
ac1c6b70daf7d342a86935634b9270e4fab2bfc5,Kovah,6/8/2018,1184.5,129353.15
571e3ff4b90719f125ae57ad425c96aa4201084e,miquel-cabanas,5/8/2018,1184.5,130537.65
29a7b097af159cb4468f6b259397d79ae25759ed,miquel-cabanas,29/7/2018,1184.5,131722.15
dca4c28bbe541197e2691a0580f34023d474cfb8,Kovah,13/5/2018,1184.5,132906.65
5111c62667dd450f3a62b8c220c69db962648d3e,Kovah,24/4/2018,1184.5,134091.15
