SHA,Author,Author_Date,Lines of Code (LOC),Non-Comment Lines of Code (NCLOC),Lines of Classes,Average Complexity per Class,No. Classes,Total Complexity of Classes,complexity_raw,accumulative_raw
0e490dffb4d13fbd54fdfc55a6ecc1ecfa33e01d,dependabot[bot],15/9/2023,56063,41785,4565,12.31,168,2068.08,2068.08,2068.08
b21dcb53a9d26930fb6bf6ad76d68c593bc77db4,dependabot[bot],11/9/2023,56063,41785,4565,12.31,168,2068.08,2068.08,4136.16
fe73bb757c4411f0a6edb3e0f1ce4cbfaa719e70,dependabot[bot],5/9/2023,56063,41785,4565,12.31,168,2068.08,2068.08,6204.24
50eca4bfa72147d78468b76923fe184a6466ca80,yourls-bot[bot],7/8/2023,56063,41785,4565,12.31,168,2068.08,2068.08,8272.32
b04442473a3dc82d3e5848fde8035f5771ca03e3,yourls-bot[bot],1/8/2023,56063,41785,4565,12.31,168,2068.08,2068.08,10340.4
37ca19fc1f35bf8236d2f7aed948eccb3c0873b2,dependabot[bot],31/7/2023,56063,41785,4565,12.31,168,2068.08,2068.08,12408.48
0ad8553e53871d5a08176fa10301774076489c96,ozh,17/7/2023,56063,41785,4565,12.31,168,2068.08,2068.08,14476.56
65655a5c7ba031be611045bb04c9b3a99bbdf170,Jens Spanier,15/7/2023,56063,41785,4565,12.31,168,2068.08,2068.08,16544.64
9bd75f1d69c1ed704144129f61df97a44fb505bd,github-actions[bot],8/7/2023,56063,41785,4565,12.31,168,2068.08,2068.08,18612.72
e467ed0ed758108c6fc73fd3e88a955964a4e60b,dependabot[bot],13/6/2023,56063,41785,4565,12.31,168,2068.08,2068.08,20680.8
f1ae0efd7ad26ec578c283d37d20ad67129f1887,yourls-bot[bot],5/6/2023,56063,41785,4565,12.31,168,2068.08,2068.08,22748.88
4905a9b2c46ded669c958bcde5d38b41f5f473ae,dependabot[bot],26/5/2023,56063,41785,4565,12.31,168,2068.08,2068.08,24816.96
cdf92d9e9ed933915f274ab1289a3f2dafa7ca2f,ozh,15/5/2023,56063,41785,4565,12.31,168,2068.08,2068.08,26885.04
adf15f68171758c37e1d118e694ac6d85d005926,dependabot[bot],19/4/2023,56063,41785,4565,12.31,168,2068.08,2068.08,28953.12
39f37a25a83ac7dda926c712ba103035dc5aec1c,dependabot[bot],17/4/2023,56063,41785,4565,12.31,168,2068.08,2068.08,31021.2
251624bff98a998a2757c99b858d6cd5fc8dcebb,dependabot[bot],5/4/2023,56063,41785,4565,12.31,168,2068.08,2068.08,33089.28
8f49f2156d4660dcd4a98d044ac23fc42ac519e4,yourls-bot[bot],17/3/2023,56063,41785,4565,12.31,168,2068.08,2068.08,35157.36
02eda602ba2590519eb59020e0e7300cb08b1e72,yourls-bot[bot],8/3/2023,56063,41785,4565,12.31,168,2068.08,2068.08,37225.44
d957f50547571dde98e02c437cbac22907367509,firfin,5/3/2023,56063,41785,4565,12.31,168,2068.08,2068.08,39293.52
6bbcb8fbe6fb7e648e26fc4ab592197947a5cfa6,Ozh,26/2/2023,56063,41785,4565,12.31,168,2068.08,2068.08,41361.6
dbb6b303498536defbbb5c8b1b0549c6020d9772,yourls-bot[bot],25/2/2023,56059,41785,4565,12.31,168,2068.08,2068.08,43429.68
ca8d922ee37d4ab1ad77101d93594bcdf267763a,yourls-bot[bot],13/2/2023,56059,41785,4565,12.31,168,2068.08,2068.08,45497.76
8e57e1a30ad7d05d62d2fbc34c37fba1885c4689,jarebear6expepjozn6rakjq5iczi3irqwphcvbswgkahd6b6twnxxid,12/2/2023,56033,41772,4565,12.31,168,2068.08,2068.08,47565.84
f2971a1a35ce175fa1bc616614400452cc1a22a1,SXN31,11/2/2023,55984,41739,4559,12.28,168,2063.04,2063.04,49628.88
2efcb9e93a7c98693d0a2cff0b47930fc683e5e9,yourls-bot[bot],5/2/2023,55984,41739,4559,12.28,168,2063.04,2063.04,51691.92
949107cec4bef4ee4de740a5d0cfc1eae21a369a,dgw,4/2/2023,55984,41739,4559,12.28,168,2063.04,2063.04,53754.96
a2e26b12d22944ead20fcc85b3cfd568fe574883,dgw,3/2/2023,55984,41739,4559,12.28,168,2063.04,2063.04,55818
024f9c3e687037e19ce917780acf80a9c3024b9b,dependabot[bot],27/1/2023,55984,41739,4559,12.28,168,2063.04,2063.04,57881.04
59aa2b16943b77d56a4966b2b00aca0a87111c08,yourls-bot[bot],18/1/2023,55984,41739,4559,12.28,168,2063.04,2063.04,59944.08
e480b7e7c7894713f90a2f761b77a81229079c46,ozh,16/1/2023,55984,41739,4559,12.28,168,2063.04,2063.04,62007.12
4b3ca3f2bd36db3f63c9cb1d093545c2b69a6064,Léo Colombaro,6/1/2023,55984,41739,4559,12.28,168,2063.04,2063.04,64070.16
9f7806c525ef266bb74bdd501463799e45fe2be5,dependabot[bot],26/12/2022,55888,41699,4555,12.29,168,2064.72,2064.72,66134.88
bb4a462b8f6da9afa8c13c758a6f3200da9c9b3e,yourls-bot[bot],20/12/2022,55888,41699,4555,12.29,168,2064.72,2064.72,68199.6
cb3b35a6baa6c3517ba54e9410c9a22111cbeff2,yourls-bot[bot],15/12/2022,55888,41699,4555,12.29,168,2064.72,2064.72,70264.32
520dae65c1f1c561086e4893a8451b8ae250400c,Léo Colombaro,11/12/2022,55888,41699,4555,12.29,168,2064.72,2064.72,72329.04
5434b6aec3dda7a0f6069e0dd8219b0a0f90f30a,ozh,5/12/2022,55888,41699,4555,12.29,168,2064.72,2064.72,74393.76
5ee2c6372f4cf86f7ce21bd9a7d7a302a3d52996,yourls-bot[bot],28/11/2022,55888,41699,4555,12.29,168,2064.72,2064.72,76458.48
697c10251ed4e94bf5879997a437505babf463b5,dependabot[bot],31/10/2022,55888,41699,4555,12.29,168,2064.72,2064.72,78523.2
2bfe643cd44ca952ca6fa374db32c967f2c697fe,ozh,24/10/2022,55888,41699,4555,12.29,168,2064.72,2064.72,80587.92
5c85eb5b587a6025b6d6b3d92da0eeedcac674cb,ozh,17/10/2022,55888,41699,4555,12.29,168,2064.72,2064.72,82652.64
1de2b6c53f2b8321bd33213f5f5c19c404119190,JT Smith,4/10/2022,55888,41699,4555,12.29,168,2064.72,2064.72,84717.36
d86b53bc26d1486b4fafb847ef0828d1855ca231,yourls-bot[bot],3/10/2022,55882,41696,4555,12.29,168,2064.72,2064.72,86782.08
98a447c9011bd107f82c931aaac03be3f7b3ccec,yourls-bot[bot],27/9/2022,55882,41696,4555,12.29,168,2064.72,2064.72,88846.8
03addedad839dba4b83d4767f7aa301fba3e0595,yourls-bot[bot],16/9/2022,55882,41696,4555,12.29,168,2064.72,2064.72,90911.52
655c3a758414a35c61e698c7d9f98be1857adc55,yourls-bot[bot],24/8/2022,55882,41696,4555,12.29,168,2064.72,2064.72,92976.24
05d912560de5663478b47710f0bb00fe733199e8,dependabot[bot],19/8/2022,55882,41696,4555,12.29,168,2064.72,2064.72,95040.96
f197c02649b370789c1b9509dc168fe09f438a0a,yourls-bot[bot],16/8/2022,55882,41696,4555,12.29,168,2064.72,2064.72,97105.68
05d1db1f1bdb482c01ed6352a2062a8b33e88bea,github-actions[bot],1/8/2022,55882,41696,4555,12.29,168,2064.72,2064.72,99170.4
63041370ecee7c9a1a47ef8e7744fb19ebe800cc,dependabot[bot],28/7/2022,55882,41696,4555,12.29,168,2064.72,2064.72,101235.12
a98392af6bac45998ac730477cce2ff324155006,yourls-bot[bot],25/7/2022,55882,41696,4555,12.29,168,2064.72,2064.72,103299.84
b2e09b3fca3c9ba5d8c4d8c594c81529d824d848,dependabot[bot],20/7/2022,55882,41696,4555,12.29,168,2064.72,2064.72,105364.56
a412004150d456b718d477b85bbc076018cb7c6b,yourls-bot[bot],12/7/2022,55882,41696,4555,12.29,168,2064.72,2064.72,107429.28
16be4c392cb07e345521c5cbe9e0ff0ae2eb6cd4,dependabot[bot],8/7/2022,55882,41696,4555,12.29,168,2064.72,2064.72,109494
bdc1cb246397747355682a4bbe617458d9646b32,dependabot[bot],6/7/2022,55882,41696,4555,12.29,168,2064.72,2064.72,111558.72
5dbea36614262bbada5c6118c9f60d111d6a0e16,yourls-bot[bot],22/6/2022,55882,41696,4555,12.29,168,2064.72,2064.72,113623.44
0d9781f5019d39794709734344093480c97c4a14,྅༻ Ǭɀħ ༄༆ཉ,15/6/2022,55882,41696,4555,12.29,168,2064.72,2064.72,115688.16
3b69f2be52fdfa08c54eccdcb7b3cfc55560a851,yourls-bot[bot],8/6/2022,55882,41696,4555,12.29,168,2064.72,2064.72,117752.88
71ad81342a967599b42c2c00f2d290e05b23a440,dependabot[bot],7/6/2022,55882,41696,4555,12.29,168,2064.72,2064.72,119817.6
55ed52e7a68bb4a7bc33b3b556935e2d707b88cb,dependabot[bot],31/5/2022,55882,41696,4555,12.29,168,2064.72,2064.72,121882.32
d85466307e43875b41c0f1e2253f894a5fb8d20c,྅༻ Ǭɀħ ༄༆ཉ,29/5/2022,55891,41700,4556,12.3,168,2066.4,2066.4,123948.72
c588c1d729ed83b9d075687e16c0781a0527a66d,yourls-bot[bot],25/5/2022,55896,41705,4556,12.3,168,2066.4,2066.4,126015.12
2b693172bd2c739d64110bcbff16f2a5bb4d64a6,dgw,17/5/2022,55896,41705,4556,12.3,168,2066.4,2066.4,128081.52
faeec44c166ac83e07c31e9860de41bd705980e3,yourls-bot[bot],16/5/2022,55896,41705,4556,12.3,168,2066.4,2066.4,130147.92
7fdde60aa6668cb73d121cc7c48ca8c6f7acacae,yourls-bot[bot],9/5/2022,55896,41705,4556,12.3,168,2066.4,2066.4,132214.32
aa4553d30319cd66a8b2845ada0b240e675ed656,྅༻ Ǭɀħ ༄༆ཉ,7/5/2022,55896,41705,4556,12.3,168,2066.4,2066.4,134280.72
2edfa136e19c5aa75be0a812f7e5bd82be7f6aef,྅༻ Ǭɀħ ༄༆ཉ,6/5/2022,55896,41705,4556,12.3,168,2066.4,2066.4,136347.12
6da30dfab08700888d4403a8ce2abaaf47ec11c7,྅༻ Ǭɀħ ༄༆ཉ,5/5/2022,55859,41707,4556,12.3,168,2066.4,2066.4,138413.52
9def41dba83ad42232210139667528b4ac9bb3be,྅༻ Ǭɀħ ༄༆ཉ,2/5/2022,55600,41704,4556,12.3,168,2066.4,2066.4,140479.92
6034ca05f2bc5ff391d1960f61e35b3cf8977324,྅༻ Ǭɀħ ༄༆ཉ,30/4/2022,55593,41693,4556,12.3,168,2066.4,2066.4,142546.32
e05ee2aefb5b8c021da2b3a23aa488109315b1a1,Léo Colombaro,28/4/2022,55593,41693,4556,12.3,168,2066.4,2066.4,144612.72
