SHA,Author,Author_Date,Lines of Code (LOC),Non-Comment Lines of Code (NCLOC),Lines of Classes,Average Complexity per Class,No. Classes,Total Complexity of Classes,complexity_raw,accumulative_raw
9a6d32f4e18bc09120f03971624ed746c227741c,Zizaco,13/11/2017,1656,958,226,8.07,9,72.63,72.63,72.63
eae1835502c3be534782ff5c6f03d62ff354850b,Fabien Salathe,9/9/2017,1656,958,226,8.07,9,72.63,72.63,145.26
6bedeb859450171f817ea2043ad6a1176b1b7db1,Ahmet KAPIKIRAN,31/8/2017,1646,953,225,8.07,9,72.63,72.63,217.89
a757627bbd7aeb970d0a31c7a5ba1656ef56289a,AyaEMahmoud,26/7/2017,1646,953,225,8.07,9,72.63,72.63,290.52
b55b7e350802bce5e08dc729b6410a908bc018b6,zlegend-210,10/7/2017,1660,961,226,8.07,9,72.63,72.63,363.15
13ee438878f8f6b3d427302f6ba6d0e15ea8b1d1,klgd,30/6/2017,1646,953,225,8.07,9,72.63,72.63,435.78
cd11e01eafd9998c20c8ff8502cf388b50bc8b95,Alan Cole,12/4/2017,1646,953,225,8.07,9,72.63,72.63,508.41
2a05acd5f2a81afdfc87ae41340dae26f585ed1d,Zizaco,10/4/2017,1646,953,225,8.07,9,72.63,72.63,581.04
d05fd5e3bf42e442809bed05e9be8d6f2e0b68ea,Sander Koenders,2/2/2017,1645,951,225,8.07,9,72.63,72.63,653.67
b9995843d21342df61869a632ce81568730be3aa,Andrew Elkins,29/12/2016,1612,945,225,8.07,9,72.63,72.63,726.3
9edcc5eb4d36a32685910cbdc16c1e20e224db4d,Justin Wright,16/11/2016,1614,947,225,8.07,9,72.63,72.63,798.93
0e0216dfb4b768556f54b02c306d01da88cad28c,Ruben,6/11/2016,1612,945,225,8.07,9,72.63,72.63,871.56
021b6451bb4369129d6036371439fc41521d947b,Andrew Elkins,4/11/2016,1572,908,214,7.6,9,68.4,68.4,939.96
911995e68c969a7e711533356bd5bf94e765f57c,David Boskovic,15/10/2016,1577,913,214,7.6,9,68.4,68.4,1008.36
0f7d793a25eb38495dc95c426bb76db122211057,Thomas Reichling,12/10/2016,1572,908,214,7.6,9,68.4,68.4,1076.76
976628d94048421f6006692edbefd4f49332801e,Marijn Hurkens,12/9/2016,1572,908,214,7.6,9,68.4,68.4,1145.16
8184c785e2723c39a8e0e0d7ea22486dac45de36,Ezequiel Russo,30/8/2016,1572,908,214,7.6,9,68.4,68.4,1213.56
78081e5fb856d4d1ae2534b783202840196265be,Filip,11/8/2016,1572,908,214,7.6,9,68.4,68.4,1281.96
bfc516d2183f7263a268dc45e05090767139252a,yaoshanliang,3/8/2016,1572,908,214,7.6,9,68.4,68.4,1350.36
6d5533829122544fdb0d9920e98f0b54a6d0e4f4,Wilhem Arthur,6/7/2016,1572,908,214,7.6,9,68.4,68.4,1418.76
f8b3b7d996697a707d0c08d9ae3ab977914665dd,nejtr0n,30/6/2016,1572,908,214,7.6,9,68.4,68.4,1487.16
bd2c632105f01381ce8033957b2c2cc0b88c5a75,badconker,19/6/2016,1572,908,214,7.6,9,68.4,68.4,1555.56
394dbb71b997538e235fe711ab075d6f765a6736,Maurits van Mastrigt,8/6/2016,1574,910,215,7.67,9,69.03,69.03,1624.59
5a086c717dcc4e7fc41d312c93cd2d60dc0a0771,Andrew Elkins,7/6/2016,1570,906,213,7.6,9,68.4,68.4,1692.99
e68acd01657318851c717fc36b1b45edb5cdd383,Mark Bonnie Vestil,24/5/2016,1570,906,213,7.6,9,68.4,68.4,1761.39
0d66425e83921ddd574df5778922fdd88055bd86,Mark Bonnie Vestil,23/5/2016,1570,906,213,7.6,9,68.4,68.4,1829.79
2a73bc28a096c51a8351b8d4b3954327d56db61b,Sam Collins,26/4/2016,1570,906,213,7.6,9,68.4,68.4,1898.19
27dced164eb424a3328a2e76032bcc3b456111f7,Mahmoud Zalt,25/4/2016,1570,906,213,7.6,9,68.4,68.4,1966.59
