SHA,Author,Author_Date,Lines of Code (LOC),Non-Comment Lines of Code (NCLOC),Lines of Classes,Average Complexity per Class,No. Classes,Total Complexity of Classes,complexity_raw,accumulative_raw
48c8625860b55b4b8e98c9ef99cc23a0b6e1d143,Aimeos,24/9/2023,112124,49996,11978,7.93,318,2521.74,2521.74,2521.74
a01d44ab59ea8a2b95628a840a7a3cc8b0ad1a8b,Aimeos,16/9/2023,112124,49996,11978,7.93,318,2521.74,2521.74,5043.48
191857c13fc1bf7b5a856d56018e8fedeede96fd,Aimeos,14/9/2023,112558,50227,12011,7.92,318,2518.56,2518.56,7562.04
6a726766dd4e116a03c2bd236861fd4c9ab3b139,Aimeos,6/9/2023,112485,50185,12005,7.94,317,2516.98,2516.98,10082.72
04422eea1093b2f661aba061e1b3578b38a9e8db,Aimeos,3/9/2023,112485,50185,12005,7.93,317,2513.81,2513.81,12602.87
f27a1610298f54dae4ebcdea019244eeeb7de188,Aimeos,1/9/2023,113006,50731,12002,7.93,317,2513.81,2513.81,15123.02
f892ff061cebc7a24ae575197a0e46fa311438a5,Aimeos,31/8/2023,113004,50729,12002,7.93,317,2513.81,2513.81,17643.17
fee4584795e93f9a2ec9396a6f58151f678c7735,Aimeos,30/8/2023,112605,50598,11961,7.93,317,2513.81,2513.81,20163.32
3c3ee4dfe998e0194431b625436f088ef4d7abd3,Aimeos,27/8/2023,113724,51717,11962,7.92,317,2510.64,2510.64,22683.47
cec5a07397ab73ace38f10e2dec945327f78a55d,Aimeos,26/8/2023,113722,51715,11961,7.92,317,2510.64,2510.64,25203.62
b11e6f5dfb28705a0b379c553cecf0a0656d2253,Aimeos,21/8/2023,113708,51707,11958,7.92,317,2510.64,2510.64,27723.77
7d11240a46e8f521bdb8f400b72097f0b02a2500,Aimeos,19/8/2023,113708,51707,11958,7.92,317,2510.64,2510.64,30243.92
7487637ae27d49b5f16778518ae5c51896be99cd,Aimeos,18/8/2023,113696,51695,11958,7.92,317,2510.64,2510.64,32764.07
3747d0d0c23ae2c0bb72892d393490972e1f3689,Aimeos,12/8/2023,113696,51695,11958,7.92,317,2510.64,2510.64,35284.22
1227b41e76867fa4f2ede301c864cbae30794346,Aimeos,11/8/2023,113696,51695,11958,7.92,317,2510.64,2510.64,37804.37
b586f066b9b1c1fe4baecb397fca554b63a028fa,Aimeos,9/8/2023,113695,51694,11957,7.92,317,2510.64,2510.64,40324.52
92591dda534437f5b25d9bd59cd5bc7e86de4f11,Aimeos,4/8/2023,113621,51642,11946,7.91,317,2507.4700000000003,2507.4700000000003,42844.67
e3f8fa9c0f606256b7eb88b74e86cd4566f0c959,Aimeos,29/7/2023,113621,51642,11946,7.91,317,2507.4700000000003,2507.4700000000003,45364.82
e210989e71a0315f5ff1c29a4b4e8283631acd53,Aimeos,10/7/2023,113585,51622,11940,7.92,317,2510.64,2510.64,47884.97
7801d113347fa984ea40e844769eb29a0f15d083,Aimeos,3/7/2023,113542,51591,11929,7.92,317,2510.64,2510.64,50405.12
ab74e3941773e1f6da52a46c590d1a40226be0a5,Aimeos,28/6/2023,113542,51591,11929,7.91,317,2507.4700000000003,2507.4700000000003,52925.27
120d20fef21234fe62612793459f94f3478bebcd,Aimeos,27/6/2023,113542,51591,11929,7.91,317,2507.4700000000003,2507.4700000000003,55445.42
06f5e9c1767e84d34581a25de8a49cfe07980eca,Aimeos,19/6/2023,113537,51587,11928,7.91,317,2507.4700000000003,2507.4700000000003,57965.57
39918d50e0db13a07c4cafab3d54ce9228237e94,Aimeos,12/6/2023,113537,51587,11928,7.91,317,2507.4700000000003,2507.4700000000003,60485.72
c8e225ffef9240a6df88bbb6acd2f9dab5c5089e,Aimeos,6/6/2023,113537,51587,11928,7.91,317,2507.4700000000003,2507.4700000000003,63005.87
