SHA,Author,Author_Date,Lines of Code (LOC),Non-Comment Lines of Code (NCLOC),Lines of Classes,Average Complexity per Class,No. Classes,Total Complexity of Classes,complexity_raw,accumulative_raw
aa5d3fc89d67cb97b4b0f5c48ef32c39dd193975,RainLoop Team,31/8/2022,154495,103385,27986,15.63,777,12144.51,12144.51,12144.51
b4fe7527a6c727da75fc680104b5c165a78d0f0e,FreemoX,17/12/2021,154807,103672,28068,15.7,777,12198.9,12198.9,24343.41
0a68512055d88f6d63226363288acf364e382cd5,Master3395,3/10/2021,154807,103672,28068,15.7,777,12198.9,12198.9,36542.31
bb581893521ae8df83c83141173184654813ae3f,Dominik Schulz,2/7/2021,154807,103672,28068,15.7,777,12198.9,12198.9,48741.21
90e41635ed42e0079a6d9a11e0f968f6b4a1e987,RainLoop Team,6/5/2021,154826,103691,28075,15.7,777,12198.9,12198.9,60940.11
86e62d90ea820db99a2241f85518ec3bf64a26c8,RainLoop Team,5/5/2021,154767,103646,28069,15.69,777,12191.13,12191.13,73131.24
6e1470868a491a3f61bf8c7a9a1c4972afa2fd22,ecoValentin,1/5/2021,154767,103646,28069,15.69,777,12191.13,12191.13,85322.37
3a7f80bfc295a9963eb2934b726eb403b6225c3d,RainLoop Team,22/4/2021,154746,103632,28064,15.68,777,12183.36,12183.36,97505.73
7f0b8f44baac11337b6f9e53d2423a8b001521d9,Edward Betts,14/4/2021,154746,103632,28064,15.68,777,12183.36,12183.36,109689.09
b0b27aff511a64483f7add801679d5de6f3744e6,djmaze,26/3/2021,154763,103642,28068,15.69,777,12191.13,12191.13,121880.22
c2fc21afedb31aecc3fc21265e01c33382dd67aa,fdisamuel,23/3/2021,154746,103632,28064,15.68,777,12183.36,12183.36,134063.58
76ac8567cf365e078ff2484ab6af1be8f6d207d4,Igor Valente Blackman,16/3/2021,154749,103635,28064,15.68,777,12183.36,12183.36,146246.94
20e0c1417d4ac94a6452af499296d5f4cd5ff50e,RainLoop Team,16/1/2021,154746,103632,28064,15.68,777,12183.36,12183.36,158430.3
02fb256456f1d49dd08f8c212635da6a26e66955,Honza,2/11/2020,154753,103639,28068,15.69,777,12191.13,12191.13,170621.43
39f1a72da08ea0f2c649f51adaa7a0d8366c8424,lub,9/9/2020,154754,103640,28069,15.69,777,12191.13,12191.13,182812.56
32033786851aa0fd4e20f732b6fcff997224b018,RainLoop Team,22/7/2020,154753,103639,28068,15.69,777,12191.13,12191.13,195003.69
48d26c7f4c9b9d2d3330b4da8d1cc3d5b41d8bbf,Andrey Izman,15/7/2020,154753,103639,28068,15.69,777,12191.13,12191.13,207194.82
3dbb43e18812a6f27e9446f0151727396ffd6ce2,Simon Chuu,19/5/2020,154753,103639,28068,15.69,777,12191.13,12191.13,219385.95
a3ca42eebec1323b1d6e1ced8bd510d9c8826799,Daniel Kesselberg,25/4/2020,154753,103639,28068,15.69,777,12191.13,12191.13,231577.08
950f12d4b25c121231e4f6309629fe441b3cc478,Thomas131,16/4/2020,154753,103639,28068,15.69,777,12191.13,12191.13,243768.21
c14ffdc10ba39f11fdf81c3dc0518016a02b9549,RainLoop Team,7/4/2020,154744,103630,28066,15.69,777,12191.13,12191.13,255959.34
796183d40d6ac9dfe488c57d8b127720a61d310a,Javyer,2/4/2020,154744,103630,28066,15.69,777,12191.13,12191.13,268150.47
2266affa5b474c2258565ace8b20a40d6ea30f64,djmaze,20/3/2020,154720,103611,28064,15.69,777,12191.13,12191.13,280341.6
a250d8402544d5d3d37a0501e3e5b0854fc80bba,RainLoop Team,15/3/2020,154711,103602,28062,15.69,777,12191.13,12191.13,292532.73
15ceddc2029a8c2c91a295711dba7e50efb95c74,RainLoop Team,30/1/2020,154711,103602,28062,15.69,777,12191.13,12191.13,304723.86
32ceafa37fb109401bbb5c7fd8ae59864d577bdf,RainLoop Team,31/12/2019,154711,103602,28062,15.69,777,12191.13,12191.13,316914.99
08333610ce8dcb833a557d1faa60d373ab34ec7f,RainLoop Team,24/12/2019,154537,103458,28015,15.66,777,12167.82,12167.82,329082.81
b77dcb5c12f77d33701555e00ad9ac602ffef046,Peter Linss,20/11/2019,154550,103470,28019,15.66,777,12167.82,12167.82,341250.63
ba8bf15b4cb5d2ff66fb61eba253998b151bdf7f,RainLoop Team,16/10/2019,154537,103458,28015,15.66,777,12167.82,12167.82,353418.45
00c58b37d2a997c9f0af83ff2a389ac50a849453,Marc,20/9/2019,154673,103578,28047,15.68,777,12183.36,12183.36,365601.81
c4698134aea866930135b76638ae45de00677e6d,Shurichan,5/9/2019,154673,103578,28047,15.68,777,12183.36,12183.36,377785.17
f38a17c986e5ba61c1603ce477b767644893d458,Richard Bureš,5/8/2019,154673,103578,28047,15.68,777,12183.36,12183.36,389968.53
1b2306c7b0d736c4f1739172327695dfa1fa6230,RainLoop Team,1/8/2019,154629,103540,28033,15.67,777,12175.59,12175.59,402144.12
ec8be09abee6dd51ca4c6dc9438c66ba67736edb,Nicolas B,31/7/2019,154673,103578,28047,15.68,777,12183.36,12183.36,414327.48
b0cf16ace44b8ffa302870d248c31a5342b0e938,Nicolas B,30/7/2019,154673,103578,28047,15.68,777,12183.36,12183.36,426510.84
a6e70256ea825cd8fba78d0feea372069a2586ba,hifihedgehog,26/7/2019,154673,103578,28047,15.68,777,12183.36,12183.36,438694.2
fe197ab4402c8e8eba5704c9c1d83af1fb0d2c05,hifihedgehog,25/7/2019,154673,103578,28047,15.68,777,12183.36,12183.36,450877.56
0c38f42197e8f56248480f38592924d64ca9a5b7,RainLoop Team,11/7/2019,154673,103578,28047,15.68,777,12183.36,12183.36,463060.92
450528ff00879e44f1de6f86716f60a2e1037806,RainLoop Team,4/7/2019,154677,103582,28049,15.68,777,12183.36,12183.36,475244.28
8eb4588917b4741889fdd905d4c32e3e86317693,RainLoop Team,1/7/2019,154675,103580,28048,15.68,777,12183.36,12183.36,487427.64
a1562e7145775224218e3516f2549a07e73c2cf8,RainLoop Team,29/6/2019,154656,103561,28041,15.67,777,12175.59,12175.59,499603.23
dbbc83e4c86995f20b570992231e3a0bcf1b8e85,RainLoop Team,28/6/2019,154655,103560,28041,15.67,777,12175.59,12175.59,511778.82
6b8c7043af766fa2493d68baa1a89ad828e6bb84,Anton Piliugin,28/5/2019,154657,103562,28042,15.67,777,12175.59,12175.59,523954.41
88439e6e07b166b75534e22ff7644931783fb1c3,RainLoop Team,17/4/2019,154655,103560,28041,15.67,777,12175.59,12175.59,536130
18242368beb3baad1738728f8d9b70ba1066b345,RainLoop Team,29/3/2019,154648,103553,28040,15.67,777,12175.59,12175.59,548305.59
13065dd9262527c8812d1fe8d55ada013f4b812f,RainLoop Team,27/3/2019,186896,123991,35326,18.58,800,14864,14864,563169.59
b8ad70a8e3926c7f1ac70bd25a04c341181b009d,Ernesto Serrano,14/3/2019,186896,123991,35326,18.58,800,14864,14864,578033.59
e1768a13dc199c376186727147b9950cf2896705,Ernesto Serrano,10/3/2019,186896,123991,35326,18.58,800,14864,14864,592897.59
