SHA,Author,Author_Date,Lines of Code (LOC),Non-Comment Lines of Code (NCLOC),Lines of Classes,Average Complexity per Class,No. Classes,Total Complexity of Classes,complexity_raw,accumulative_raw
cbbb18356a65e107d03e47cbc2778a0983fe689c,Komal Sharma,6/9/2023,1583,1466,485,17.67,9,159.03,159.03,159.03
6746eedc8ab3f057e511af45845082937a4cd25a,Akshay Kumar,29/6/2023,1583,1466,485,17.67,9,159.03,159.03,318.06
fcb5f8c26e840ffa68e1d92db24b99e8cf2f486d,Akshay Kumar,27/6/2023,1583,1466,485,17.67,9,159.03,159.03,477.09
9ac9d06c420727f9812c0b539985310cf7452b6a,Akshay Kumar,3/1/2023,1583,1466,485,17.67,9,159.03,159.03,636.12
cd0a8217c273a1550b694f75b22ee02465f49743,RASTIQ,31/12/2022,1583,1466,485,17.67,9,159.03,159.03,795.15
94166612747f8a8d87d70b0e28e5c235f25afc4c,Akshay Kumar,27/12/2022,1583,1466,485,17.67,9,159.03,159.03,954.18
5c150702e6fcf4138343325823abcd9fa69089d9,Akshay Kumar,17/12/2022,1583,1466,485,17.67,9,159.03,159.03,1113.21
c2be9d3496736a3c3c53c791cca26cbbdc241de8,Akshay Kumar,13/12/2022,1583,1466,485,17.67,9,159.03,159.03,1272.24
f8fd8a0cc37c9265b1ef77eaeecb23d34908cbd7,Akshay Kumar,7/12/2022,1583,1466,485,17.67,9,159.03,159.03,1431.27
12532c3f638f79c3a25fd3e5e8085cbb487f4b42,Akshay Kumar,29/11/2022,1583,1466,485,17.67,9,159.03,159.03,1590.3
5d60aaac9badb30017d13c3c7fa665e6fcabcc5d,Akshay Kumar,24/11/2022,1586,1469,485,17.67,9,159.03,159.03,1749.33
9bc4a7434a6aba0165bdf9a54fc731e956d5415a,Akshay Kumar,31/10/2022,1586,1469,485,17.67,9,159.03,159.03,1908.36
4c36da96d691be3cd68288496624a8e071810f86,komal,28/10/2022,1586,1469,485,17.67,9,159.03,159.03,2067.39
f2e2eb15357fd8a21ec35c360b653c170c4b6f5f,komal,14/10/2022,1585,1468,485,17.67,9,159.03,159.03,2226.42
f7ac71b1536970e440b1fb863d806f452f247a41,sanjeev,12/10/2022,1585,1468,485,17.67,9,159.03,159.03,2385.45
19726cd602758d1d42c9ac104b3d2d7048101ffd,komal,4/10/2022,1585,1468,485,17.67,9,159.03,159.03,2544.48
3f16d516ffb1b0ef474ba1e9fc84357aa1ab51da,Akshay Kumar,13/9/2022,1585,1468,485,17.67,9,159.03,159.03,2703.51
79d05ccf76d9a92a35f1634a34fd6a7e0db9d453,Akshay Kumar,1/9/2022,1585,1468,485,17.67,9,159.03,159.03,2862.54
c9fcc1893d9798e6d6007cc18c93205d44c91897,komal,8/8/2022,1585,1468,485,17.67,9,159.03,159.03,3021.57
bb884baa12169b52c15cfe997f5b34787251404d,komal,26/7/2022,1581,1464,485,17.67,9,159.03,159.03,3180.6
a3b1b3f0e992f0ec75ff8fdca4c99f11d9eb74d5,vipin shrivastava,25/3/2022,1585,1468,486,17.67,9,159.03,159.03,3339.63
26f90f44a5240120ff54e5e6a8ea5cf565499340,Sanjeev Papnoi,24/3/2022,1581,1464,485,17.56,9,158.04,158.04,3497.67
9024015557f3648a50cee6d749362d9b67ff9dc1,Sanjeev Papnoi,4/3/2022,1581,1464,485,17.56,9,158.04,158.04,3655.71
b6f38135ab1c99572202ae1c7cb1fe00cc53034b,Akshay Kumar,24/2/2022,1567,1449,482,17.56,9,158.04,158.04,3813.75
9ad6965a1d46ffc8280c947eea98294f8ff34c1d,Vipin Shrivastava,17/12/2021,1570,1451,483,17.44,9,156.96,156.96,3970.71
f603465c3a4ec93468c5523d38fee5c41c49fa71,Sanjeev Papnoi,15/12/2021,1569,1450,483,17.33,9,155.97,155.97,4126.68
c8261d85102ae394d5194fb78d84cba9a95c727b,Komal Sharma,14/12/2021,1569,1450,483,17.33,9,155.97,155.97,4282.65
bd7673eba3872ff9fcd1b41768194c321a35e584,Sanjeev Papnoi,13/12/2021,1569,1450,483,17.33,9,155.97,155.97,4438.62
00fccb6d1fd1b22e68677ac6fdd23d3d9ccf464c,Marco Borla,9/12/2021,1569,1450,483,17.33,9,155.97,155.97,4594.59
f6e7c4285ec769c8a81904c0be28a282e6cd3728,Sanjeev Papnoi,6/12/2021,1569,1450,483,17.33,9,155.97,155.97,4750.56
a47e400e8816c1e0a099a8e1dfd99b6c365d14c3,user592965,5/12/2021,1569,1450,483,17.33,9,155.97,155.97,4906.53
8066a42af2217e8569ebce838f16cc696f879c36,Komal Sharma,1/12/2021,1569,1450,483,17.33,9,155.97,155.97,5062.5
5d9e40c5d56237ff0e99c93fe58f4a859cbc5e0d,Komal Sharma,30/11/2021,1569,1450,483,17.33,9,155.97,155.97,5218.47
7ce0b4cab57e7f2f5654cc3f50920f0976ac2b2c,Marco Borla,29/11/2021,1569,1450,483,17.33,9,155.97,155.97,5374.44
f6b6727685a0a91a49b6c8cbfa6bf9f97394bec7,Sanjeev Papnoi,26/11/2021,1569,1450,483,17.33,9,155.97,155.97,5530.41
fcff0d6934f9ffb55def39828be264b7790ab8ba,vipin shrivastava,25/11/2021,1569,1450,483,17.33,9,155.97,155.97,5686.38
107f929c24575ef70c8c78c0df809686772a45d1,Sanjeev Papnoi,22/11/2021,1569,1450,483,17.33,9,155.97,155.97,5842.35
7e10d659697438775bc52f4071af426c0ec3c713,Sanjeev Papnoi,17/11/2021,1569,1450,483,17.33,9,155.97,155.97,5998.32
c48318f2ff1943e27a233d329478ecb408f9c682,Sanjeev Papnoi,9/11/2021,1569,1450,483,17.33,9,155.97,155.97,6154.29
3ea424d41995d365731a88fef4634a9bd6cbfa86,Sanjeev Papnoi,8/11/2021,1569,1450,483,17.33,9,155.97,155.97,6310.26
d5784bc3f58dd618652bfee7826260aac2ed1f57,Sanjeev Papnoi,28/10/2021,1622,1503,499,16,10,160,160,6470.26
bfd6464e885e1aad99d6e3f81265528a928689de,Sanjeev Papnoi,27/10/2021,1622,1503,499,16,10,160,160,6630.26
138248ec0a689833531e43a2468e08798fa42217,Vipin Shrivastava,26/10/2021,1622,1503,499,16,10,160,160,6790.26
dcd1b087495c08b52f634b1ef935b8dc0f8bc62b,Vipin Shrivastava,20/10/2021,1568,1450,483,17.33,9,155.97,155.97,6946.23
9ff999fae7e5ca2d7d7ad10fe09b439a1850f6e1,Vipin Shrivastava,19/10/2021,1568,1450,483,17.33,9,155.97,155.97,7102.2
0d316a535903889a5f37fbb41c75030723f98701,Sanjeev Papnoi,18/10/2021,1568,1450,483,17.33,9,155.97,155.97,7258.17
2bc1149135760cca39fcd724adde91f2960bfab7,Sanjeev Papnoi,16/9/2021,1568,1450,483,17.33,9,155.97,155.97,7414.14
2fd97f1e57d63e8a93b606bf7c4afadd53bc4d8c,Jacob,14/9/2021,1568,1450,483,17.33,9,155.97,155.97,7570.11
f323441c3a95b4d74fa6e03acaf438a4603c0115,Sanjeev Papnoi,9/9/2021,1568,1450,483,17.33,9,155.97,155.97,7726.08
96457c3602740eaa17d35995d8c95bb39b1cf93b,vipin shrivastava,8/9/2021,1568,1450,483,17.33,9,155.97,155.97,7882.05
9b2aa943de2469ea480f7d875d3ff8bd13acf919,vipin shrivastava,7/9/2021,1568,1450,483,17.33,9,155.97,155.97,8038.02
