SHA,Author,Author_Date,Lines of Code (LOC),Non-Comment Lines of Code (NCLOC),Lines of Classes,Average Complexity per Class,No. Classes,Total Complexity of Classes,complexity_raw,accumulative_raw
b96d5a3eba40b5b52bd8ab0f100ea134ad69f3ae,robchett,17/9/2023,169466,154890,32398,22.18,1113,24686.34,24686.34,24686.34
03e8d19eecc4a59febe107664a3e877f30fb7e77,robchett,16/9/2023,169466,154890,32398,22.18,1113,24686.34,24686.34,49372.68
49492235fe3d75ebcd2fd51aacce6cb1e782731b,dependabot[bot],11/9/2023,169466,154890,32399,22.18,1113,24686.34,24686.34,74059.02
6cd4c48e0b3e0dc1aacac1dd12fd903554c3e48a,George Steel,10/9/2023,169466,154890,32399,22.18,1113,24686.34,24686.34,98745.36
f782767438dd1678e60f3f97cfc66e1252e79b10,Bruce Weirdan,9/9/2023,169466,154890,32399,22.18,1113,24686.34,24686.34,123431.7
8fbe14a34b4cec64ce9d3e96aad7056a026e493e,Tinjo Schöni,8/9/2023,169466,154890,32399,22.18,1113,24686.34,24686.34,148118.04
8362cc690049daf4225813264db75cfd0c039abe,Bruce Weirdan,3/9/2023,169466,154890,32399,22.18,1113,24686.34,24686.34,172804.38
cd8fc46554f7133e62a8c3114cf6d9ab0e4c8e5f,Bruce Weirdan,2/9/2023,169466,154890,32399,22.18,1113,24686.34,24686.34,197490.72
e23971ca29c176116eb4fef682ec632cfc4189d4,robchett,31/8/2023,169353,154780,32386,22.19,1112,24675.28,24675.28,222166
791e5d65b5a9daf8951dfb7e644867e13a18a466,Bruce Weirdan,30/8/2023,169355,154782,32386,22.19,1112,24675.28,24675.28,246841.28
b29ea52dd94ec36591a8960eaae42f0ecd06d015,Bruce Weirdan,28/8/2023,169201,154647,32356,22.2,1111,24664.2,24664.2,271505.48
23ad49cbe43e8bfb1a381d8e00f7e4a7a7c24431,Bruce Weirdan,27/8/2023,169197,154644,32355,22.2,1111,24664.2,24664.2,296169.68
c8b47b17bfada12ea80c6a0d0f3d36d445890c85,cgocast,26/8/2023,169197,154644,32355,22.2,1111,24664.2,24664.2,320833.88
5aac98b1739a71f04b7e5d3053d959a47da8656c,Lens0021 / Leslie,25/8/2023,169151,154606,32339,22.2,1111,24664.2,24664.2,345498.08
b1c25fa30a2a6add23a9eedc51d3f38594fc26fc,Bruce Weirdan,24/8/2023,169151,154606,32339,22.2,1111,24664.2,24664.2,370162.28
72c9bf8575ceb6263d5a3f17ca209fab000f6773,cgocast,22/8/2023,169197,154644,32355,22.2,1111,24664.2,24664.2,394826.48
e6aa3fd23cf1fd0d0c2c2f32f9ce534d28004223,Bruce Weirdan,21/8/2023,169130,154586,32331,22.19,1111,24653.09,24653.09,419479.57
1474340cf21cf687f09ecb733a86ab5ac3e1a0bb,Bruce Weirdan,20/8/2023,169216,154646,32327,22.21,1110,24653.1,24653.1,444132.67
4f87da19e2d080734d3835dbe05a80e90f433076,kkmuffme,18/8/2023,169193,154623,32321,22.2,1110,24642,24642,468774.67
32445023d820fbed2a4aa9fac89b675b585d0ec4,Bruce Weirdan,17/8/2023,169189,154619,32319,22.2,1110,24642,24642,493416.67
670bd6afce56d8c5f828e8237bfe4003706c89bd,Evan Shaw,15/8/2023,169198,154627,32322,22.21,1110,24653.1,24653.1,518069.77
b70d40703fe066caa69b21055d82b5584aeb3bb3,Bruce Weirdan,13/8/2023,169183,154595,32317,22.2,1110,24642,24642,542711.77
18a47529705e71681371b7f0d6eaa1931a8bfd08,Kuba Werłos,12/8/2023,169182,154594,32317,22.2,1110,24642,24642,567353.77
801cca2aa3e3ea747d4f76a09f678530572b58ca,kkmuffme,8/8/2023,169192,154603,32317,22.2,1110,24642,24642,591995.77
96a61fcdc2b2357746ad0f085f485bdd6190bb95,orklah,5/8/2023,169240,154637,32323,22.18,1111,24641.98,24641.98,616637.75
0a58a68e9a262472f933f66f60a063c9f1c69947,kkmuffme,4/8/2023,169236,154634,32323,22.18,1111,24641.98,24641.98,641279.73
ec842c0f3db1cde55ab5ee2af89d0997c143311f,Bruce Weirdan,1/8/2023,169134,154539,32310,22.17,1111,24630.87,24630.87,665910.6
809b27c499317608aaeab93493d32977af88af0b,klimick,30/7/2023,169164,154570,32315,22.17,1111,24630.87,24630.87,690541.47
63347e71aee04fc339610b38b62fa0f54c6be345,Daniil Gentili,29/7/2023,169117,154529,32308,22.16,1111,24619.76,24619.76,715161.23
068bfbf8c1b07de05f00e50409e18d1e55252031,Daniil Gentili,28/7/2023,169135,154540,32310,22.17,1111,24630.87,24630.87,739792.1
d600705b0c8ab0424fff0be3cb9872fc97778519,Thomas Bley,27/7/2023,168898,154302,32253,22.19,1109,24608.71,24608.71,764400.81
c2a05c2e9002b6e4854194b713171f14941cc268,Bruce Weirdan,26/7/2023,168954,154365,32285,22.15,1111,24608.65,24608.65,789009.46
a4de6d9dc092d77871b6097af42498a192362e9a,Yannick Gottschalk,25/7/2023,169182,154594,32317,22.2,1110,24642,24642,813651.46
dfbc9dd177d00e74334748f539409abf85bdee11,Daniil Gentili,24/7/2023,168558,153984,32192,22.18,1108,24575.44,24575.44,838226.9
6eb7a688d1e682753cf5ea5ba778ebd817612564,Bruce Weirdan,23/7/2023,168698,154117,32229,22.17,1109,24586.53,24586.53,862813.43
a68c4804f4b8ef14fcaa426712f8a95a59afb414,Bruce Weirdan,22/7/2023,168639,154063,32215,22.17,1109,24586.53,24586.53,887399.96
acdb11e6792fea8a892a5ad7dcb24484df7f8296,Bruce Weirdan,21/7/2023,168550,153975,32192,22.17,1108,24564.36,24564.36,911964.32
51058eb45e5f17229ab561e9d1f70ed10d14853c,Thomas Bley,20/7/2023,168563,153988,32192,22.18,1108,24575.44,24575.44,936539.76
d39013324d5558925c6194d4df7afaf8e40109ac,Thomas Bley,19/7/2023,168563,153988,32192,22.18,1108,24575.44,24575.44,961115.2
9c814c8a69b0fd80f7fb81de5740434ed1ce7022,orklah,16/7/2023,168563,153988,32192,22.18,1108,24575.44,24575.44,985690.64
9935b2c71edc29200c6cd8916554a4bd4e7de4f7,rhertogh,15/7/2023,168556,153982,32188,22.18,1108,24575.44,24575.44,1010266.08
564c6de4ed3a4050f3e50b98b741ff1275d79a9d,orklah,13/7/2023,168545,153972,32187,22.18,1108,24575.44,24575.44,1034841.52
bea3090aff4d7bf38c2d87514bf9dc0d5a37dac5,Andreas Braun,12/7/2023,168545,153972,32187,22.18,1108,24575.44,24575.44,1059416.96
38f6d45155dd00c8dbf6bc951a9ed4efca089451,klimick,11/7/2023,168545,153972,32187,22.18,1108,24575.44,24575.44,1083992.4
867290cd06043c05ff5d2d2386efd4780e88e4f8,Yannick Gottschalk,10/7/2023,168536,153963,32187,22.18,1108,24575.44,24575.44,1108567.84
5a1bb56fc2ae117e840d8c5bb6fe41a478711077,rhertogh,9/7/2023,168532,153960,32186,22.18,1108,24575.44,24575.44,1133143.28
d2ec23fc7175401cf676f4f8bb97fd4691dfe862,rhertogh,8/7/2023,168532,153960,32186,22.18,1108,24575.44,24575.44,1157718.72
a69b0caa239cf565f49a3ec157519e6d7679ee59,rhertogh,7/7/2023,168532,153960,32186,22.18,1108,24575.44,24575.44,1182294.16
9fd590685cd8266a21e7a604163565763148afc4,kkmuffme,6/7/2023,168532,153959,32185,22.18,1108,24575.44,24575.44,1206869.6
ce7b78cf8fc803d99d285e64a4233ef6843f818c,kkmuffme,5/7/2023,168527,153955,32184,22.18,1108,24575.44,24575.44,1231445.04
1787960027b9368d66ea4d843fe700e908131af0,Yannick Gottschalk,3/7/2023,168515,153947,32178,22.18,1108,24575.44,24575.44,1256020.48
c2388b4d9005e7e16db2084c65d45cb1d3ae1c60,kkmuffme,2/7/2023,168471,153910,32170,22.16,1108,24553.28,24553.28,1280573.76
7cf87b28dc2296104e654c1889beb2eaf2a02592,Roland Franssen :),1/7/2023,168486,153926,32173,22.17,1108,24564.36,24564.36,1305138.12
26eb870e472205198e12961968b91af74650af87,kkmuffme,30/6/2023,168466,153905,32168,22.16,1108,24553.28,24553.28,1329691.4
2dd26cb0f10c2d3cac0cdb7bff8bbaf4584d2645,kkmuffme,29/6/2023,168488,153926,32173,22.17,1108,24564.36,24564.36,1354255.76
7aac142a440a6befc5abcbf0e0077d810450e1ac,Yannick Gottschalk,28/6/2023,168472,153912,32172,22.16,1108,24553.28,24553.28,1378809.04
5a2f7c0a7140dc35b05e211167299a3b2a2dbd1f,Yannick Gottschalk,27/6/2023,168472,153912,32172,22.16,1108,24553.28,24553.28,1403362.32
9939cae52dc79d311465d18cda82fe2e589d986d,Tinjo Schöni,24/6/2023,168432,153873,32155,22.15,1108,24542.2,24542.2,1427904.52
2d84b06cfa49a0f505fa971d9963f8d16190aa0f,Maximilian Bösing,23/6/2023,168424,153865,32152,22.15,1108,24542.2,24542.2,1452446.72
8929f8b4d86c7c4f9bd20b860cb888b7b30003d4,orklah,22/6/2023,168498,153925,32172,22.13,1109,24542.17,24542.17,1476988.89
f93d23899de79beebd8f9d86561081c3583d2f59,Yannick Gottschalk,21/6/2023,168482,153922,32172,22.16,1108,24553.28,24553.28,1501542.17
66848306f996129bc114d1b0e8790c966379ddb6,Yannick Gottschalk,20/6/2023,168379,153823,32143,22.15,1108,24542.2,24542.2,1526084.37
1b571a164927db593b7737fc01f411d2b0da92ee,orklah,19/6/2023,168482,153908,32170,22.13,1109,24542.17,24542.17,1550626.54
e2dde5d200e9fd306bda732b49bd2b6c3a4aed92,orklah,18/6/2023,168439,153876,32158,22.12,1109,24531.08,24531.08,1575157.62
5fc48bbb62a1e172fac6a0733f3cabae05a19bbc,robchett,17/6/2023,168448,153888,32162,22.12,1109,24531.08,24531.08,1599688.7
0e26bc79aadc1982bbdd6c2a174db891a78046cf,Andreas Braun,15/6/2023,168369,153812,32141,22.14,1108,24531.12,24531.12,1624219.82
51fd63cfbb9013db5182548314936fbfa092aa8c,kkmuffme,13/6/2023,168437,153878,32158,22.11,1109,24519.99,24519.99,1648739.81
b9f5c0527653bb4f935c42f1aba7f9de96a6876c,orklah,12/6/2023,169006,154403,32335,22.22,1108,24619.76,24619.76,1673359.57
b6cba5a377a69d6f13e00bdd17fa93d49472e25f,orklah,11/6/2023,169006,154403,32335,22.22,1108,24619.76,24619.76,1697979.33
0a54c84055b1dc47852f76f6452ef174d09e5bcd,kkmuffme,9/6/2023,168864,154288,32314,22.2,1108,24597.6,24597.6,1722576.93
40679e9a824d3f024453a7f8ea06c8a3044045d3,kkmuffme,7/6/2023,168845,154271,32314,22.2,1108,24597.6,24597.6,1747174.53
cf4536f646b5968014baf7426770e50aab2d6a07,kkmuffme,6/6/2023,168851,154277,32314,22.2,1108,24597.6,24597.6,1771772.13
953d7ba7d1cd8a3736eb76b08825598515a81878,RobChett,5/6/2023,168845,154271,32314,22.2,1108,24597.6,24597.6,1796369.73
c15860508bb572b824b7615e96ed554ff5777062,orklah,4/6/2023,168828,154254,32312,22.2,1108,24597.6,24597.6,1820967.33
fa644cbb3487a7e79d614c32857d95728cefabae,kkmuffme,2/6/2023,168811,154246,32311,22.2,1108,24597.6,24597.6,1845564.93
75baaf78895161f642fcf7e5f686b9be473e7ddb,orklah,1/6/2023,168678,154139,32279,22.17,1108,24564.36,24564.36,1870129.29
2fa943a8a68f14df44fa86402d8406705644af40,Alies Lapatsin,31/5/2023,168552,154040,32255,22.17,1107,24542.19,24542.19,1894671.48
9af897f328285597416c74b78eb9a269717b5832,Markus Staab,30/5/2023,168537,154026,32251,22.16,1107,24531.12,24531.12,1919202.6
c2bbc6239a2b4f099da5700e942c53cbf4980b11,Kamil Tekiela,29/5/2023,168438,153931,32227,22.17,1106,24520.02,24520.02,1943722.62
a41eb35b246a581d22e68e323f2beeae545fa091,Yannick Gottschalk,28/5/2023,168451,153943,32231,22.17,1106,24520.02,24520.02,1968242.64
56d7b3793eca1e61036af64fe00d49ad69e3935b,klimick,27/5/2023,168524,154014,32247,22.16,1107,24531.12,24531.12,1992773.76
f279c3950339bfaad02dd7695ff6a0c6b78b60e1,Jack Worman,26/5/2023,168438,153931,32227,22.17,1106,24520.02,24520.02,2017293.78
cab10721e6f33ec9be41648a529024caaadba57d,Demmie,24/5/2023,168413,153913,32224,22.16,1106,24508.96,24508.96,2041802.74
d23616cafa4f34ef61afa77066d3b41f2227a51d,orklah,22/5/2023,168396,153899,32212,22.16,1106,24508.96,24508.96,2066311.7
22fd6fb9db850b614fe815e62228f3cd5d42dbae,orklah,21/5/2023,168437,153935,32225,22.17,1106,24520.02,24520.02,2090831.72
0221ff1836e5a682626692530a82608188916165,orklah,18/5/2023,168437,153935,32225,22.17,1106,24520.02,24520.02,2115351.74
e23db18f6b1404ae8fa6035f106f5130e1774ec5,kkmuffme,17/5/2023,168437,153935,32225,22.17,1106,24520.02,24520.02,2139871.76
69589ebe831be1db79c2db00ae9d001726d913e7,orklah,16/5/2023,168437,153935,32225,22.17,1106,24520.02,24520.02,2164391.78
100907b61fe2da1f82650d4aed715134096ee6e4,RobChett,15/5/2023,168437,153935,32225,22.17,1106,24520.02,24520.02,2188911.8
5370492f971941f6e9d6f23f75321eeecfba3fc9,orklah,14/5/2023,168343,153847,32199,22.17,1105,24497.85,24497.85,2213409.65
f491a53ff082aef1f1e9c1fa78b2afcdb0283b57,RobChett,13/5/2023,168343,153847,32199,22.17,1105,24497.85,24497.85,2237907.5
dcafc2e53d9acbe11963d4d439fbffac154322f9,Mark McEver,12/5/2023,168313,153817,32194,22.18,1104,24486.72,24486.72,2262394.22
ffd363d7b8bbabc6ea9bd35f17a3160b00c93359,Daniil Gentili,11/5/2023,168314,153818,32194,22.18,1104,24486.72,24486.72,2286880.94
f41da745d1ee2d07753089fcbe95faea21aa0f8b,Jack Worman,10/5/2023,168343,153847,32199,22.17,1105,24497.85,24497.85,2311378.79
3d122a745fc8eeb310ece2e2c343b45f51d9be9a,Valentin Vion,9/5/2023,168318,153822,32194,22.19,1104,24497.76,24497.76,2335876.55
d4c5f85eb0940e5b9264d779b8d90fcb14b3bff0,orklah,7/5/2023,168318,153822,32194,22.19,1104,24497.76,24497.76,2360374.31
cfd0f062f7114f8b63c0e616bd059144c65fcd3b,andrew,6/5/2023,168217,153726,32176,22.19,1103,24475.57,24475.57,2384849.88
8d15fa1d796e36afe353ae802bc5fbd7f80e570b,orklah,5/5/2023,168217,153726,32176,22.19,1103,24475.57,24475.57,2409325.45
57b3876796fc6cefae03edf1f098e796bb67aedc,andrew,4/5/2023,168201,153714,32174,22.19,1103,24475.57,24475.57,2433801.02
aa856696451afa63ca776864d19e1a776bea26a6,RobChett,3/5/2023,168258,153768,32184,22.17,1104,24475.68,24475.68,2458276.7
a5effd2d2dddd1a7ea7a0f6a051ce63ff979e356,orklah,2/5/2023,168190,153703,32172,22.19,1103,24475.57,24475.57,2482752.27
38b40a9fe2ae95d43beaf3e295f7a988bbdd676e,tuqqu,30/4/2023,168168,153681,32168,22.18,1103,24464.54,24464.54,2507216.81
cad52884842fc114a47637d45c9cf1fa355085da,RobChett,28/4/2023,168250,153760,32182,22.19,1103,24475.57,24475.57,2531692.38
2a221f6359764c6b4d10a043edf1cb191830d62a,orklah,27/4/2023,168001,153537,32137,22.21,1102,24475.42,24475.42,2556167.8
09dd8c370f078067f392f5db82b30324165e854a,Grégoire Paris,26/4/2023,168001,153537,32137,22.21,1102,24475.42,24475.42,2580643.22
662dc07df2a2bb075538f24426b19a8f0a8324ee,RobChett,25/4/2023,168009,153545,32140,22.21,1102,24475.42,24475.42,2605118.64
30fcaae9ee9989f2ab719930b3cd58553926f845,orklah,24/4/2023,167870,153407,32103,22.19,1102,24453.38,24453.38,2629572.02
88c444a8cc2f39ceb6610ab45511cef373f06bed,klimick,23/4/2023,167873,153413,32104,22.19,1102,24453.38,24453.38,2654025.4
1dcc4c4fe02926445c4a75937883495023ae3fc0,orklah,21/4/2023,167759,153305,32082,22.19,1101,24431.19,24431.19,2678456.59
4d9d7cebd994aa7aa10ae54445b67dbcf38ddac4,RobChett,20/4/2023,167735,153286,32080,22.18,1101,24420.18,24420.18,2702876.77
19fab7a8059209ffd159326ab3755645d9729c98,Daniil Gentili,19/4/2023,167695,153246,32073,22.17,1101,24409.17,24409.17,2727285.94
b35c3c41b81637407588c9c383336b67d4705041,Daniil Gentili,18/4/2023,167698,153249,32073,22.17,1101,24409.17,24409.17,2751695.11
b0e5df570d41db032472a6c1f99f8b35a8431f7f,andrew,17/4/2023,167547,153111,32052,22.2,1098,24375.6,24375.6,2776070.71
2a6d9a8785af9e98d2470365d27251c987d8c062,orklah,16/4/2023,167267,152883,32013,22.18,1098,24353.64,24353.64,2800424.35
66afbb1c33ae2a27c089edada5668fc52445425a,Maximilian Bösing,15/4/2023,167320,152927,32019,22.19,1098,24364.62,24364.62,2824788.97
1f282fe7ba01594b53144e3a84ac8235d9228581,andrew,14/4/2023,166726,152361,31889,22.13,1097,24276.61,24276.61,2849065.58
eb83938a2d777cba7d6b0069a92e227f879a0eea,orklah,13/4/2023,166918,152527,31953,22.18,1096,24309.28,24309.28,2873374.86
c3f91992f168fa424fa21b076de9681425c9ec73,Maximilian Bösing,12/4/2023,167093,152691,31995,22.19,1096,24320.24,24320.24,2897695.1
71bb951717ae1bdcfb0e9513f149a9763c7fa800,orklah,11/4/2023,166918,152527,31953,22.18,1096,24309.28,24309.28,2922004.38
e5ae26d1e68c2b23197bf8d79eda1f3a88a3b949,Maximilian Bösing,10/4/2023,166912,152521,31951,22.18,1096,24309.28,24309.28,2946313.66
763116fab3b483db48ec3e04558161e3e5714743,orklah,9/4/2023,166834,152449,31931,22.17,1096,24298.32,24298.32,2970611.98
a584314c625c95c600c700ca53dd089a768ef79f,ADmad,8/4/2023,166658,152282,31890,22.17,1095,24276.15,24276.15,2994888.13
d9ad8b420ed322556ab02847ec7ed20adf3e6fdf,andrew,7/4/2023,166726,152361,31889,22.13,1097,24276.61,24276.61,3019164.74
0456ef82a5cbdde43630513efa287c400680216c,andrew,6/4/2023,166640,152317,31882,22.12,1097,24265.64,24265.64,3043430.38
a8ed8a7b5c1e544850911841edecf36596d62aa4,Maximilian Bösing,5/4/2023,166753,152369,31912,22.15,1096,24276.4,24276.4,3067706.78
06e085cf3f0eac322b793969b004b83ad3cc9b50,orklah,4/4/2023,166645,152269,31887,22.17,1095,24276.15,24276.15,3091982.93
ee68f16bb62f3ec6a0c3044176ec424d657d4af8,Maximilian Bösing,3/4/2023,166753,152369,31912,22.15,1096,24276.4,24276.4,3116259.33
5fa01d89472b1aca575c274c332d9cdd7f8fbb64,Corey Taylor,2/4/2023,166315,151952,31818,22.14,1094,24221.16,24221.16,3140480.49
3f6f91f0efd2ecd6040aef5b24abc828227bdcb4,Maximilian Bösing,1/4/2023,166577,152202,31871,22.15,1095,24254.25,24254.25,3164734.74
8092554582f7d5f567f2f696a7fa77596e0ca31e,Daniel Leech,31/3/2023,166315,151952,31818,22.14,1094,24221.16,24221.16,3188955.9
1d4f496d0dc403aca2dfe181c0459db35836e2b0,Maximilian Bösing,30/3/2023,166575,152200,31871,22.15,1095,24254.25,24254.25,3213210.15
8b9ad1eb9e8b7d3101f949291da2b9f7767cd163,orklah,29/3/2023,166312,151949,31818,22.14,1094,24221.16,24221.16,3237431.31
528bbe3757f5bd8e138e05cefa713b5f5973f995,Corey Taylor,28/3/2023,166246,151905,31805,22.12,1095,24221.4,24221.4,3261652.71
ad05b138a57d37309fbf5e42a4c9841edf905933,Daniel Beardsley,27/3/2023,166256,151910,31806,22.12,1095,24221.4,24221.4,3285874.11
f26c16d2abbb7b201233501e08fe2bba6f0e82e1,adrew,26/3/2023,166322,151981,31825,22.13,1095,24232.35,24232.35,3310106.46
5ff933f2a5e60e58813d5a1ec1fc357a82231c72,Daniel Beardsley,25/3/2023,166256,151910,31806,22.12,1095,24221.4,24221.4,3334327.86
ef9a06c4676599a35a44ef0e9731db12780c366e,orklah,24/3/2023,166246,151905,31805,22.12,1095,24221.4,24221.4,3358549.26
dfd7ffc4598e03db1e15bac82908b36ddbe51455,orklah,23/3/2023,166246,151905,31805,22.12,1095,24221.4,24221.4,3382770.66
b65a038553e113a93d2aa1bd21e0ab4bc3c50b9f,Javier Spagnoletti,21/3/2023,166256,151915,31808,22.12,1095,24221.4,24221.4,3406992.06
a4895c358861fc0e4945a120f3c19f2fa8dd81ac,Yannick Gottschalk,20/3/2023,166256,151915,31808,22.12,1095,24221.4,24221.4,3431213.46
b25f2e6921487cc24661016c61022fb4802742b9,Bruce Weirdan,19/3/2023,166256,151915,31808,22.12,1095,24221.4,24221.4,3455434.86
2a84a63483fb9f32ebc0d00bbc3c986e8cce154d,Bruce Weirdan,18/3/2023,166255,151914,31809,22.12,1095,24221.4,24221.4,3479656.26
c2dae0e43f22073336c6d19480e8a82c3d606c47,fluffycondor,17/3/2023,166255,151914,31809,22.12,1095,24221.4,24221.4,3503877.66
d11c7cdb8ebadeb5ee59d9b3dfc6811072c1880f,fluffycondor,16/3/2023,166249,151907,31807,22.12,1095,24221.4,24221.4,3528099.06
c7c0b7990324c88876e10c4b108817ac47a0de11,Bruce Weirdan,15/3/2023,166261,151915,31806,22.12,1095,24221.4,24221.4,3552320.46
293b7281f999c63a8f62743344e32d2353bfa4f7,orklah,14/3/2023,166211,151871,31797,22.11,1095,24210.45,24210.45,3576530.91
39bb7b45a74e91bb25b1753101fe265dcde8234a,Corey Taylor,13/3/2023,164218,150278,31440,22.1,1085,23978.5,23978.5,3600509.41
d6daaa842e0febe843fb6ab534468185d340d197,Bruce Weirdan,12/3/2023,164175,150245,31439,22.09,1085,23967.65,23967.65,3624477.06
d7d5f720456a82315901d7fec7e7503b3b2ab052,Zebulan Stanphill,11/3/2023,164097,150172,31427,22.08,1085,23956.8,23956.8,3648433.86
2abefb9618cef118254c49d93c437835b85115a5,fluffycondor,10/3/2023,164096,150171,31427,22.08,1085,23956.8,23956.8,3672390.66
ee77ca63e8d804360e1d9ac05d2abadb976ba7d9,Corey Taylor,9/3/2023,164096,150171,31427,22.08,1085,23956.8,23956.8,3696347.46
17939eda04070a877afbc819ba16f7527ca0f8f1,Pere Orga,8/3/2023,164099,150174,31429,22.08,1085,23956.8,23956.8,3720304.26
193a0dbe0e57d886969056f2876ee263c04bcb1b,Bruce Weirdan,7/3/2023,164090,150165,31425,22.07,1085,23945.95,23945.95,3744250.21
3a0adabf06d06096a1813abec075169b284cbcf5,Bruce Weirdan,6/3/2023,164080,150156,31423,22.07,1085,23945.95,23945.95,3768196.16
f801561ea744e620532b61e55bf806e3deeea8a7,Bruce Weirdan,5/3/2023,164080,150157,31424,22.07,1085,23945.95,23945.95,3792142.11
98d96fbe9c8d54c732b45b3f92c0a3c16a749e55,Bruce Weirdan,3/3/2023,164034,150111,31414,22.07,1085,23945.95,23945.95,3816088.06
e8bd52eba6785d5e0914d57f00f1c4af590a18ee,Andrew Boyton,2/3/2023,164007,150085,31409,22.08,1084,23934.72,23934.72,3840022.78
615986ef10cd01c7a06f8d2f37baa4ebc1f6f5e1,Corey Taylor,1/3/2023,163983,150065,31403,22.08,1084,23934.72,23934.72,3863957.5
381a23bd4eb9207c0e4b0fc8cfdc5365db6bf268,orklah,28/2/2023,163978,150064,31402,22.08,1084,23934.72,23934.72,3887892.22
5083e18bd8bc050a6c435de7802eeb493568b4c1,orklah,27/2/2023,163954,150043,31396,22.07,1084,23923.88,23923.88,3911816.1
d3e74ac6e440489385ea73fa7702fa278d2ac51d,Javier Spagnoletti,26/2/2023,163945,150036,31392,22.07,1084,23923.88,23923.88,3935739.98
38d1abc13a470fbadc765b88155d86ac05e1a53f,Bruce Weirdan,25/2/2023,163794,149925,31366,22.05,1084,23902.2,23902.2,3959642.18
ea32d203b659fa782d42e6711a07274be0c72393,Bruce Weirdan,24/2/2023,163790,149921,31365,22.05,1084,23902.2,23902.2,3983544.38
