SHA,Author,Author_Date,Lines of Code (LOC),Non-Comment Lines of Code (NCLOC),Lines of Classes,Average Complexity per Class,No. Classes,Total Complexity of Classes,complexity_raw,accumulative_raw
795cfa6058ea517b0f87ab15e2ef5bbc093e5e51,Pedro Oliveira,7/9/2023,4030,3943,529,6.17,57,351.69,351.69,351.69
dc06393e5b6889b1f2f217f42676f94b4492222b,João Pedro Lopes,2/9/2023,4030,3943,529,6.17,57,351.69,351.69,703.38
19e95621ebb24660ac3fe5cdf8d75f5e2ccdd53c,PH7-Jack,31/8/2023,4042,3955,529,6.19,57,352.83,352.83,1056.21
394a983ea02a9701b8cb0bfcd627f6bfd6349eb6,PH7-Jack,30/8/2023,4042,3955,529,6.19,57,352.83,352.83,1409.04
232003b781ffbc262b30bc64b59eaa9d08c15de2,João Pedro Lopes,25/8/2023,4030,3943,529,6.19,57,352.83,352.83,1761.87
4c868c541baf7284b5b89d8a65f40ffdaba300c6,João Pedro Lopes,22/8/2023,4038,3951,529,6.19,57,352.83,352.83,2114.7
9818d22e5374cceb62dea02e2bce851ba63fd31c,PH7-Jack,21/8/2023,4105,4019,545,6.1,58,353.8,353.8,2468.5
74599485a32535d3d877589c4c9db927117fc927,Pedro Oliveira,1/5/2023,4015,3929,529,6.1,58,353.8,353.8,2822.3
c005a3d3a17b8e1388dd77754418196495bf18de,Adel,19/4/2023,4015,3929,529,6.1,58,353.8,353.8,3176.1
fc06d40c49c0d435dea07276fa381f69459d7d65,Pedro Oliveira,3/3/2023,4015,3929,529,6.1,58,353.8,353.8,3529.9
1f81be0941158716983e0d7e86fb24e0c0f343f8,dependabot[bot],2/3/2023,4015,3929,529,6.1,58,353.8,353.8,3883.7
e0503af28f597e49fdaaa9b2ab5c5a263db369d9,Marco Avila,10/2/2023,4015,3929,529,6.1,58,353.8,353.8,4237.5
7ed83b757608df6549296a6f7f1588f7fd61111b,PH7-Jack,1/2/2023,4015,3929,529,6.1,58,353.8,353.8,4591.3
99008370e3e6515284ed3c363a0b0491c5304405,João Pedro Lopes,18/1/2023,4015,3929,529,6.1,58,353.8,353.8,4945.1
c58e75ababc8441fd4ca3a50a3577959b3082d6b,luanfreitasdev,16/1/2023,4015,3929,529,6.1,58,353.8,353.8,5298.9
3bbcaaeaa4165dc26a6c091c28cb6594a8cb49b8,stojan kukrika,15/1/2023,4033,3947,529,6.1,58,353.8,353.8,5652.7
aed098b2456b3168adce2b22869d0e53578d7af6,Pedro Oliveira,12/1/2023,4015,3929,529,6.1,58,353.8,353.8,6006.5
f3ac65b587a57a5a6fe736b57db6cfe1e9824a27,Pedro Oliveira,10/1/2023,4015,3929,529,6.1,58,353.8,353.8,6360.3
1620568ce6dad947be0ad092950177a5552ffb17,dependabot[bot],8/1/2023,4015,3929,529,6.1,58,353.8,353.8,6714.1
731f2efff0f1704c2756656eb25b06b989482751,Frankie Jarrett,19/12/2022,4015,3929,529,6.1,58,353.8,353.8,7067.9
4ad5bc7d7a5ecf6a64f385b944890583fd832fc4,João Pedro Lopes,18/12/2022,4015,3929,529,6.1,58,353.8,353.8,7421.7
