SHA,Author,Author_Date,Lines of Code (LOC),Non-Comment Lines of Code (NCLOC),Lines of Classes,Average Complexity per Class,No. Classes,Total Complexity of Classes,complexity_raw,accumulative_raw
7767ef67c22cea6144a4cea157942290bb6f0d22,walkor,7/9/2023,10933,6965,2438,36.31,26,944.06,944.06,944.06
f3856199e0105eb66b35dc4c7d091e2283e4b682,walkor,21/8/2023,10933,6965,2438,36.31,26,944.06,944.06,1888.12
0d011e3b1a7eed9b52ba24764c9ff8e8bd120a24,Joanhey,19/8/2023,10933,6965,2438,36.31,26,944.06,944.06,2832.18
5d9e576a9fe5bfc1060f1ac6a46bb5fbe03b9f97,walkor,9/8/2023,10933,6965,2438,36.31,26,944.06,944.06,3776.24
20681c27f42b4f41c491c69e1e49acb9c6808143,walkor,27/7/2023,10932,6964,2437,36.31,26,944.06,944.06,4720.3
1fa2c3308d4b1897e9debc393e66f76b51b43eb1,walkor,19/7/2023,10927,6960,2436,36.28,26,943.28,943.28,5663.58
ac4fde1b724e3be5864220e9d3104193386ba180,walkor,17/7/2023,10889,6942,2431,36.21,26,941.46,941.46,6605.04
a6a084098640876ea8d4bee96a1bba23f531e6a3,Joanhey,14/7/2023,10889,6942,2431,36.21,26,941.46,941.46,7546.5
8b52773e94d95411724326f42ab4504a52fd79f8,Joanhey,10/7/2023,10882,6935,2431,36.21,26,941.46,941.46,8487.96
2bd8e3bb281ea904258a01292617a16139005ff2,Joanhey,8/7/2023,10876,6929,2429,36.17,26,940.42,940.42,9428.38
a2c25385f175f3dcad2c310f1a5cbb3bb33a5b95,walkor,7/7/2023,10876,6929,2429,36.17,26,940.42,940.42,10368.8
975d94a9091e0d33c33356af00b8b48bcbb43170,Joanhey,6/7/2023,10876,6929,2429,36.17,26,940.42,940.42,11309.22
bbd0336eef8e79cccdb61025f10a550a8bcd62e9,Chance,5/7/2023,10875,6928,2429,36.17,26,940.42,940.42,12249.64
4106df5a3c312eea83df0d400d81e75183086897,Chance,4/7/2023,10880,6942,2431,36.28,26,943.28,943.28,13192.92
34a1f08e64997bdf7a8177da07dc31c7c8d9ef49,walkor,3/7/2023,10882,6944,2431,36.28,26,943.28,943.28,14136.2
adcada7656e51429d6b1f10f200aea042c746d5e,Joanhey,2/7/2023,10882,6944,2431,36.28,26,943.28,943.28,15079.48
59b6eb0e6608cb733b5a7dbc2d5fe0d13284a7db,Joanhey,28/6/2023,10882,6944,2431,36.28,26,943.28,943.28,16022.76
84f059c65c84b3f46ecdcc944c519a1a45561522,walkor,25/6/2023,10882,6944,2431,36.28,26,943.28,943.28,16966.04
10569a751abcc5c694e5e9aa1f1b6ac414b2b031,Chance,21/6/2023,10882,6944,2431,36.28,26,943.28,943.28,17909.32
2fbb26b41dc626d9a1f88d0395f94bb429c4b93f,Chance,20/6/2023,10882,6944,2431,36.28,26,943.28,943.28,18852.6
ed9df9b4686cb99bebfc459ee1d4d3d2d7589ce4,宣言就是Siam,12/6/2023,10882,6944,2431,36.28,26,943.28,943.28,19795.88
01f43d8adb1ef754e7230d99616ba374b7528e82,walkor,11/6/2023,10881,6943,2431,36.28,26,943.28,943.28,20739.16
ed306de95940bdbb33347c3773a93db4f50be31e,walkor,10/6/2023,10853,6922,2418,36.21,26,941.46,941.46,21680.62
b9d540d751ded63ee9db2adf3098d144dbb63edc,walkor,2/6/2023,10853,6922,2418,36.21,26,941.46,941.46,22622.08
247d87ca29c31ec0e1d5163e83c8af0d90832cb8,Ako Tulu,1/6/2023,10853,6922,2418,36.21,26,941.46,941.46,23563.54
5125dbbb6a36ec0a8257784c75b9856c960a19c5,walkor,29/5/2023,10857,6932,2417,36.17,26,940.42,940.42,24503.96
0e1d70f1febf6c01f3e8512cbe0c21afc9a2d88f,Mark Magyar,18/5/2023,10857,6932,2417,36.21,26,941.46,941.46,25445.42
be9f39cd47e86e44ff0421463319120008180660,Mark Magyar,17/5/2023,10855,6930,2418,36.24,26,942.24,942.24,26387.66
df024f91afb07f041d69cd98977f58994cc4be61,Oladoyinbo Vincent,15/5/2023,10867,6942,2418,36.24,26,942.24,942.24,27329.9
a2a787757feb2cf52a563e3a02a5b95b8819de97,walkor,11/5/2023,10874,6949,2421,36.31,26,944.06,944.06,28273.96
7a4aa1ebee3224127a75256ad5b149097695b4ac,walkor,9/5/2023,10867,6942,2418,36.24,26,942.24,942.24,29216.2
5c7c71cea5ca58edbe882565817149f32cffc2b9,walkor,1/5/2023,10867,6942,2418,36.21,26,941.46,941.46,30157.66
f3eec6fd7d1d9c6fcd81f59fb6114c1de29b70ed,Yurun,28/4/2023,10867,6942,2418,36.21,26,941.46,941.46,31099.12
8fa75caee0cc9905ec4a0e3b9310ac8c9f5a423d,walkor,21/4/2023,10871,6946,2423,36.28,26,943.28,943.28,32042.4
f087ebb205cd7da32911ddba1d1ea17862f48ac0,jhdxr,20/4/2023,10871,6946,2423,36.28,26,943.28,943.28,32985.68
d707ff9b885e6bb8ff12395549d40fa95d05f84a,walkor,17/4/2023,10880,6950,2424,36.31,26,944.06,944.06,33929.74
6d36552711fc41f876b6d844d06a08fd11517d4e,jhdxr,16/4/2023,10880,6950,2424,36.31,26,944.06,944.06,34873.8
3386ef9f0825e966de90af4d680ec39ae302c77b,walkor,15/4/2023,10880,6950,2424,36.31,26,944.06,944.06,35817.86
d6f3225b88c89a4e93d1818c1020e5e7a43c1c39,wanglei,14/4/2023,10880,6950,2424,36.31,26,944.06,944.06,36761.92
a2d7b5bc1ba2e01abcbf24fe78212798956b94b6,walkor,10/4/2023,10880,6950,2423,36.28,26,943.28,943.28,37705.2
944e31c1295d1dfb370be14c433fdaaa2041657e,walkor,6/4/2023,10880,6950,2423,36.28,26,943.28,943.28,38648.48
e46753ede4f487b710670a4e323698f7aede3e10,logdd,31/3/2023,10880,6950,2423,36.28,26,943.28,943.28,39591.76
c5e3d918497ff9bfb679f640b5026dee9554d663,walkor,28/3/2023,10880,6950,2423,36.28,26,943.28,943.28,40535.04
ce36e820e3a08414a2d7758dc94e9705b1758686,walkor,17/3/2023,10653,6723,2423,36.28,26,943.28,943.28,41478.32
8d807ce59463fc22dccdcd3b020e600f532d896f,Ako Tulu,16/3/2023,10653,6723,2423,36.28,26,943.28,943.28,42421.6
0ebb7496604aab8731da9f57c8861594ac6687c2,Ako Tulu,11/3/2023,10857,6938,2421,36.28,26,943.28,943.28,43364.88
8dfe72bb2655ae2be4a5a6784c471973f2939bac,walkor,10/3/2023,10845,6940,2422,36.31,26,944.06,944.06,44308.94
1def60dfc178486fa15d5fcd0fc4b00e48034b27,walkor,9/3/2023,10845,6940,2422,36.31,26,944.06,944.06,45253
69c28b0da8e519ddf2dbc972a22385275540c661,liutao,24/2/2023,10844,6939,2421,36.28,26,943.28,943.28,46196.28
d681e9c2cb2dc858ac6a88c523115ca67f0408cb,walkor,23/2/2023,10844,6939,2421,36.28,26,943.28,943.28,47139.56
b4c30bb41b3b2786914722c4d4477e9b123acae5,walkor,19/2/2023,10844,6939,2421,36.28,26,943.28,943.28,48082.84
3dd89b35e74fe3dcd3a37435c651191caf224035,walkor,15/2/2023,10794,6889,2422,36.38,26,945.88,945.88,49028.72
fa3305943274eeef6244a27318ac1258f18eac74,walkor,6/2/2023,10792,6890,2422,36.38,26,945.88,945.88,49974.6
