SHA,Author,Author_Date,Lines of Code (LOC),Non-Comment Lines of Code (NCLOC),Lines of Classes,Average Complexity per Class,No. Classes,Total Complexity of Classes,complexity_raw,accumulative_raw
e5977e4e5f56ed7ea79154b7e4db08606f88b026,xiaohengjin,17/10/2017,7915,7003,2193,2.37,60,142.2,142.2,142.2
e1841a02937525ac9d961a9bf39fa47742f99b61,chuxiaofeng,21/8/2017,7915,7003,2193,2.37,60,142.2,142.2,284.4
8ee787bb046d65056f36fbb9cf4ee99129b4c03f,老鬼,2/8/2017,43527,35361,10606,7.99,394,3148.06,3148.06,3432.46
e94048873b8a1f9bcd71b00e129cf249c6d24ab6,demon,25/7/2017,38080,31006,9479,7.67,343,2630.81,2630.81,6063.27
d55b45100f98ebaa5b8a9a38f78561128d6b7c45,chuxiaofeng,21/7/2017,38399,31315,9569,7.72,346,2671.12,2671.12,8734.39
64a4d0e9f8ef02ea49a43cd506f226502d554d60,chuxiaofeng,20/7/2017,43479,35313,10577,7.98,394,3144.12,3144.12,11878.51
41d8988c2891144dc0c42fa7ccaad3a378a8e48a,xiaohengjin,19/7/2017,43527,35360,10604,7.99,394,3148.06,3148.06,15026.57
cec5e2d64e34ba81df524a53ab2ad6f99525f958,chuxiaofeng,17/7/2017,43481,35314,10578,7.98,394,3144.12,3144.12,18170.69
b822016fc6d77e3bff25b26bad49ab7a1f62b0ec,demon,14/7/2017,42382,34568,10444,7.23,391,2826.93,2826.93,20997.62
f3ff63597abe54fe68b22357b64efd033b8e2f4c,chuxiaofeng,13/7/2017,42864,34963,10550,7.26,396,2874.96,2874.96,23872.58
5f966b005f956854011d5ccd2354cf31fe5ef4be,demon,10/7/2017,42359,34546,10435,7.22,391,2823.02,2823.02,26695.6
cd9856e493d9bf36794217c894e2a631817382a1,daryl,6/7/2017,42328,34522,10422,7.22,391,2823.02,2823.02,29518.62
ffb101088a838ee5aab7fee78ffc4f67a24e3619,chuxiaofeng,5/7/2017,42316,34513,10420,7.22,391,2823.02,2823.02,32341.64
2b86faf76685568684a08f84b47f8ed18468ff2a,xhjcehust,3/7/2017,42301,34504,10414,7.23,391,2826.93,2826.93,35168.57
9bd6df694602c076d92c8cfca39b93af265a7e82,chuxiaofeng,30/6/2017,42301,34504,10414,7.23,391,2826.93,2826.93,37995.5
e4e8a962e2511570c9322fe73cc17817fd1ee808,xhjcehust,29/6/2017,46586,37842,11360,7.38,431,3180.78,3180.78,41176.28
abd443120150697df34d8c06d45a125dfaf9b2f5,chuxiaofeng,28/6/2017,45944,37288,11189,7.34,426,3126.84,3126.84,44303.12
342816d2241c8e096ba94c32048b46b3489a2dfd,chuxiaofeng,27/6/2017,42268,34023,10433,7.29,402,2930.58,2930.58,47233.7
383a93f2fb75555b6d41c39a12272dc2b5ad91fb,xiaohengjin,26/6/2017,42100,33862,10413,7.31,400,2924,2924,50157.7
053f0161e247adebb96e8d550c06990ee9993caf,chuxiaofeng,22/6/2017,41217,33034,10137,7.22,392,2830.24,2830.24,52987.94
d67fd9aa523133f3d1094cfe37bd8660876f920c,chuxiaofeng,21/6/2017,41217,33034,10137,7.22,392,2830.24,2830.24,55818.18
f21e3239bfe1aeab3d4563d558f8fec73a2614f4,xiaohengjin,20/6/2017,39815,31697,9687,7.04,382,2689.28,2689.28,58507.46
998f7262b0a714809c9784362e859626b178ba25,chuxiaofeng,16/6/2017,39767,31655,9672,7.06,381,2689.86,2689.86,61197.32
4b92e19ce9c4ad05f69db91bb8a3e432a14e245e,chuxiaofeng,15/6/2017,39724,31612,9659,7.06,380,2682.8,2682.8,63880.12
a475831213a62c775264f652abfaa188fa5f47aa,chuxiaofeng,14/6/2017,39580,31490,9636,7.11,375,2666.25,2666.25,66546.37
3190d5fe7468326b1565b5f9bbb17166868cadb5,xiaohengjin,12/6/2017,38948,30955,9429,7.01,373,2614.73,2614.73,69161.1
57827bc7ab6df6017702a4b8a56b54e34c35d857,chuxiaofeng,9/6/2017,38948,30955,9429,7.01,373,2614.73,2614.73,71775.83
4d3ef2f5d69e1e47882930e0f5fe3b7ac9dec856,chuxiaofeng,6/6/2017,38948,30955,9429,7.01,373,2614.73,2614.73,74390.56
7823fd701da045948cb106a132a3c000a7be5953,chuxiaofeng,5/6/2017,41798,33551,9445,7,374,2618,2618,77008.56
06bf07ef600d7fff3216f714b623c95d8b9b8f7b,chuxiaofeng,2/6/2017,43509,33769,9530,6.9,383,2642.7,2642.7,79651.26
60c27883c8595a7fcbe35db2c28951ea31432f65,suqiangithub,1/6/2017,46076,36622,10532,7.21,410,2956.1,2956.1,82607.36
6d720c71e49a85490901847c3af7a74ca1fbeec6,mark,31/5/2017,46038,36592,10526,7.22,409,2952.98,2952.98,85560.34
68f60e1184710f74c089bb98ccb872544d06acfa,chuxiaofeng,27/5/2017,46446,36832,10574,7.16,415,2971.4,2971.4,88531.74
b3287300c1dc5fcb3cd9c9c5ac753c544b3f4aa3,chuxiaofeng,26/5/2017,46397,36810,10575,7.19,413,2969.47,2969.47,91501.21
705c28f624f103a7149f0ced45bc205a37f48fea,chuxiaofeng,25/5/2017,46192,36697,10541,7.17,412,2954.04,2954.04,94455.25
3baa0737236a28d89e3e06db3161fd1bcc03d2b6,chuxiaofeng,24/5/2017,45940,36497,10491,7.2,409,2944.8,2944.8,97400.05
4f275a00fd73a8b0aa925d5165a69dc50636c977,xiaohengjin,22/5/2017,45926,36487,10487,7.19,409,2940.71,2940.71,100340.76
25a55701a990d49a99aaa30df77a7782b66d9ec4,xiaohengjin,19/5/2017,45918,36479,10485,7.19,409,2940.71,2940.71,103281.47
d71109c9361f77ba8e90447c23fa28243226597f,chuxiaofeng,18/5/2017,45891,36449,10475,7.18,409,2936.62,2936.62,106218.09
fb29ee651ea1dfc2f50dcbe6d3fa3ea2185e66c7,chuxiaofeng,16/5/2017,46186,36676,10526,7.15,412,2945.8,2945.8,109163.89
4a60661b6755b5bac67a8cea8bc81dc14435c00f,chuxiaofeng,15/5/2017,46169,36659,10523,7.15,412,2945.8,2945.8,112109.69
b613f38d47b70a973ec69c4b826de0a9200543e1,chuxiaofeng,12/5/2017,45937,36479,10476,7.17,409,2932.53,2932.53,115042.22
1239f150dbdd8a3f41beb5a191b17f1a2a53c288,chuxiaofeng,11/5/2017,45937,36479,10476,7.17,409,2932.53,2932.53,117974.75
6ca404fc54aeca954df45dd26aaab0bc2fcf18b0,xiaohengjin,8/5/2017,45926,36469,10471,7.17,409,2932.53,2932.53,120907.28
06de357a87264de984e7bb2ba0700832fdf229f0,Xxvholic,4/5/2017,45899,36451,10469,7.18,408,2929.44,2929.44,123836.72
9bfa625d470a197a0428f33a9bfee51e21fe138e,xiaohengjin,3/5/2017,45883,36435,10465,7.18,408,2929.44,2929.44,126766.16
56c8362ac2775f97f731d689e4a316162696d437,chuxiaofeng,2/5/2017,43598,34362,10445,7.1,412,2925.2,2925.2,129691.36
e6ff3bf18a4c898176db6044aab96e238bf9bc0a,chuxiaofeng,28/4/2017,43587,34352,10439,7.09,412,2921.08,2921.08,132612.44
900822d6ad7b7ed10593c7d22a7c1216769bd3dd,xiaohengjin,27/4/2017,45444,36021,10298,7.05,406,2862.3,2862.3,135474.74
60cec882392d5200554752425157ebc67946d29f,chuxiaofeng,26/4/2017,43665,34412,10462,7.1,412,2925.2,2925.2,138399.94
c81a43123c2e4cf854714744d533ab6a7f293750,chuxiaofeng,25/4/2017,43630,34377,10444,7.07,412,2912.84,2912.84,141312.78
4d42cd38e9904317c3aa854d358cabc89f71bdbf,chuxiaofeng,24/4/2017,43664,34387,10438,7.08,412,2916.96,2916.96,144229.74
82377ecc63f8af7e2df6d51f6e697697fe07254d,chuxiaofeng,21/4/2017,43539,34303,10415,7.02,412,2892.24,2892.24,147121.98
c91aac4feedc443647d052837ff40d58be03d4cd,chuxiaofeng,20/4/2017,43403,34180,10364,6.98,412,2875.76,2875.76,149997.74
28f91352527886729b8c1f72af04f9a0875d2a96,xiaohengjin,19/4/2017,43172,33969,10289,6.96,410,2853.6,2853.6,152851.34
a4de694347227307a5aac458c69aee98be531e66,Demon,18/4/2017,33965,23475,6824,5.46,324,1769.04,1769.04,154620.38
ebd407f820494e2fa43fb54a82e0e8a91d4b015c,xiaohengjin,17/4/2017,43155,33952,10285,6.96,410,2853.6,2853.6,157473.98
c6e13ed335c874608f843b5c9245aecb4eca68d9,chuxiaofeng,13/4/2017,43157,33954,10289,6.97,410,2857.7,2857.7,160331.68
81d5c29f2b069ef41be5640372ca17af3b247985,chuxiaofeng,11/4/2017,43314,34071,10318,6.95,412,2863.4,2863.4,163195.08
deab31351174e36aef8ebc7a27dedd247a43a226,chuxiaofeng,10/4/2017,43152,33949,10287,6.97,410,2857.7,2857.7,166052.78
e1cef131035871f75164e004239a4e709b5a41be,chuxiaofeng,7/4/2017,43126,33929,10279,6.97,410,2857.7,2857.7,168910.48
9bf60b703f43390e95e1bf292bccb199ebc654a9,xiaohengjin,6/4/2017,46193,36738,10362,6.91,415,2867.65,2867.65,171778.13
9c5a800f3f886ecc0d61ea5a6cf3b8b997a8b434,xiaohengjin,5/4/2017,46103,36672,10337,6.92,414,2864.88,2864.88,174643.01
37285849737c19aff85eedad70362e56d40661ae,xiaohengjin,1/4/2017,43126,33929,10279,6.97,410,2857.7,2857.7,177500.71
69d71696a8f225997591a4fb41da03e14cec4cc8,chuxiaofeng,31/3/2017,43091,33900,10273,6.97,409,2850.73,2850.73,180351.44
601f9e03aab5b33610a94a1db2afbefbc583c27d,chuxiaofeng,30/3/2017,43267,34040,10311,6.95,412,2863.4,2863.4,183214.84
