SHA,Author,Author_Date,Lines of Code (LOC),Non-Comment Lines of Code (NCLOC),Lines of Classes,Average Complexity per Class,No. Classes,Total Complexity of Classes,complexity_raw,accumulative_raw
8030eb59fccc390ac183e30d9c83b11e001d8f8f,skycaiji,27/9/2023,241120,167904,60750,48.34,572,27650.48,27650.48,27650.48
31bb709f1dd4903ffa6a7c9429245a7bbbc0129e,skycaiji,29/7/2023,239523,166334,60133,48.04,569,27334.76,27334.76,54985.24
ae8a4e554c40d31c01bcc411ceaf3a6d47c4268e,skycaiji,27/4/2023,238168,164991,59639,47.59,569,27078.71,27078.71,82063.95
c2d86c6604e96be10eeaa09a7cf83c64a0b44f4d,skycaiji,26/4/2023,238156,164979,59634,47.58,569,27073.02,27073.02,109136.97
441f6ce7bdc5d42aaa0597971d921d1cb242b4dd,zorlan,8/12/2022,237907,164730,59528,47.48,569,27016.12,27016.12,136153.09
7a3fb71615e851745733f5b31998c974d2f86b5a,zorlan,14/9/2022,236515,163355,58946,47.29,565,26718.85,26718.85,162871.94
6d6ce85a4486edd8a54feae8aca4c14e18e0a3a2,zorlan,9/9/2022,236499,163339,58938,47.29,565,26718.85,26718.85,189590.79
b1497d0ad5562bc60e7fdd27a805bf146757819c,zorlan,10/9/2021,167919,110103,40855,50.05,341,17067.05,17067.05,206657.84
f5af21e5eff2079a0ae761635a005b586b060930,zorlan,21/7/2020,166667,109292,40586,48.06,347,16676.82,16676.82,223334.66
b219706db2adf235ada7cdb1ee29776b22fb8573,zorlan,17/5/2020,166667,109292,40586,48.06,347,16676.82,16676.82,240011.48
b4c39319605bd4670d543e7c43e14c0016c65ffb,zorlan,10/2/2020,176589,115732,42753,41.61,417,17351.37,17351.37,257362.85
19e77d03c8be2c4e40320ddc56213c271bc3721e,zorlan,25/9/2019,176589,115732,42753,41.61,417,17351.37,17351.37,274714.22
6ae73277dc2d4caac8e094e9353da686e6e546b5,zorlan,23/6/2019,176597,115740,42753,41.61,417,17351.37,17351.37,292065.59
8388999a1bfdf73479a52f71eee60412a81eb017,zorlan,14/3/2019,176597,115740,42753,41.61,417,17351.37,17351.37,309416.96
fef736b6bb3e5ff1b35cd3580bb33c81ae98fdb6,zorlan,19/2/2019,176597,115740,42753,41.61,417,17351.37,17351.37,326768.33
